county,precinct,office,district,party,candidate,votes,absentee_by_mail_votes,election_day_votes,provisional_votes,advance_voting_votes
Randolph,Coleman,U.S. Senate,,Rep,Herschel Walker,88,5,50,0,33
Randolph,Shellman,U.S. Senate,,Rep,Herschel Walker,251,10,166,0,75
Randolph,Benevolence,U.S. Senate,,Rep,Herschel Walker,91,2,52,0,37
Randolph,Cuthbert-Courthouse,U.S. Senate,,Rep,Herschel Walker,577,9,209,0,359
Randolph,Cuthbert,U.S. Senate,,Rep,Herschel Walker,6,0,5,0,1
Randolph,Springvale,U.S. Senate,,Rep,Herschel Walker,45,4,27,0,14
Randolph,Coleman,U.S. Senate,,(Dem,Raphael Warnock ,62,2,40,0,20
Randolph,Shellman,U.S. Senate,,(Dem,Raphael Warnock ,258,36,168,0,54
Randolph,Benevolence,U.S. Senate,,(Dem,Raphael Warnock ,51,2,33,0,16
Randolph,Cuthbert-Courthouse,U.S. Senate,,(Dem,Raphael Warnock ,714,79,216,0,419
Randolph,Cuthbert,U.S. Senate,,(Dem,Raphael Warnock ,153,9,58,0,86
Randolph,Springvale,U.S. Senate,,(Dem,Raphael Warnock ,113,3,46,0,64
