county,precinct,office,district,party,candidate,votes,absentee_by_mail_votes,election_day_votes,provisional_votes,advance_voting_votes
Cook,Cecil,U.S. Senate,,Rep,Herschel Walker,490,12,223,0,255
Cook,Delle Beamguard,U.S. Senate,,Rep,Herschel Walker,917,37,384,0,496
Cook,Elm Pine,U.S. Senate,,Rep,Herschel Walker,9,2,3,0,4
Cook,Lenox,U.S. Senate,,Rep,Herschel Walker,554,13,366,0,175
Cook,Massee,U.S. Senate,,Rep,Herschel Walker,414,8,177,0,229
Cook,New Life Baptist Church,U.S. Senate,,Rep,Herschel Walker,566,17,311,0,238
Cook,Riverbend,U.S. Senate,,Rep,Herschel Walker,602,30,256,0,316
Cook,Sparks,U.S. Senate,,Rep,Herschel Walker,137,3,77,0,57
Cook,Cecil,U.S. Senate,,(Dem,Raphael Warnock ,337,27,110,0,200
Cook,Delle Beamguard,U.S. Senate,,(Dem,Raphael Warnock ,281,28,96,0,157
Cook,Elm Pine,U.S. Senate,,(Dem,Raphael Warnock ,205,21,91,0,93
Cook,Lenox,U.S. Senate,,(Dem,Raphael Warnock ,127,12,71,0,44
Cook,Massee,U.S. Senate,,(Dem,Raphael Warnock ,93,6,29,0,58
Cook,New Life Baptist Church,U.S. Senate,,(Dem,Raphael Warnock ,89,7,39,0,43
Cook,Riverbend,U.S. Senate,,(Dem,Raphael Warnock ,82,8,19,0,55
Cook,Sparks,U.S. Senate,,(Dem,Raphael Warnock ,238,21,129,0,88
