county,precinct,office,district,party,candidate,votes,absentee_by_mail_votes,election_day_votes,provisional_votes,advance_voting_votes
Sumter,Agri-Center,U.S. Senate,,REP,Herschel Walker (Rep),609,22,271,0,316
Sumter,Airport,U.S. Senate,,REP,Herschel Walker (Rep),543,22,269,0,252
Sumter,Andersonville,U.S. Senate,,REP,Herschel Walker (Rep),183,4,156,0,23
Sumter,Browns Mill,U.S. Senate,,REP,Herschel Walker (Rep),391,7,269,0,115
Sumter,Concord,U.S. Senate,,REP,Herschel Walker (Rep),216,4,168,0,44
Sumter,JROTC,U.S. Senate,,REP,Herschel Walker (Rep),744,42,298,0,404
Sumter,Leslie,U.S. Senate,,REP,Herschel Walker (Rep),644,10,416,0,218
Sumter,Plains,U.S. Senate,,REP,Herschel Walker (Rep),295,13,207,0,75
Sumter,Rec Dept,U.S. Senate,,REP,Herschel Walker (Rep),187,9,72,0,106
Sumter,Rees Park,U.S. Senate,,REP,Herschel Walker (Rep),218,15,91,0,112
Sumter,Thompson,U.S. Senate,,REP,Herschel Walker (Rep),173,14,113,0,46
Sumter,Agri-Center,U.S. Senate,,DEM,Raphael Warnock (I) (Dem),458,65,160,0,233
Sumter,Airport,U.S. Senate,,DEM,Raphael Warnock (I) (Dem),447,46,141,0,260
Sumter,Andersonville,U.S. Senate,,DEM,Raphael Warnock (I) (Dem),59,8,24,0,27
Sumter,Browns Mill,U.S. Senate,,DEM,Raphael Warnock (I) (Dem),193,21,70,0,102
Sumter,Concord,U.S. Senate,,DEM,Raphael Warnock (I) (Dem),27,4,10,0,13
Sumter,JROTC,U.S. Senate,,DEM,Raphael Warnock (I) (Dem),715,65,266,0,384
Sumter,Leslie,U.S. Senate,,DEM,Raphael Warnock (I) (Dem),353,63,132,0,158
Sumter,Plains,U.S. Senate,,DEM,Raphael Warnock (I) (Dem),291,30,181,0,80
Sumter,Rec Dept,U.S. Senate,,DEM,Raphael Warnock (I) (Dem),1021,148,309,0,564
Sumter,Rees Park,U.S. Senate,,DEM,Raphael Warnock (I) (Dem),918,127,334,0,457
Sumter,Thompson,U.S. Senate,,DEM,Raphael Warnock (I) (Dem),167,18,73,0,76
