county,precinct,office,district,party,candidate,votes,absentee_by_mail_votes,election_day_votes,provisional_votes,advance_voting_votes
Bryan,Harn Community Center,U.S. Senate,,Rep,Herschel Walker,784,13,345,0,426
Bryan,Danielsiding,U.S. Senate,,Rep,Herschel Walker,821,13,353,0,455
Bryan,Christ Baptist Church,U.S. Senate,,Rep,Herschel Walker,1328,24,649,0,655
Bryan,Black Creek,U.S. Senate,,Rep,Herschel Walker,527,11,324,1,191
Bryan,First Baptist Church,U.S. Senate,,Rep,Herschel Walker,903,19,398,0,486
Bryan,RH Rec Complex,U.S. Senate,,Rep,Herschel Walker,648,20,258,0,370
Bryan,John Stevens Wetland Ctr,U.S. Senate,,Rep,Herschel Walker,1307,41,442,0,824
Bryan,New Life,U.S. Senate,,Rep,Herschel Walker,1637,23,676,1,937
Bryan,New Beginnings,U.S. Senate,,Rep,Herschel Walker,1294,24,491,0,779
Bryan,Bryan County Admin Bldg,U.S. Senate,,Rep,Herschel Walker,995,22,482,0,491
Bryan,Harn Community Center,U.S. Senate,,(Dem,Raphael Warnock ,404,26,131,0,247
Bryan,Danielsiding,U.S. Senate,,(Dem,Raphael Warnock ,319,32,92,0,195
Bryan,Christ Baptist Church,U.S. Senate,,(Dem,Raphael Warnock ,341,34,122,0,185
Bryan,Black Creek,U.S. Senate,,(Dem,Raphael Warnock ,181,13,78,0,90
Bryan,First Baptist Church,U.S. Senate,,(Dem,Raphael Warnock ,772,52,223,1,496
Bryan,RH Rec Complex,U.S. Senate,,(Dem,Raphael Warnock ,633,29,193,1,410
Bryan,John Stevens Wetland Ctr,U.S. Senate,,(Dem,Raphael Warnock ,473,34,100,0,339
Bryan,New Life,U.S. Senate,,(Dem,Raphael Warnock ,743,33,195,0,515
Bryan,New Beginnings,U.S. Senate,,(Dem,Raphael Warnock ,493,50,122,0,321
Bryan,Bryan County Admin Bldg,U.S. Senate,,(Dem,Raphael Warnock ,835,42,260,2,531
