county,precinct,office,district,party,candidate,votes,absentee_by_mail_votes,election_day_votes,provisional_votes,advance_voting_votes
Pierce,Hacklebarney/Cason ,U.S. Senate,,Rep,Herschel Walker,1306,43,451,0,812
Pierce,Blackshear,U.S. Senate,,Rep,Herschel Walker,1463,37,506,0,920
Pierce,St. Johns/Blackshear,U.S. Senate,,Rep,Herschel Walker,661,23,260,0,378
Pierce,Otter Creek,U.S. Senate,,Rep,Herschel Walker,801,32,381,0,388
Pierce,Patterson,U.S. Senate,,Rep,Herschel Walker,525,19,261,1,244
Pierce,Mershon,U.S. Senate,,Rep,Herschel Walker,257,6,87,0,164
Pierce,Alabaha,U.S. Senate,,Rep,Herschel Walker,549,16,190,0,343
Pierce,Sunset/Sweat,U.S. Senate,,Rep,Herschel Walker,367,15,138,0,214
Pierce,Hacklebarney/Cason ,U.S. Senate,,(Dem,Raphael Warnock ,335,35,72,0,228
Pierce,Blackshear,U.S. Senate,,(Dem,Raphael Warnock ,147,6,36,0,105
Pierce,St. Johns/Blackshear,U.S. Senate,,(Dem,Raphael Warnock ,55,1,20,0,34
Pierce,Otter Creek,U.S. Senate,,(Dem,Raphael Warnock ,69,6,15,0,48
Pierce,Patterson,U.S. Senate,,(Dem,Raphael Warnock ,88,10,34,0,44
Pierce,Mershon,U.S. Senate,,(Dem,Raphael Warnock ,15,1,5,0,9
Pierce,Alabaha,U.S. Senate,,(Dem,Raphael Warnock ,52,7,11,0,34
Pierce,Sunset/Sweat,U.S. Senate,,(Dem,Raphael Warnock ,10,0,0,0,10
