county,precinct,office,district,party,candidate,votes,absentee_by_mail_votes,election_day_votes,provisional_votes,advance_voting_votes
Mitchell,Baconton,U.S. Senate,,Rep,Herschel Walker,301,5,226,0,70
Mitchell,Branchville,U.S. Senate,,Rep,Herschel Walker,312,8,220,0,84
Mitchell,Camilla North,U.S. Senate,,Rep,Herschel Walker,182,6,49,0,127
Mitchell,Camilla South,U.S. Senate,,Rep,Herschel Walker,959,67,285,0,607
Mitchell,Cotton,U.S. Senate,,Rep,Herschel Walker,216,8,176,0,32
Mitchell,Hopeful,U.S. Senate,,Rep,Herschel Walker,169,5,121,0,43
Mitchell,Hinsonton,U.S. Senate,,Rep,Herschel Walker,89,0,78,0,11
Mitchell,Lester,U.S. Senate,,Rep,Herschel Walker,506,24,347,0,135
Mitchell,Pebble City,U.S. Senate,,Rep,Herschel Walker,91,3,70,0,18
Mitchell,Pelham,U.S. Senate,,Rep,Herschel Walker,736,29,396,0,311
Mitchell,Sale City,U.S. Senate,,Rep,Herschel Walker,155,4,135,0,16
Mitchell,Baconton,U.S. Senate,,(Dem,Raphael Warnock ,240,21,111,0,108
Mitchell,Branchville,U.S. Senate,,(Dem,Raphael Warnock ,51,6,15,0,30
Mitchell,Camilla North,U.S. Senate,,(Dem,Raphael Warnock ,729,132,237,0,360
Mitchell,Camilla South,U.S. Senate,,(Dem,Raphael Warnock ,868,131,211,0,526
Mitchell,Cotton,U.S. Senate,,(Dem,Raphael Warnock ,16,0,8,0,8
Mitchell,Hopeful,U.S. Senate,,(Dem,Raphael Warnock ,30,4,11,0,15
Mitchell,Hinsonton,U.S. Senate,,(Dem,Raphael Warnock ,7,2,3,0,2
Mitchell,Lester,U.S. Senate,,(Dem,Raphael Warnock ,110,17,39,0,54
Mitchell,Pebble City,U.S. Senate,,(Dem,Raphael Warnock ,10,0,5,0,5
Mitchell,Pelham,U.S. Senate,,(Dem,Raphael Warnock ,701,71,279,0,351
Mitchell,Sale City,U.S. Senate,,(Dem,Raphael Warnock ,36,4,24,0,8
