county,precinct,office,district,party,candidate,votes,absentee_by_mail_votes,election_day_votes,provisional_votes,advance_voting_votes
Emanuel,Adrian,U.S. Senate,,Rep,Herschel Walker,350,9,237,0,104
Emanuel,Blundale,U.S. Senate,,Rep,Herschel Walker,473,7,325,3,138
Emanuel,Canoochee,U.S. Senate,,Rep,Herschel Walker,340,3,254,0,83
Emanuel,Cross-Green,U.S. Senate,,Rep,Herschel Walker,50,2,43,0,5
Emanuel,Garfiled,U.S. Senate,,Rep,Herschel Walker,232,2,191,1,38
Emanuel,Nunez,U.S. Senate,,Rep,Herschel Walker,186,5,135,2,44
Emanuel,Oak Park,U.S. Senate,,Rep,Herschel Walker,341,7,274,1,59
Emanuel,Stillmore,U.S. Senate,,Rep,Herschel Walker,209,2,159,1,47
Emanuel,Summerton,U.S. Senate,,Rep,Herschel Walker,201,1,145,0,55
Emanuel,Swainsboro,U.S. Senate,,Rep,Herschel Walker,2062,84,891,3,1084
Emanuel,Twin City,U.S. Senate,,Rep,Herschel Walker,589,15,412,0,162
Emanuel,Adrian,U.S. Senate,,(Dem,Raphael Warnock ,56,6,37,0,13
Emanuel,Blundale,U.S. Senate,,(Dem,Raphael Warnock ,25,0,8,0,17
Emanuel,Canoochee,U.S. Senate,,(Dem,Raphael Warnock ,81,5,37,0,39
Emanuel,Cross-Green,U.S. Senate,,(Dem,Raphael Warnock ,86,2,77,0,7
Emanuel,Garfiled,U.S. Senate,,(Dem,Raphael Warnock ,52,5,24,0,23
Emanuel,Nunez,U.S. Senate,,(Dem,Raphael Warnock ,43,2,21,0,20
Emanuel,Oak Park,U.S. Senate,,(Dem,Raphael Warnock ,28,3,15,0,10
Emanuel,Stillmore,U.S. Senate,,(Dem,Raphael Warnock ,103,3,68,1,31
Emanuel,Summerton,U.S. Senate,,(Dem,Raphael Warnock ,76,11,39,0,26
Emanuel,Swainsboro,U.S. Senate,,(Dem,Raphael Warnock ,1241,75,451,0,715
Emanuel,Twin City,U.S. Senate,,(Dem,Raphael Warnock ,300,19,150,1,130
