county,precinct,office,district,party,candidate,votes,advance_voting_votes,absentee_by_mail_votes,provisional_votes,election_day_votes
Talbot,ONeal,U.S. Senate,,Rep,Herschel Junior Walker,157,61,5,0,91
Talbot,Valley,U.S. Senate,,Rep,Herschel Junior Walker,230,95,9,0,126
Talbot,Junction City,U.S. Senate,,Rep,Herschel Junior Walker,99,49,3,0,47
Talbot,Geneva,U.S. Senate,,Rep,Herschel Junior Walker,129,47,9,0,73
Talbot,Talbotton,U.S. Senate,,Rep,Herschel Junior Walker,90,50,4,0,36
Talbot,Box Springs,U.S. Senate,,Rep,Herschel Junior Walker,163,25,4,0,134
Talbot,Flint Hill,U.S. Senate,,Rep,Herschel Junior Walker,250,118,5,0,127
Talbot,ONeal,U.S. Senate,,Dem,Raphael Warnock ,159,79,17,0,63
Talbot,Valley,U.S. Senate,,Dem,Raphael Warnock ,235,102,20,0,113
Talbot,Junction City,U.S. Senate,,Dem,Raphael Warnock ,150,44,29,0,77
Talbot,Geneva,U.S. Senate,,Dem,Raphael Warnock ,168,61,24,0,83
Talbot,Talbotton,U.S. Senate,,Dem,Raphael Warnock ,461,209,59,0,193
Talbot,Box Springs,U.S. Senate,,Dem,Raphael Warnock ,104,30,16,0,58
Talbot,Flint Hill,U.S. Senate,,Dem,Raphael Warnock ,411,165,64,0,182
Talbot,ONeal,U.S. Senate,,Lib,Chase Oliver,6,0,0,0,6
Talbot,Valley,U.S. Senate,,Lib,Chase Oliver,10,5,0,0,5
Talbot,Junction City,U.S. Senate,,Lib,Chase Oliver,2,1,0,0,1
Talbot,Geneva,U.S. Senate,,Lib,Chase Oliver,6,3,1,0,2
Talbot,Talbotton,U.S. Senate,,Lib,Chase Oliver,3,0,0,0,3
Talbot,Box Springs,U.S. Senate,,Lib,Chase Oliver,6,2,0,0,4
Talbot,Flint Hill,U.S. Senate,,Lib,Chase Oliver,10,5,0,0,5
Talbot,ONeal,Governor,,Rep,Brian Kemp ,178,66,5,0,107
Talbot,Valley,Governor,,Rep,Brian Kemp ,252,99,11,0,142
Talbot,Junction City,Governor,,Rep,Brian Kemp ,106,52,3,0,51
Talbot,Geneva,Governor,,Rep,Brian Kemp ,132,50,8,0,74
Talbot,Talbotton,Governor,,Rep,Brian Kemp ,105,61,3,0,41
Talbot,Box Springs,Governor,,Rep,Brian Kemp ,171,25,5,0,141
Talbot,Flint Hill,Governor,,Rep,Brian Kemp ,270,126,8,0,136
Talbot,ONeal,Governor,,Dem,Stacey Abrams,146,77,17,0,52
Talbot,Valley,Governor,,Dem,Stacey Abrams,219,99,18,0,102
Talbot,Junction City,Governor,,Dem,Stacey Abrams,144,42,28,0,74
Talbot,Geneva,Governor,,Dem,Stacey Abrams,170,62,25,0,83
Talbot,Talbotton,Governor,,Dem,Stacey Abrams,448,197,60,0,191
Talbot,Box Springs,Governor,,Dem,Stacey Abrams,102,30,15,0,57
Talbot,Flint Hill,Governor,,Dem,Stacey Abrams,399,158,61,0,180
Talbot,ONeal,Governor,,Lib,Shane Hazel,2,0,0,0,2
Talbot,Valley,Governor,,Lib,Shane Hazel,8,6,0,0,2
Talbot,Junction City,Governor,,Lib,Shane Hazel,1,0,1,0,0
Talbot,Geneva,Governor,,Lib,Shane Hazel,2,0,1,0,1
Talbot,Talbotton,Governor,,Lib,Shane Hazel,1,1,0,0,0
Talbot,Box Springs,Governor,,Lib,Shane Hazel,2,2,0,0,0
Talbot,Flint Hill,Governor,,Lib,Shane Hazel,6,3,0,0,3
Talbot,ONeal,Lieutenant Governor,,Rep,Burt Jones,168,63,5,0,100
Talbot,Valley,Lieutenant Governor,,Rep,Burt Jones,246,100,11,0,135
Talbot,Junction City,Lieutenant Governor,,Rep,Burt Jones,104,51,4,0,49
Talbot,Geneva,Lieutenant Governor,,Rep,Burt Jones,129,47,9,0,73
Talbot,Talbotton,Lieutenant Governor,,Rep,Burt Jones,95,53,3,0,39
Talbot,Box Springs,Lieutenant Governor,,Rep,Burt Jones,169,25,4,0,140
Talbot,Flint Hill,Lieutenant Governor,,Rep,Burt Jones,267,125,7,0,135
Talbot,ONeal,Lieutenant Governor,,Dem,Charlie Bailey,146,74,17,0,55
Talbot,Valley,Lieutenant Governor,,Dem,Charlie Bailey,206,90,18,0,98
Talbot,Junction City,Lieutenant Governor,,Dem,Charlie Bailey,130,39,26,0,65
Talbot,Geneva,Lieutenant Governor,,Dem,Charlie Bailey,147,52,22,0,73
Talbot,Talbotton,Lieutenant Governor,,Dem,Charlie Bailey,416,182,57,0,177
Talbot,Box Springs,Lieutenant Governor,,Dem,Charlie Bailey,101,29,16,0,56
Talbot,Flint Hill,Lieutenant Governor,,Dem,Charlie Bailey,381,152,56,0,173
Talbot,ONeal,Lieutenant Governor,,Lib,Ryan Graham,6,1,0,0,5
Talbot,Valley,Lieutenant Governor,,Lib,Ryan Graham,12,6,0,0,6
Talbot,Junction City,Lieutenant Governor,,Lib,Ryan Graham,4,1,0,0,3
Talbot,Geneva,Lieutenant Governor,,Lib,Ryan Graham,8,4,2,0,2
Talbot,Talbotton,Lieutenant Governor,,Lib,Ryan Graham,7,2,1,0,4
Talbot,Box Springs,Lieutenant Governor,,Lib,Ryan Graham,3,2,0,0,1
Talbot,Flint Hill,Lieutenant Governor,,Lib,Ryan Graham,12,6,3,0,3
Talbot,ONeal,Secretary of State,,Rep,Brad Raffensperger ,172,65,5,0,102
Talbot,Valley,Secretary of State,,Rep,Brad Raffensperger ,239,90,9,0,140
Talbot,Junction City,Secretary of State,,Rep,Brad Raffensperger ,103,51,5,0,47
Talbot,Geneva,Secretary of State,,Rep,Brad Raffensperger ,131,49,8,0,74
Talbot,Talbotton,Secretary of State,,Rep,Brad Raffensperger ,120,68,4,0,48
Talbot,Box Springs,Secretary of State,,Rep,Brad Raffensperger ,160,23,3,0,134
Talbot,Flint Hill,Secretary of State,,Rep,Brad Raffensperger ,265,126,10,0,129
Talbot,ONeal,Secretary of State,,Dem,Bee Nguyen,140,72,17,0,51
Talbot,Valley,Secretary of State,,Dem,Bee Nguyen,200,92,18,0,90
Talbot,Junction City,Secretary of State,,Dem,Bee Nguyen,127,37,25,0,65
Talbot,Geneva,Secretary of State,,Dem,Bee Nguyen,142,48,24,0,70
Talbot,Talbotton,Secretary of State,,Dem,Bee Nguyen,397,171,56,0,170
Talbot,Box Springs,Secretary of State,,Dem,Bee Nguyen,102,29,15,0,58
Talbot,Flint Hill,Secretary of State,,Dem,Bee Nguyen,372,144,59,0,169
Talbot,ONeal,Secretary of State,,Lib,Ted Metz,9,3,0,0,6
Talbot,Valley,Secretary of State,,Lib,Ted Metz,20,14,2,0,4
Talbot,Junction City,Secretary of State,,Lib,Ted Metz,9,4,0,0,5
Talbot,Geneva,Secretary of State,,Lib,Ted Metz,8,3,1,0,4
Talbot,Talbotton,Secretary of State,,Lib,Ted Metz,7,2,0,0,5
Talbot,Box Springs,Secretary of State,,Lib,Ted Metz,9,3,0,0,6
Talbot,Flint Hill,Secretary of State,,Lib,Ted Metz,24,11,0,0,13
Talbot,ONeal,Attorney General,,Rep,Chris Carr ,167,62,5,0,100
Talbot,Valley,Attorney General,,Rep,Chris Carr ,242,98,9,0,135
Talbot,Junction City,Attorney General,,Rep,Chris Carr ,101,50,3,0,48
Talbot,Geneva,Attorney General,,Rep,Chris Carr ,131,50,8,0,73
Talbot,Talbotton,Attorney General,,Rep,Chris Carr ,94,52,3,0,39
Talbot,Box Springs,Attorney General,,Rep,Chris Carr ,167,24,5,0,138
Talbot,Flint Hill,Attorney General,,Rep,Chris Carr ,262,128,7,0,127
Talbot,ONeal,Attorney General,,Dem,"Jennifer """"Jen"""" Jordan",153,79,16,0,58
Talbot,Valley,Attorney General,,Dem,"Jennifer """"Jen"""" Jordan",216,95,20,0,101
Talbot,Junction City,Attorney General,,Dem,"Jennifer """"Jen"""" Jordan",137,39,26,0,72
Talbot,Geneva,Attorney General,,Dem,"Jennifer """"Jen"""" Jordan",154,54,25,0,75
Talbot,Talbotton,Attorney General,,Dem,"Jennifer """"Jen"""" Jordan",434,193,58,0,183
Talbot,Box Springs,Attorney General,,Dem,"Jennifer """"Jen"""" Jordan",104,31,15,0,58
Talbot,Flint Hill,Attorney General,,Dem,"Jennifer """"Jen"""" Jordan",388,148,60,0,180
Talbot,ONeal,Attorney General,,Lib,Martin Cowen,5,1,0,0,4
Talbot,Valley,Attorney General,,Lib,Martin Cowen,9,6,0,0,3
Talbot,Junction City,Attorney General,,Lib,Martin Cowen,3,1,1,0,1
Talbot,Geneva,Attorney General,,Lib,Martin Cowen,3,0,0,0,3
Talbot,Talbotton,Attorney General,,Lib,Martin Cowen,5,2,1,0,2
Talbot,Box Springs,Attorney General,,Lib,Martin Cowen,3,2,0,0,1
Talbot,Flint Hill,Attorney General,,Lib,Martin Cowen,15,7,0,0,8
