county,precinct,office,district,party,candidate,votes,advance_voting_votes,absentee_by_mail_votes,provisional_votes,election_day_votes
DeKalb,Allgood Elem,U.S. Senate,,Rep,Herschel Junior Walker,137,67,9,0,61
DeKalb,Ashford Park Elem,U.S. Senate,,Rep,Herschel Junior Walker,711,328,11,0,372
DeKalb,Austin,U.S. Senate,,Rep,Herschel Junior Walker,895,543,31,0,321
DeKalb,Avondale,U.S. Senate,,Rep,Herschel Junior Walker,456,187,30,0,239
DeKalb,Austin Drive,U.S. Senate,,Rep,Herschel Junior Walker,43,21,3,0,19
DeKalb,Ashford Dunwoody Rd,U.S. Senate,,Rep,Herschel Junior Walker,801,395,34,0,372
DeKalb,Ashford Parkside,U.S. Senate,,Rep,Herschel Junior Walker,773,411,32,0,330
DeKalb,Avondale High,U.S. Senate,,Rep,Herschel Junior Walker,192,103,14,1,74
DeKalb,Boulevard,U.S. Senate,,Rep,Herschel Junior Walker,176,109,5,0,62
DeKalb,Briar Vista Elem,U.S. Senate,,Rep,Herschel Junior Walker,304,127,27,0,150
DeKalb,Briarlake Elem,U.S. Senate,,Rep,Herschel Junior Walker,387,174,30,0,183
DeKalb,Briarwood,U.S. Senate,,Rep,Herschel Junior Walker,438,287,12,0,139
DeKalb,Brockett Elem,U.S. Senate,,Rep,Herschel Junior Walker,410,276,22,0,112
DeKalb,Briarcliff,U.S. Senate,,Rep,Herschel Junior Walker,529,208,59,0,262
DeKalb,Brockett,U.S. Senate,,Rep,Herschel Junior Walker,399,178,19,0,202
DeKalb,Brookhaven,U.S. Senate,,Rep,Herschel Junior Walker,785,381,28,0,376
DeKalb,Browns Mill Elem,U.S. Senate,,Rep,Herschel Junior Walker,61,30,11,0,20
DeKalb,Bouldercrest Road,U.S. Senate,,Rep,Herschel Junior Walker,43,26,3,0,14
DeKalb,Bethune Middle,U.S. Senate,,Rep,Herschel Junior Walker,68,39,4,0,25
DeKalb,Burgess Elem,U.S. Senate,,Rep,Herschel Junior Walker,101,49,3,0,49
DeKalb,Columbia Drive,U.S. Senate,,Rep,Herschel Junior Walker,39,20,2,0,17
DeKalb,Canby Lane Elem,U.S. Senate,,Rep,Herschel Junior Walker,39,22,5,0,12
DeKalb,Columbia Elem,U.S. Senate,,Rep,Herschel Junior Walker,11,3,0,0,8
DeKalb,Cedar Grove Elem,U.S. Senate,,Rep,Herschel Junior Walker,54,26,3,0,25
DeKalb,Chamblee,U.S. Senate,,Rep,Herschel Junior Walker,377,243,5,0,129
DeKalb,Candler-Murphey Candler Elem,U.S. Senate,,Rep,Herschel Junior Walker,132,74,8,0,50
DeKalb,Chapel Hill Elem,U.S. Senate,,Rep,Herschel Junior Walker,53,18,5,0,30
DeKalb,Chesnut Elem,U.S. Senate,,Rep,Herschel Junior Walker,278,140,11,0,127
DeKalb,Clairemont West,U.S. Senate,,Rep,Herschel Junior Walker,269,117,39,0,113
DeKalb,Clairmont Road,U.S. Senate,,Rep,Herschel Junior Walker,275,123,37,0,115
DeKalb,Clarkston,U.S. Senate,,Rep,Herschel Junior Walker,129,65,2,1,61
DeKalb,Clifton,U.S. Senate,,Rep,Herschel Junior Walker,27,18,4,0,5
DeKalb,Columbia Middle,U.S. Senate,,Rep,Herschel Junior Walker,26,7,0,0,19
DeKalb,Coan Recreation Center,U.S. Senate,,Rep,Herschel Junior Walker,144,79,7,0,58
DeKalb,Cross Keys High,U.S. Senate,,Rep,Herschel Junior Walker,311,172,13,0,126
DeKalb,Crossroads,U.S. Senate,,Rep,Herschel Junior Walker,63,33,6,0,24
DeKalb,Candler,U.S. Senate,,Rep,Herschel Junior Walker,77,42,2,1,32
DeKalb,Cedar Grove Middle,U.S. Senate,,Rep,Herschel Junior Walker,25,12,2,0,11
DeKalb,Cedar Grove South,U.S. Senate,,Rep,Herschel Junior Walker,67,38,4,0,25
DeKalb,Covington Hwy,U.S. Senate,,Rep,Herschel Junior Walker,5,2,0,0,3
DeKalb,Covington,U.S. Senate,,Rep,Herschel Junior Walker,81,37,3,2,39
DeKalb,Clairemont East,U.S. Senate,,Rep,Herschel Junior Walker,263,144,23,0,96
DeKalb,Coralwood,U.S. Senate,,Rep,Herschel Junior Walker,550,306,46,1,197
DeKalb,Candler Park,U.S. Senate,,Rep,Herschel Junior Walker,242,123,15,0,104
DeKalb,Clarkston Community Center,U.S. Senate,,Rep,Herschel Junior Walker,131,56,0,0,75
DeKalb,Chamblee 2,U.S. Senate,,Rep,Herschel Junior Walker,635,394,21,0,220
DeKalb,Doraville North,U.S. Senate,,Rep,Herschel Junior Walker,302,113,19,0,170
DeKalb,Doraville South,U.S. Senate,,Rep,Herschel Junior Walker,168,58,6,0,104
DeKalb,Dresden Elem,U.S. Senate,,Rep,Herschel Junior Walker,581,297,24,0,260
DeKalb,Decatur,U.S. Senate,,Rep,Herschel Junior Walker,93,49,4,0,40
