county,precinct,office,district,party,candidate,votes,absentee_by_mail_votes,election_day_votes,provisional_votes,advance_voting_votes
Bacon,Douglas,U.S. Senate,,Rep,Herschel Walker,3047,82,937,0,2028
Bacon,Douglas,U.S. Senate,,(Dem,Raphael Warnock ,441,35,128,1,277
