county,precinct,office,district,party,candidate,votes,absentee_by_mail,election_day,advance_in_person,provisional
Butts,,United States Senator,,REP,MARY KAY BACALLAO,418,5,182,231,0
Butts,BUTTS CO COMM CENTER,United States Senator,,REP,MARY KAY BACALLAO,139,3,58,78,0
Butts,JENKINSBURG,United States Senator,,REP,MARY KAY BACALLAO,57,0,29,28,0
Butts,STARK,United States Senator,,REP,MARY KAY BACALLAO,90,0,45,45,0
Butts,TOWALIGA,United States Senator,,REP,MARY KAY BACALLAO,85,2,29,54,0
Butts,WORTHVILLE,United States Senator,,REP,MARY KAY BACALLAO,47,0,21,26,0
Butts,,United States Senator,,REP,DERRICK GRAYSON,378,8,180,190,0
Butts,BUTTS CO COMM CENTER,United States Senator,,REP,DERRICK GRAYSON,97,3,46,48,0
Butts,JENKINSBURG,United States Senator,,REP,DERRICK GRAYSON,50,0,27,23,0
Butts,STARK,United States Senator,,REP,DERRICK GRAYSON,102,2,52,48,0
Butts,TOWALIGA,United States Senator,,REP,DERRICK GRAYSON,88,2,37,49,0
Butts,WORTHVILLE,United States Senator,,REP,DERRICK GRAYSON,41,1,18,22,0
Butts,,United States Senator,,REP,JOHNNY ISAKSON (I),2786,71,1093,1622,0
Butts,BUTTS CO COMM CENTER,United States Senator,,REP,JOHNNY ISAKSON (I),550,11,184,355,0
Butts,JENKINSBURG,United States Senator,,REP,JOHNNY ISAKSON (I),384,5,169,210,0
Butts,STARK,United States Senator,,REP,JOHNNY ISAKSON (I),642,13,323,306,0
Butts,TOWALIGA,United States Senator,,REP,JOHNNY ISAKSON (I),808,30,246,532,0
Butts,WORTHVILLE,United States Senator,,REP,JOHNNY ISAKSON (I),402,12,171,219,0
Butts,,United States Senator,,DEM,JIM BARKSDALE,97,10,51,36,0
Butts,BUTTS CO COMM CENTER,United States Senator,,DEM,JIM BARKSDALE,40,3,20,17,0
Butts,JENKINSBURG,United States Senator,,DEM,JIM BARKSDALE,26,4,13,9,0
Butts,STARK,United States Senator,,DEM,JIM BARKSDALE,6,0,4,2,0
Butts,TOWALIGA,United States Senator,,DEM,JIM BARKSDALE,21,3,11,7,0
Butts,WORTHVILLE,United States Senator,,DEM,JIM BARKSDALE,4,0,3,1,0
Butts,,United States Senator,,DEM,CHERYL COPELAND,76,13,21,42,0
Butts,BUTTS CO COMM CENTER,United States Senator,,DEM,CHERYL COPELAND,45,7,14,24,0
Butts,JENKINSBURG,United States Senator,,DEM,CHERYL COPELAND,14,5,2,7,0
Butts,STARK,United States Senator,,DEM,CHERYL COPELAND,3,0,1,2,0
Butts,TOWALIGA,United States Senator,,DEM,CHERYL COPELAND,13,1,4,8,0
Butts,WORTHVILLE,United States Senator,,DEM,CHERYL COPELAND,1,0,0,1,0
Butts,,United States Senator,,DEM,JOHN F COYNE III,7,2,2,3,0
Butts,BUTTS CO COMM CENTER,United States Senator,,DEM,JOHN F COYNE III,3,2,1,0,0
Butts,JENKINSBURG,United States Senator,,DEM,JOHN F COYNE III,2,0,0,2,0
Butts,STARK,United States Senator,,DEM,JOHN F COYNE III,0,0,0,0,0
Butts,TOWALIGA,United States Senator,,DEM,JOHN F COYNE III,2,0,1,1,0
Butts,WORTHVILLE,United States Senator,,DEM,JOHN F COYNE III,0,0,0,0,0
Butts,,Public Service Commission,2,REP,KELLIE POLLARD AUSTIN,388,8,159,221,0
Butts,BUTTS CO COMM CENTER,Public Service Commission,2,REP,KELLIE POLLARD AUSTIN,92,1,39,52,0
Butts,JENKINSBURG,Public Service Commission,2,REP,KELLIE POLLARD AUSTIN,48,1,21,26,0
Butts,STARK,Public Service Commission,2,REP,KELLIE POLLARD AUSTIN,116,1,48,67,0
Butts,TOWALIGA,Public Service Commission,2,REP,KELLIE POLLARD AUSTIN,102,4,36,62,0
Butts,WORTHVILLE,Public Service Commission,2,REP,KELLIE POLLARD AUSTIN,30,1,15,14,0
Butts,,Public Service Commission,2,REP,TIM ECHOLS (I),2366,61,948,1357,0
Butts,BUTTS CO COMM CENTER,Public Service Commission,2,REP,TIM ECHOLS (I),464,12,150,302,0
Butts,JENKINSBURG,Public Service Commission,2,REP,TIM ECHOLS (I),321,3,153,165,0
Butts,STARK,Public Service Commission,2,REP,TIM ECHOLS (I),537,12,277,248,0
