county,precinct,office,district,party,candidate,votes,advance_in_person_1,absentee_by_mail,election_day,provisional,advance_in_person_2
Fulton,,President,,DEM,HILLARY CLINTON,83457,6230,657,63056,692,12822
Fulton,01A,President,,DEM,HILLARY CLINTON,520,49,5,449,7,10
Fulton,01B,President,,DEM,HILLARY CLINTON,693,66,2,624,0,1
Fulton,01C,President,,DEM,HILLARY CLINTON,142,5,4,127,1,5
Fulton,01D,President,,DEM,HILLARY CLINTON,192,53,1,136,1,1
Fulton,01E,President,,DEM,HILLARY CLINTON,524,114,3,403,2,2
Fulton,01F,President,,DEM,HILLARY CLINTON,107,12,0,93,0,2
Fulton,01G,President,,DEM,HILLARY CLINTON,276,42,0,231,2,1
Fulton,01H,President,,DEM,HILLARY CLINTON,70,9,0,58,2,1
Fulton,01J,President,,DEM,HILLARY CLINTON,327,31,3,270,3,20
Fulton,01P,President,,DEM,HILLARY CLINTON,230,5,5,212,1,7
Fulton,01R,President,,DEM,HILLARY CLINTON,190,7,2,177,1,3
Fulton,01S,President,,DEM,HILLARY CLINTON,271,9,3,249,2,8
Fulton,01T,President,,DEM,HILLARY CLINTON,147,11,2,127,2,5
Fulton,02A,President,,DEM,HILLARY CLINTON,490,54,6,423,0,7
Fulton,02B,President,,DEM,HILLARY CLINTON,280,30,2,237,2,9
Fulton,02C,President,,DEM,HILLARY CLINTON,294,22,1,266,0,5
Fulton,02D,President,,DEM,HILLARY CLINTON,502,25,0,469,3,5
Fulton,02E,President,,DEM,HILLARY CLINTON,362,29,7,326,0,0
Fulton,02F1,President,,DEM,HILLARY CLINTON,370,26,5,331,2,6
Fulton,02F2,President,,DEM,HILLARY CLINTON,99,4,1,94,0,0
Fulton,02G,President,,DEM,HILLARY CLINTON,461,36,3,411,3,8
Fulton,02J,President,,DEM,HILLARY CLINTON,307,23,1,277,3,3
Fulton,02K,President,,DEM,HILLARY CLINTON,193,10,3,180,0,0
Fulton,02L1,President,,DEM,HILLARY CLINTON,659,84,4,552,7,12
Fulton,02L2,President,,DEM,HILLARY CLINTON,156,24,1,126,2,3
Fulton,02S,President,,DEM,HILLARY CLINTON,102,8,2,88,1,3
Fulton,02W,President,,DEM,HILLARY CLINTON,38,3,0,32,1,2
Fulton,03A,President,,DEM,HILLARY CLINTON,261,9,2,205,5,40
Fulton,03B,President,,DEM,HILLARY CLINTON,55,2,1,44,0,8
Fulton,03C,President,,DEM,HILLARY CLINTON,261,5,3,206,3,44
Fulton,03D,President,,DEM,HILLARY CLINTON,140,10,1,110,1,18
Fulton,03E,President,,DEM,HILLARY CLINTON,254,12,0,217,2,23
Fulton,03F,President,,DEM,HILLARY CLINTON,156,12,1,134,2,7
Fulton,03G,President,,DEM,HILLARY CLINTON,82,3,0,76,2,1
Fulton,03H,President,,DEM,HILLARY CLINTON,131,4,0,99,4,24
Fulton,03I,President,,DEM,HILLARY CLINTON,54,2,1,47,2,2
Fulton,03L,President,,DEM,HILLARY CLINTON,72,2,0,62,2,6
Fulton,03M,President,,DEM,HILLARY CLINTON,79,7,0,64,6,2
Fulton,03N,President,,DEM,HILLARY CLINTON,187,9,0,162,9,7
Fulton,03P1A,President,,DEM,HILLARY CLINTON,222,16,3,190,3,10
Fulton,03P2,President,,DEM,HILLARY CLINTON,5,0,0,5,0,0
Fulton,03S,President,,DEM,HILLARY CLINTON,120,0,1,86,0,33
Fulton,03T,President,,DEM,HILLARY CLINTON,183,12,1,155,3,12
Fulton,04A,President,,DEM,HILLARY CLINTON,151,11,1,119,2,18
Fulton,04B,President,,DEM,HILLARY CLINTON,141,12,1,114,3,11
Fulton,04C,President,,DEM,HILLARY CLINTON,21,1,0,16,0,4
Fulton,04D,President,,DEM,HILLARY CLINTON,286,8,3,229,1,45
Fulton,04F,President,,DEM,HILLARY CLINTON,239,19,0,212,1,7
Fulton,04G,President,,DEM,HILLARY CLINTON,91,2,2,78,0,9
Fulton,04I,President,,DEM,HILLARY CLINTON,83,23,3,51,1,5
Fulton,04J,President,,DEM,HILLARY CLINTON,45,1,0,36,4,4
Fulton,04K,President,,DEM,HILLARY CLINTON,378,18,0,317,4,39
Fulton,04L,President,,DEM,HILLARY CLINTON,201,9,0,168,10,14
Fulton,04M,President,,DEM,HILLARY CLINTON,94,1,0,88,0,5
Fulton,04S,President,,DEM,HILLARY CLINTON,469,6,2,396,6,59
Fulton,04T,President,,DEM,HILLARY CLINTON,213,1,0,181,0,31
Fulton,04V,President,,DEM,HILLARY CLINTON,295,20,3,259,3,10
Fulton,04W,President,,DEM,HILLARY CLINTON,34,4,0,28,1,1
Fulton,04X1,President,,DEM,HILLARY CLINTON,347,14,0,289,6,38
Fulton,04X2,President,,DEM,HILLARY CLINTON,91,3,0,78,0,10
Fulton,05A1,President,,DEM,HILLARY CLINTON,303,14,0,286,2,1
Fulton,05A2,President,,DEM,HILLARY CLINTON,350,28,1,315,1,5
Fulton,05B,President,,DEM,HILLARY CLINTON,273,19,1,245,1,7
Fulton,05C,President,,DEM,HILLARY CLINTON,8,1,0,6,1,0
Fulton,05D,President,,DEM,HILLARY CLINTON,6,2,0,3,1,0
Fulton,05F,President,,DEM,HILLARY CLINTON,5,1,0,4,0,0
Fulton,05J,President,,DEM,HILLARY CLINTON,107,7,0,97,1,2
Fulton,05K,President,,DEM,HILLARY CLINTON,230,14,2,204,1,9
Fulton,06B,President,,DEM,HILLARY CLINTON,278,11,2,259,0,6
Fulton,06D,President,,DEM,HILLARY CLINTON,439,52,4,378,0,5
Fulton,06E,President,,DEM,HILLARY CLINTON,319,33,5,270,3,8
Fulton,06F,President,,DEM,HILLARY CLINTON,392,18,3,365,3,3
Fulton,06G,President,,DEM,HILLARY CLINTON,86,12,0,74,0,0
Fulton,06H,President,,DEM,HILLARY CLINTON,303,8,1,275,17,2
Fulton,06I,President,,DEM,HILLARY CLINTON,253,25,4,219,1,4
