county,precinct,office,district,party,candidate,votes,election_day,absentee,early_voting1,early_voting2,provisional
Fulton,,STATE HOUSE,58,D,PARK CANNON,668,621,2,45,0,0
Fulton,01D,STATE HOUSE,58,D,PARK CANNON,24,18,0,6,0,0
Fulton,01F,STATE HOUSE,58,D,PARK CANNON,4,4,0,0,0,0
Fulton,01H,STATE HOUSE,58,D,PARK CANNON,0,0,0,0,0,0
Fulton,01I,STATE HOUSE,58,D,PARK CANNON,0,0,0,0,0,0
Fulton,02C,STATE HOUSE,58,D,PARK CANNON,58,47,0,11,0,0
Fulton,02D,STATE HOUSE,58,D,PARK CANNON,59,54,0,5,0,0
Fulton,02F2,STATE HOUSE,58,D,PARK CANNON,13,11,0,2,0,0
Fulton,02G,STATE HOUSE,58,D,PARK CANNON,46,44,0,2,0,0
Fulton,02J,STATE HOUSE,58,D,PARK CANNON,47,45,0,2,0,0
Fulton,02K,STATE HOUSE,58,D,PARK CANNON,15,15,0,0,0,0
Fulton,02S,STATE HOUSE,58,D,PARK CANNON,8,8,0,0,0,0
Fulton,04M,STATE HOUSE,58,D,PARK CANNON,2,2,0,0,0,0
Fulton,05A1,STATE HOUSE,58,D,PARK CANNON,55,54,0,1,0,0
Fulton,05B,STATE HOUSE,58,D,PARK CANNON,17,16,0,1,0,0
Fulton,05C,STATE HOUSE,58,D,PARK CANNON,0,0,0,0,0,0
Fulton,05F,STATE HOUSE,58,D,PARK CANNON,1,0,0,1,0,0
Fulton,05J,STATE HOUSE,58,D,PARK CANNON,12,12,0,0,0,0
Fulton,05K,STATE HOUSE,58,D,PARK CANNON,14,14,0,0,0,0
Fulton,06B,STATE HOUSE,58,D,PARK CANNON,14,13,0,1,0,0
Fulton,06F,STATE HOUSE,58,D,PARK CANNON,44,44,0,0,0,0
Fulton,06G,STATE HOUSE,58,D,PARK CANNON,27,22,1,4,0,0
Fulton,11G,STATE HOUSE,58,D,PARK CANNON,6,6,0,0,0,0
Fulton,11K,STATE HOUSE,58,D,PARK CANNON,30,30,0,0,0,0
Fulton,11R,STATE HOUSE,58,D,PARK CANNON,9,8,1,0,0,0
Fulton,12A,STATE HOUSE,58,D,PARK CANNON,113,108,0,5,0,0
Fulton,12I,STATE HOUSE,58,D,PARK CANNON,8,8,0,0,0,0
Fulton,12L,STATE HOUSE,58,D,PARK CANNON,3,3,0,0,0,0
Fulton,12N,STATE HOUSE,58,D,PARK CANNON,13,13,0,0,0,0
Fulton,12S,STATE HOUSE,58,D,PARK CANNON,26,22,0,4,0,0
Fulton,,STATE HOUSE,58,D,RALPH LONG III,464,444,3,17,0,0
Fulton,01D,STATE HOUSE,58,D,RALPH LONG III,20,18,0,2,0,0
Fulton,01F,STATE HOUSE,58,D,RALPH LONG III,4,3,0,1,0,0
Fulton,01H,STATE HOUSE,58,D,RALPH LONG III,6,5,0,1,0,0
Fulton,01I,STATE HOUSE,58,D,RALPH LONG III,0,0,0,0,0,0
Fulton,02C,STATE HOUSE,58,D,RALPH LONG III,27,27,0,0,0,0
Fulton,02D,STATE HOUSE,58,D,RALPH LONG III,16,14,0,2,0,0
Fulton,02F2,STATE HOUSE,58,D,RALPH LONG III,4,4,0,0,0,0
Fulton,02G,STATE HOUSE,58,D,RALPH LONG III,2,1,0,1,0,0
Fulton,02J,STATE HOUSE,58,D,RALPH LONG III,16,16,0,0,0,0
Fulton,02K,STATE HOUSE,58,D,RALPH LONG III,3,3,0,0,0,0
Fulton,02S,STATE HOUSE,58,D,RALPH LONG III,5,5,0,0,0,0
Fulton,04M,STATE HOUSE,58,D,RALPH LONG III,8,8,0,0,0,0
Fulton,05A1,STATE HOUSE,58,D,RALPH LONG III,3,3,0,0,0,0
Fulton,05B,STATE HOUSE,58,D,RALPH LONG III,15,13,0,2,0,0
Fulton,05C,STATE HOUSE,58,D,RALPH LONG III,0,0,0,0,0,0
Fulton,05F,STATE HOUSE,58,D,RALPH LONG III,0,0,0,0,0,0
Fulton,05J,STATE HOUSE,58,D,RALPH LONG III,3,3,0,0,0,0
Fulton,05K,STATE HOUSE,58,D,RALPH LONG III,18,18,0,0,0,0
Fulton,06B,STATE HOUSE,58,D,RALPH LONG III,7,6,1,0,0,0
Fulton,06F,STATE HOUSE,58,D,RALPH LONG III,8,8,0,0,0,0
Fulton,06G,STATE HOUSE,58,D,RALPH LONG III,2,0,0,2,0,0
Fulton,11G,STATE HOUSE,58,D,RALPH LONG III,25,23,1,1,0,0
Fulton,11K,STATE HOUSE,58,D,RALPH LONG III,62,62,0,0,0,0
Fulton,11R,STATE HOUSE,58,D,RALPH LONG III,20,20,0,0,0,0
Fulton,12A,STATE HOUSE,58,D,RALPH LONG III,163,157,1,5,0,0
Fulton,12I,STATE HOUSE,58,D,RALPH LONG III,7,7,0,0,0,0
Fulton,12L,STATE HOUSE,58,D,RALPH LONG III,5,5,0,0,0,0
Fulton,12N,STATE HOUSE,58,D,RALPH LONG III,6,6,0,0,0,0
Fulton,12S,STATE HOUSE,58,D,RALPH LONG III,9,9,0,0,0,0
