county,precinct,office,district,party,candidate,votes,absentee_by_mail,provisional,election_day,advance_in_person,advance_in_person_2
Gwinnett,,President,,REP,JEB BUSH,401,37,1,261,25,77
Gwinnett,001 Harbins A,President,,REP,JEB BUSH,1,0,0,1,0,0
Gwinnett,002 Rockbridge A,President,,REP,JEB BUSH,4,0,0,3,1,0
Gwinnett,003 Dacula,President,,REP,JEB BUSH,4,0,0,3,1,0
Gwinnett,004 Suwanee A,President,,REP,JEB BUSH,1,0,0,0,0,1
Gwinnett,005 Baycreek A,President,,REP,JEB BUSH,4,0,0,2,0,2
Gwinnett,006 Goodwins A,President,,REP,JEB BUSH,1,1,0,0,0,0
Gwinnett,007 Duluth A,President,,REP,JEB BUSH,1,1,0,0,0,0
Gwinnett,008 Duncans A,President,,REP,JEB BUSH,2,0,0,2,0,0
Gwinnett,009 Pucketts A,President,,REP,JEB BUSH,4,0,0,3,1,0
Gwinnett,010 Cates A,President,,REP,JEB BUSH,4,0,0,3,0,1
Gwinnett,011 Berkshire A,President,,REP,JEB BUSH,1,0,0,1,0,0
Gwinnett,012 Berkshire B,President,,REP,JEB BUSH,3,0,0,1,0,2
Gwinnett,013 Duncans C,President,,REP,JEB BUSH,3,0,0,2,1,0
Gwinnett,014 Garners A,President,,REP,JEB BUSH,6,0,0,5,1,0
Gwinnett,015 Lawrenceville A,President,,REP,JEB BUSH,5,2,0,2,0,1
Gwinnett,016 Lawrenceville B,President,,REP,JEB BUSH,5,0,0,4,0,1
Gwinnett,017 Martins A,President,,REP,JEB BUSH,1,0,0,1,0,0
Gwinnett,018 Martins B,President,,REP,JEB BUSH,2,0,0,1,0,1
Gwinnett,019 Martins C,President,,REP,JEB BUSH,0,0,0,0,0,0
Gwinnett,020 Pinckneyville A,President,,REP,JEB BUSH,1,0,0,1,0,0
Gwinnett,021 Pinckneyville B,President,,REP,JEB BUSH,0,0,0,0,0,0
Gwinnett,022 Pinckneyville C,President,,REP,JEB BUSH,0,0,0,0,0,0
Gwinnett,023 Pinckneyville D,President,,REP,JEB BUSH,1,0,0,1,0,0
Gwinnett,024 Sugar Hill A,President,,REP,JEB BUSH,2,0,0,1,1,0
Gwinnett,025 Sugar Hill B,President,,REP,JEB BUSH,3,1,0,2,0,0
Gwinnett,026 Hog Mountain A,President,,REP,JEB BUSH,3,0,0,3,0,0
Gwinnett,027 Hog Mountain B,President,,REP,JEB BUSH,6,1,0,2,0,3
Gwinnett,028 Rockycreek A,President,,REP,JEB BUSH,3,0,0,2,0,1
Gwinnett,029 Cates B,President,,REP,JEB BUSH,1,0,0,0,0,1
Gwinnett,030 Cates C,President,,REP,JEB BUSH,0,0,0,0,0,0
Gwinnett,031 Hog Mountain D,President,,REP,JEB BUSH,3,0,0,3,0,0
Gwinnett,032 Berkshire D,President,,REP,JEB BUSH,2,0,0,2,0,0
Gwinnett,033 Berkshire E,President,,REP,JEB BUSH,1,0,0,1,0,0
Gwinnett,034 Berkshire F,President,,REP,JEB BUSH,5,4,0,1,0,0
Gwinnett,035 Cates D - 04,President,,REP,JEB BUSH,2,0,0,1,1,0
Gwinnett,035 Cates D - 07,President,,REP,JEB BUSH,0,0,0,0,0,0
Gwinnett,036 Cates E,President,,REP,JEB BUSH,6,0,0,5,0,1
Gwinnett,037 Pinckneyville E,President,,REP,JEB BUSH,1,0,0,1,0,0
Gwinnett,038 Pinckneyville F,President,,REP,JEB BUSH,1,0,0,1,0,0
Gwinnett,039 Duncans D,President,,REP,JEB BUSH,1,0,0,1,0,0
Gwinnett,040 Pinckneyville H,President,,REP,JEB BUSH,5,0,0,4,0,1
Gwinnett,041 Baycreek B,President,,REP,JEB BUSH,2,0,0,1,1,0
Gwinnett,042 Lawrenceville C,President,,REP,JEB BUSH,7,2,0,0,2,3
Gwinnett,043 Martins D,President,,REP,JEB BUSH,0,0,0,0,0,0
Gwinnett,044 Rockbridge B,President,,REP,JEB BUSH,2,0,0,0,0,2
Gwinnett,045 Garners B,President,,REP,JEB BUSH,4,2,0,1,1,0
Gwinnett,046 Cates F,President,,REP,JEB BUSH,5,2,0,2,0,1
Gwinnett,047 Cates G,President,,REP,JEB BUSH,2,0,0,1,1,0
Gwinnett,048 Duluth B,President,,REP,JEB BUSH,3,0,0,3,0,0
Gwinnett,049 Garners C,President,,REP,JEB BUSH,4,0,0,4,0,0
Gwinnett,050 Pinckneyville I,President,,REP,JEB BUSH,0,0,0,0,0,0
Gwinnett,051 Pinckneyville J,President,,REP,JEB BUSH,0,0,0,0,0,0
Gwinnett,052 Berkshire G,President,,REP,JEB BUSH,1,0,0,0,0,1
Gwinnett,053 Cates H,President,,REP,JEB BUSH,4,2,0,2,0,0
Gwinnett,054 Sugar Hill C,President,,REP,JEB BUSH,1,0,0,1,0,0
Gwinnett,055 Sugar Hill D,President,,REP,JEB BUSH,3,0,0,2,0,1
Gwinnett,056 Duluth C,President,,REP,JEB BUSH,3,1,0,2,0,0
Gwinnett,057 Duluth D,President,,REP,JEB BUSH,4,0,0,3,0,1
Gwinnett,058 Pinckneyville K,President,,REP,JEB BUSH,0,0,0,0,0,0
Gwinnett,059 Pinckneyville N,President,,REP,JEB BUSH,1,0,0,1,0,0
Gwinnett,060 Lawrenceville D,President,,REP,JEB BUSH,2,0,0,0,0,2
Gwinnett,061 Lawrenceville E,President,,REP,JEB BUSH,0,0,0,0,0,0
