county,precinct,office,district,party,candidate,votes,absentee_by_mail,election_day,advance_in_person,provisional
Catoosa,,President,,DEM,HILLARY CLINTON,1088,12,746,324,6
Catoosa,BLACKSTOCK,President,,DEM,HILLARY CLINTON,34,0,24,9,1
Catoosa,BOYNTON,President,,DEM,HILLARY CLINTON,133,1,92,40,0
Catoosa,CATOOSA KEITH,President,,DEM,HILLARY CLINTON,44,0,34,10,0
Catoosa,CHAMBERS,President,,DEM,HILLARY CLINTON,73,2,53,16,2
Catoosa,FORT OGLETHORPE,President,,DEM,HILLARY CLINTON,116,1,85,30,0
Catoosa,GRAYSVILLE,President,,DEM,HILLARY CLINTON,101,3,81,16,1
Catoosa,LAKEVIEW,President,,DEM,HILLARY CLINTON,71,1,54,16,0
Catoosa,POPLAR SPRINGS,President,,DEM,HILLARY CLINTON,100,1,65,33,1
Catoosa,RINGGOLD,President,,DEM,HILLARY CLINTON,203,3,123,76,1
Catoosa,WESTSIDE,President,,DEM,HILLARY CLINTON,139,0,84,55,0
Catoosa,WOODSTATION,President,,DEM,HILLARY CLINTON,74,0,51,23,0
Catoosa,,President,,DEM,MARTIN O'MALLEY,11,1,7,3,0
Catoosa,BLACKSTOCK,President,,DEM,MARTIN O'MALLEY,0,0,0,0,0
Catoosa,BOYNTON,President,,DEM,MARTIN O'MALLEY,1,0,0,1,0
Catoosa,CATOOSA KEITH,President,,DEM,MARTIN O'MALLEY,2,0,0,2,0
Catoosa,CHAMBERS,President,,DEM,MARTIN O'MALLEY,1,0,1,0,0
Catoosa,FORT OGLETHORPE,President,,DEM,MARTIN O'MALLEY,1,0,1,0,0
Catoosa,GRAYSVILLE,President,,DEM,MARTIN O'MALLEY,1,0,1,0,0
Catoosa,LAKEVIEW,President,,DEM,MARTIN O'MALLEY,1,0,1,0,0
Catoosa,POPLAR SPRINGS,President,,DEM,MARTIN O'MALLEY,1,0,1,0,0
Catoosa,RINGGOLD,President,,DEM,MARTIN O'MALLEY,1,0,1,0,0
Catoosa,WESTSIDE,President,,DEM,MARTIN O'MALLEY,2,1,1,0,0
Catoosa,WOODSTATION,President,,DEM,MARTIN O'MALLEY,0,0,0,0,0
Catoosa,,President,,DEM,BERNIE SANDERS,1027,11,780,235,1
Catoosa,BLACKSTOCK,President,,DEM,BERNIE SANDERS,41,1,31,9,0
Catoosa,BOYNTON,President,,DEM,BERNIE SANDERS,134,2,104,28,0
Catoosa,CATOOSA KEITH,President,,DEM,BERNIE SANDERS,56,0,40,16,0
Catoosa,CHAMBERS,President,,DEM,BERNIE SANDERS,45,4,29,12,0
Catoosa,FORT OGLETHORPE,President,,DEM,BERNIE SANDERS,108,1,93,14,0
Catoosa,GRAYSVILLE,President,,DEM,BERNIE SANDERS,99,0,76,23,0
Catoosa,LAKEVIEW,President,,DEM,BERNIE SANDERS,84,1,73,10,0
Catoosa,POPLAR SPRINGS,President,,DEM,BERNIE SANDERS,94,0,65,29,0
Catoosa,RINGGOLD,President,,DEM,BERNIE SANDERS,184,1,122,61,0
Catoosa,WESTSIDE,President,,DEM,BERNIE SANDERS,117,0,91,26,0
Catoosa,WOODSTATION,President,,DEM,BERNIE SANDERS,65,1,56,7,1
Catoosa,,President,,DEM,MICHAEL STEINBERG,13,1,9,3,0
Catoosa,BLACKSTOCK,President,,DEM,MICHAEL STEINBERG,1,0,1,0,0
Catoosa,BOYNTON,President,,DEM,MICHAEL STEINBERG,2,0,1,1,0
Catoosa,CATOOSA KEITH,President,,DEM,MICHAEL STEINBERG,0,0,0,0,0
Catoosa,CHAMBERS,President,,DEM,MICHAEL STEINBERG,1,0,0,1,0
Catoosa,FORT OGLETHORPE,President,,DEM,MICHAEL STEINBERG,5,0,5,0,0
Catoosa,GRAYSVILLE,President,,DEM,MICHAEL STEINBERG,1,0,1,0,0
Catoosa,LAKEVIEW,President,,DEM,MICHAEL STEINBERG,0,0,0,0,0
Catoosa,POPLAR SPRINGS,President,,DEM,MICHAEL STEINBERG,1,0,1,0,0
Catoosa,RINGGOLD,President,,DEM,MICHAEL STEINBERG,0,0,0,0,0
Catoosa,WESTSIDE,President,,DEM,MICHAEL STEINBERG,2,1,0,1,0
Catoosa,WOODSTATION,President,,DEM,MICHAEL STEINBERG,0,0,0,0,0
Catoosa,,President,,REP,JEB BUSH,45,1,21,23,0
Catoosa,BLACKSTOCK,President,,REP,JEB BUSH,3,0,0,3,0
Catoosa,BOYNTON,President,,REP,JEB BUSH,4,0,3,1,0
Catoosa,CATOOSA KEITH,President,,REP,JEB BUSH,1,0,1,0,0
Catoosa,CHAMBERS,President,,REP,JEB BUSH,3,1,2,0,0
Catoosa,FORT OGLETHORPE,President,,REP,JEB BUSH,6,0,4,2,0
Catoosa,GRAYSVILLE,President,,REP,JEB BUSH,3,0,2,1,0
Catoosa,LAKEVIEW,President,,REP,JEB BUSH,2,0,2,0,0
Catoosa,POPLAR SPRINGS,President,,REP,JEB BUSH,6,0,2,4,0
Catoosa,RINGGOLD,President,,REP,JEB BUSH,8,0,2,6,0
Catoosa,WESTSIDE,President,,REP,JEB BUSH,8,0,2,6,0
Catoosa,WOODSTATION,President,,REP,JEB BUSH,1,0,1,0,0
Catoosa,,President,,REP,BEN CARSON,1106,11,926,164,5
Catoosa,BLACKSTOCK,President,,REP,BEN CARSON,25,0,22,3,0
Catoosa,BOYNTON,President,,REP,BEN CARSON,166,1,142,23,0
Catoosa,CATOOSA KEITH,President,,REP,BEN CARSON,78,1,68,9,0
Catoosa,CHAMBERS,President,,REP,BEN CARSON,93,5,81,7,0
Catoosa,FORT OGLETHORPE,President,,REP,BEN CARSON,68,1,57,10,0
Catoosa,GRAYSVILLE,President,,REP,BEN CARSON,99,0,82,17,0
Catoosa,LAKEVIEW,President,,REP,BEN CARSON,72,0,62,8,2
Catoosa,POPLAR SPRINGS,President,,REP,BEN CARSON,106,0,94,11,1
Catoosa,RINGGOLD,President,,REP,BEN CARSON,176,0,135,40,1
Catoosa,WESTSIDE,President,,REP,BEN CARSON,126,3,96,27,0
Catoosa,WOODSTATION,President,,REP,BEN CARSON,97,0,87,9,1
Catoosa,,President,,REP,CHRIS CHRISTIE,11,1,6,4,0
Catoosa,BLACKSTOCK,President,,REP,CHRIS CHRISTIE,0,0,0,0,0
Catoosa,BOYNTON,President,,REP,CHRIS CHRISTIE,3,0,1,2,0
Catoosa,CATOOSA KEITH,President,,REP,CHRIS CHRISTIE,0,0,0,0,0
Catoosa,CHAMBERS,President,,REP,CHRIS CHRISTIE,0,0,0,0,0
Catoosa,FORT OGLETHORPE,President,,REP,CHRIS CHRISTIE,0,0,0,0,0
Catoosa,GRAYSVILLE,President,,REP,CHRIS CHRISTIE,1,0,1,0,0
Catoosa,LAKEVIEW,President,,REP,CHRIS CHRISTIE,0,0,0,0,0
Catoosa,POPLAR SPRINGS,President,,REP,CHRIS CHRISTIE,3,1,1,1,0
Catoosa,RINGGOLD,President,,REP,CHRIS CHRISTIE,4,0,3,1,0
Catoosa,WESTSIDE,President,,REP,CHRIS CHRISTIE,0,0,0,0,0
Catoosa,WOODSTATION,President,,REP,CHRIS CHRISTIE,0,0,0,0,0
Catoosa,,President,,REP,TED CRUZ,2536,18,2052,455,11
Catoosa,BLACKSTOCK,President,,REP,TED CRUZ,97,0,85,12,0
Catoosa,BOYNTON,President,,REP,TED CRUZ,381,4,320,54,3
Catoosa,CATOOSA KEITH,President,,REP,TED CRUZ,169,1,146,21,1
Catoosa,CHAMBERS,President,,REP,TED CRUZ,193,0,176,15,2
Catoosa,FORT OGLETHORPE,President,,REP,TED CRUZ,177,0,139,38,0
Catoosa,GRAYSVILLE,President,,REP,TED CRUZ,261,3,222,36,0
Catoosa,LAKEVIEW,President,,REP,TED CRUZ,142,2,113,25,2
Catoosa,POPLAR SPRINGS,President,,REP,TED CRUZ,254,0,209,44,1
Catoosa,RINGGOLD,President,,REP,TED CRUZ,423,7,311,104,1
Catoosa,WESTSIDE,President,,REP,TED CRUZ,241,0,176,65,0
Catoosa,WOODSTATION,President,,REP,TED CRUZ,198,1,155,41,1
Catoosa,,President,,REP,CARLY FIORINA,2,0,2,0,0
Catoosa,BLACKSTOCK,President,,REP,CARLY FIORINA,0,0,0,0,0
Catoosa,BOYNTON,President,,REP,CARLY FIORINA,0,0,0,0,0
Catoosa,CATOOSA KEITH,President,,REP,CARLY FIORINA,0,0,0,0,0
Catoosa,CHAMBERS,President,,REP,CARLY FIORINA,1,0,1,0,0
Catoosa,FORT OGLETHORPE,President,,REP,CARLY FIORINA,0,0,0,0,0
Catoosa,GRAYSVILLE,President,,REP,CARLY FIORINA,0,0,0,0,0
Catoosa,LAKEVIEW,President,,REP,CARLY FIORINA,0,0,0,0,0
Catoosa,POPLAR SPRINGS,President,,REP,CARLY FIORINA,0,0,0,0,0
Catoosa,RINGGOLD,President,,REP,CARLY FIORINA,0,0,0,0,0
Catoosa,WESTSIDE,President,,REP,CARLY FIORINA,1,0,1,0,0
Catoosa,WOODSTATION,President,,REP,CARLY FIORINA,0,0,0,0,0
Catoosa,,President,,REP,LINDSEY GRAHAM,0,0,0,0,0
Catoosa,BLACKSTOCK,President,,REP,LINDSEY GRAHAM,0,0,0,0,0
