county,precinct,office,district,party,candidate,votes,absentee_by_mail,election_day,advance_in_person,provisional
Dougherty,,President of the United States,,,DONALD J. TRUMP,10232,514,5917,3796,5
Dougherty,Palmyra Rd Meth Church,President of the United States,,,DONALD J. TRUMP,765,40,448,277,0
Dougherty,Sherwood Elem School,President of the United States,,,DONALD J. TRUMP,724,52,416,255,1
Dougherty,Covenant Pres Church,President of the United States,,,DONALD J. TRUMP,688,29,401,258,0
Dougherty,Greenbriar Church,President of the United States,,,DONALD J. TRUMP,1467,80,777,610,0
Dougherty,Westover High School,President of the United States,,,DONALD J. TRUMP,1019,60,512,447,0
Dougherty,Merry Acres Middle,President of the United States,,,DONALD J. TRUMP,851,36,487,328,0
Dougherty,Darton College,President of the United States,,,DONALD J. TRUMP,556,30,263,263,0
Dougherty,Westtown Elem School,President of the United States,,,DONALD J. TRUMP,84,3,38,43,0
Dougherty,Second Mt. Zion,President of the United States,,,DONALD J. TRUMP,521,18,358,145,0
Dougherty,Mt. Zion Center,President of the United States,,,DONALD J. TRUMP,29,0,11,18,0
Dougherty,Alice Coachman Elem,President of the United States,,,DONALD J. TRUMP,10,0,7,3,0
Dougherty,Carver Teen Center,President of the United States,,,DONALD J. TRUMP,12,0,6,6,0
Dougherty,Shiloh Baptist Church,President of the United States,,,DONALD J. TRUMP,8,0,6,2,0
Dougherty,Litman Cathedral,President of the United States,,,DONALD J. TRUMP,26,2,18,6,0
Dougherty,Phoebe Edu. Bldg,President of the United States,,,DONALD J. TRUMP,120,5,63,52,0
Dougherty,Turner Elem School,President of the United States,,,DONALD J. TRUMP,19,0,17,2,0
Dougherty,Jackson Heights Elem,President of the United States,,,DONALD J. TRUMP,12,0,5,7,0
Dougherty,Bill Miller Center,President of the United States,,,DONALD J. TRUMP,102,8,53,40,1
Dougherty,Radium Middle School,President of the United States,,,DONALD J. TRUMP,149,7,98,44,0
Dougherty,Putney 1st Bapt Church,President of the United States,,,DONALD J. TRUMP,774,25,553,195,1
Dougherty,International Studie,President of the United States,,,DONALD J. TRUMP,151,7,102,42,0
Dougherty,Phoebe East,President of the United States,,,DONALD J. TRUMP,158,6,93,59,0
Dougherty,Pine Bluff Bapt Church,President of the United States,,,DONALD J. TRUMP,396,22,252,122,0
Dougherty,Albany Middle School,President of the United States,,,DONALD J. TRUMP,69,1,44,24,0
Dougherty,Christ Church,President of the United States,,,DONALD J. TRUMP,855,39,512,303,1
Dougherty,Lamar Reese Elem School,President of the United States,,,DONALD J. TRUMP,33,0,20,13,0
Dougherty,First Christian Church,President of the United States,,,DONALD J. TRUMP,623,43,350,229,1
Dougherty,Lovett Hall,President of the United States,,,DONALD J. TRUMP,11,1,7,3,0
Dougherty,,President of the United States,,,HILLARY CLINTON,23311,1063,11877,10289,82
Dougherty,Palmyra Rd Meth Church,President of the United States,,,HILLARY CLINTON,637,39,311,285,2
Dougherty,Sherwood Elem School,President of the United States,,,HILLARY CLINTON,977,35,468,465,9
Dougherty,Covenant Pres Church,President of the United States,,,HILLARY CLINTON,597,16,312,268,1
Dougherty,Greenbriar Church,President of the United States,,,HILLARY CLINTON,1217,66,484,665,2
Dougherty,Westover High School,President of the United States,,,HILLARY CLINTON,1186,47,520,618,1
Dougherty,Merry Acres Middle,President of the United States,,,HILLARY CLINTON,615,31,317,267,0
Dougherty,Darton College,President of the United States,,,HILLARY CLINTON,1731,60,702,966,3
Dougherty,Westtown Elem School,President of the United States,,,HILLARY CLINTON,1754,79,806,868,1
Dougherty,Second Mt. Zion,President of the United States,,,HILLARY CLINTON,391,17,204,169,1
Dougherty,Mt. Zion Center,President of the United States,,,HILLARY CLINTON,1791,80,962,745,4
Dougherty,Alice Coachman Elem,President of the United States,,,HILLARY CLINTON,500,28,231,239,2
Dougherty,Carver Teen Center,President of the United States,,,HILLARY CLINTON,807,45,477,281,4
Dougherty,Shiloh Baptist Church,President of the United States,,,HILLARY CLINTON,644,33,359,247,5
Dougherty,Litman Cathedral,President of the United States,,,HILLARY CLINTON,629,28,414,186,1
Dougherty,Phoebe Edu. Bldg,President of the United States,,,HILLARY CLINTON,550,29,305,215,1
Dougherty,Turner Elem School,President of the United States,,,HILLARY CLINTON,371,13,255,100,3
Dougherty,Jackson Heights Elem,President of the United States,,,HILLARY CLINTON,1255,85,714,453,3
Dougherty,Bill Miller Center,President of the United States,,,HILLARY CLINTON,1105,45,606,446,8
Dougherty,Radium Middle School,President of the United States,,,HILLARY CLINTON,309,18,161,130,0
Dougherty,Putney 1st Bapt Church,President of the United States,,,HILLARY CLINTON,813,24,368,418,3
Dougherty,International Studie,President of the United States,,,HILLARY CLINTON,426,16,197,213,0
Dougherty,Phoebe East,President of the United States,,,HILLARY CLINTON,1204,56,651,489,8
Dougherty,Pine Bluff Bapt Church,President of the United States,,,HILLARY CLINTON,777,38,392,346,1
Dougherty,Albany Middle School,President of the United States,,,HILLARY CLINTON,853,51,500,299,3
Dougherty,Christ Church,President of the United States,,,HILLARY CLINTON,473,22,166,285,0
Dougherty,Lamar Reese Elem School,President of the United States,,,HILLARY CLINTON,654,34,284,335,1
Dougherty,First Christian Church,President of the United States,,,HILLARY CLINTON,389,19,205,165,0
Dougherty,Lovett Hall,President of the United States,,,HILLARY CLINTON,656,9,506,126,15
Dougherty,,President of the United States,,,GARY JOHNSON,475,31,306,137,1
Dougherty,Palmyra Rd Meth Church,President of the United States,,,GARY JOHNSON,28,1,20,7,0
Dougherty,Sherwood Elem School,President of the United States,,,GARY JOHNSON,40,2,27,11,0
Dougherty,Covenant Pres Church,President of the United States,,,GARY JOHNSON,18,0,13,5,0
Dougherty,Greenbriar Church,President of the United States,,,GARY JOHNSON,55,8,31,16,0
Dougherty,Westover High School,President of the United States,,,GARY JOHNSON,40,4,22,14,0
Dougherty,Merry Acres Middle,President of the United States,,,GARY JOHNSON,42,5,25,12,0
Dougherty,Darton College,President of the United States,,,GARY JOHNSON,27,1,18,8,0
Dougherty,Westtown Elem School,President of the United States,,,GARY JOHNSON,19,2,12,5,0
Dougherty,Second Mt. Zion,President of the United States,,,GARY JOHNSON,9,0,8,1,0
Dougherty,Mt. Zion Center,President of the United States,,,GARY JOHNSON,10,0,5,5,0
Dougherty,Alice Coachman Elem,President of the United States,,,GARY JOHNSON,2,0,0,2,0
Dougherty,Carver Teen Center,President of the United States,,,GARY JOHNSON,7,0,5,2,0
Dougherty,Shiloh Baptist Church,President of the United States,,,GARY JOHNSON,3,0,1,2,0
Dougherty,Litman Cathedral,President of the United States,,,GARY JOHNSON,6,1,5,0,0
Dougherty,Phoebe Edu. Bldg,President of the United States,,,GARY JOHNSON,11,0,10,1,0
Dougherty,Turner Elem School,President of the United States,,,GARY JOHNSON,6,0,6,0,0
Dougherty,Jackson Heights Elem,President of the United States,,,GARY JOHNSON,8,1,5,2,0
Dougherty,Bill Miller Center,President of the United States,,,GARY JOHNSON,13,1,10,2,0
Dougherty,Radium Middle School,President of the United States,,,GARY JOHNSON,7,0,4,3,0
Dougherty,Putney 1st Bapt Church,President of the United States,,,GARY JOHNSON,19,0,16,3,0
Dougherty,International Studie,President of the United States,,,GARY JOHNSON,7,0,5,2,0
Dougherty,Phoebe East,President of the United States,,,GARY JOHNSON,12,0,11,1,0
