county,office,district,party,candidate,votes,election_day,absentee,early_voting,provisional
,U.S. Representative,3,REP,MIKE CRANE,19498,14078,777,4635,8
Carroll,U.S. Representative,3,REP,MIKE CRANE,2621,1996,75,549,1
Coweta,U.S. Representative,3,REP,MIKE CRANE,4453,3369,219,865,0
Fayette,U.S. Representative,3,REP,MIKE CRANE,4639,3594,107,937,1
Harris,U.S. Representative,3,REP,MIKE CRANE,448,330,23,95,0
Heard,U.S. Representative,3,REP,MIKE CRANE,257,160,48,49,0
Henry,U.S. Representative,3,REP,MIKE CRANE,847,584,37,223,3
Lamar,U.S. Representative,3,REP,MIKE CRANE,399,272,21,106,0
Meriwether,U.S. Representative,3,REP,MIKE CRANE,301,278,6,17,0
Muscogee,U.S. Representative,3,REP,MIKE CRANE,473,366,54,53,0
Pike,U.S. Representative,3,REP,MIKE CRANE,695,466,46,183,0
Spalding,U.S. Representative,3,REP,MIKE CRANE,2353,1498,60,795,0
Troup,U.S. Representative,3,REP,MIKE CRANE,1086,735,51,299,1
Upson,U.S. Representative,3,REP,MIKE CRANE,926,430,30,464,2
,U.S. Representative,3,REP,DREW FERGUSON,22836,14960,1032,6821,23
Carroll,U.S. Representative,3,REP,DREW FERGUSON,3373,2396,79,887,11
Coweta,U.S. Representative,3,REP,DREW FERGUSON,3895,2815,163,912,5
Fayette,U.S. Representative,3,REP,DREW FERGUSON,2872,2121,100,651,0
Harris,U.S. Representative,3,REP,DREW FERGUSON,1357,996,59,302,0
Heard,U.S. Representative,3,REP,DREW FERGUSON,355,246,27,82,0
Henry,U.S. Representative,3,REP,DREW FERGUSON,1071,703,48,319,1
Lamar,U.S. Representative,3,REP,DREW FERGUSON,414,237,20,157,0
Meriwether,U.S. Representative,3,REP,DREW FERGUSON,609,494,18,97,0
Muscogee,U.S. Representative,3,REP,DREW FERGUSON,942,697,107,137,1
Pike,U.S. Representative,3,REP,DREW FERGUSON,807,494,60,252,1
Spalding,U.S. Representative,3,REP,DREW FERGUSON,2819,1667,82,1068,2
Troup,U.S. Representative,3,REP,DREW FERGUSON,2468,1398,203,865,2
Upson,U.S. Representative,3,REP,DREW FERGUSON,1854,696,66,1092,0
,State Senator,24,REP,LEE ANDERSON,5880,3580,373,1927,0
Columbia,State Senator,24,REP,LEE ANDERSON,3360,2192,148,1020,0
Elbert,State Senator,24,REP,LEE ANDERSON,417,239,51,127,0
Hart,State Senator,24,REP,LEE ANDERSON,564,339,59,166,0
Lincoln,State Senator,24,REP,LEE ANDERSON,206,115,20,71,0
Oglethorpe,State Senator,24,REP,LEE ANDERSON,1283,668,93,522,0
Richmond,State Senator,24,REP,LEE ANDERSON,8,6,0,2,0
Taliaferro,State Senator,24,REP,LEE ANDERSON,5,3,0,2,0
Wilkes,State Senator,24,REP,LEE ANDERSON,37,18,2,17,0
