county,precinct,office,district,party,candidate,votes,absentee_by_mail,election_day,advance_in_person,provisional
McIntosh,,President of the United States,,,DONALD J. TRUMP,3487,375,1254,1853,5
McIntosh,Sapelo Island,President of the United States,,,DONALD J. TRUMP,10,0,6,4,0
McIntosh,Townsend,President of the United States,,,DONALD J. TRUMP,293,109,119,65,0
McIntosh,Crescent,President of the United States,,,DONALD J. TRUMP,406,19,135,252,0
McIntosh,Darien,President of the United States,,,DONALD J. TRUMP,925,117,255,550,3
McIntosh,South Newport,President of the United States,,,DONALD J. TRUMP,1009,69,451,489,0
McIntosh,North Darien,President of the United States,,,DONALD J. TRUMP,844,61,288,493,2
McIntosh,,President of the United States,,,HILLARY CLINTON,2303,228,956,1114,5
McIntosh,Sapelo Island,President of the United States,,,HILLARY CLINTON,39,5,26,8,0
McIntosh,Townsend,President of the United States,,,HILLARY CLINTON,116,25,43,48,0
McIntosh,Crescent,President of the United States,,,HILLARY CLINTON,799,75,349,374,1
McIntosh,Darien,President of the United States,,,HILLARY CLINTON,582,56,213,309,4
McIntosh,South Newport,President of the United States,,,HILLARY CLINTON,358,35,159,164,0
McIntosh,North Darien,President of the United States,,,HILLARY CLINTON,409,32,166,211,0
McIntosh,,President of the United States,,,GARY JOHNSON,113,12,57,44,0
McIntosh,Sapelo Island,President of the United States,,,GARY JOHNSON,0,0,0,0,0
McIntosh,Townsend,President of the United States,,,GARY JOHNSON,1,0,1,0,0
McIntosh,Crescent,President of the United States,,,GARY JOHNSON,10,0,6,4,0
McIntosh,Darien,President of the United States,,,GARY JOHNSON,29,3,11,15,0
McIntosh,South Newport,President of the United States,,,GARY JOHNSON,35,4,20,11,0
McIntosh,North Darien,President of the United States,,,GARY JOHNSON,38,5,19,14,0
McIntosh,,United States Senator,,,JOHNNY ISAKSON ,3420,391,1225,1798,6
McIntosh,Sapelo Island,United States Senator,,,JOHNNY ISAKSON ,11,0,6,5,0
McIntosh,Townsend,United States Senator,,,JOHNNY ISAKSON ,283,111,108,64,0
McIntosh,Crescent,United States Senator,,,JOHNNY ISAKSON ,447,23,150,274,0
McIntosh,Darien,United States Senator,,,JOHNNY ISAKSON ,879,122,238,515,4
McIntosh,South Newport,United States Senator,,,JOHNNY ISAKSON ,998,75,443,480,0
McIntosh,North Darien,United States Senator,,,JOHNNY ISAKSON ,802,60,280,460,2
McIntosh,,United States Senator,,,JIM BARKSDALE,1905,199,795,907,4
McIntosh,Sapelo Island,United States Senator,,,JIM BARKSDALE,32,5,21,6,0
McIntosh,Townsend,United States Senator,,,JIM BARKSDALE,98,18,39,41,0
McIntosh,Crescent,United States Senator,,,JIM BARKSDALE,647,64,286,296,1
McIntosh,Darien,United States Senator,,,JIM BARKSDALE,494,54,187,250,3
McIntosh,South Newport,United States Senator,,,JIM BARKSDALE,290,25,126,139,0
McIntosh,North Darien,United States Senator,,,JIM BARKSDALE,344,33,136,175,0
McIntosh,,United States Senator,,,ALLEN BUCKLEY,189,14,83,92,0
McIntosh,Sapelo Island,United States Senator,,,ALLEN BUCKLEY,0,0,0,0,0
McIntosh,Townsend,United States Senator,,,ALLEN BUCKLEY,7,0,4,3,0
McIntosh,Crescent,United States Senator,,,ALLEN BUCKLEY,32,0,14,18,0
McIntosh,Darien,United States Senator,,,ALLEN BUCKLEY,45,3,16,26,0
McIntosh,South Newport,United States Senator,,,ALLEN BUCKLEY,53,8,28,17,0
McIntosh,North Darien,United States Senator,,,ALLEN BUCKLEY,52,3,21,28,0
McIntosh,,"Public Service Commission, District 2",2,,TIM ECHOLS ,3727,406,1349,1966,6
McIntosh,Sapelo Island,"Public Service Commission, District 2",2,,TIM ECHOLS ,15,2,7,6,0
McIntosh,Townsend,"Public Service Commission, District 2",2,,TIM ECHOLS ,290,107,118,65,0
McIntosh,Crescent,"Public Service Commission, District 2",2,,TIM ECHOLS ,545,26,194,324,1
McIntosh,Darien,"Public Service Commission, District 2",2,,TIM ECHOLS ,951,122,259,566,4
McIntosh,South Newport,"Public Service Commission, District 2",2,,TIM ECHOLS ,1055,82,473,500,0
McIntosh,North Darien,"Public Service Commission, District 2",2,,TIM ECHOLS ,871,67,298,505,1
McIntosh,,"Public Service Commission, District 2",2,,ERIC HOSKINS,1235,102,561,570,2
McIntosh,Sapelo Island,"Public Service Commission, District 2",2,,ERIC HOSKINS,18,1,13,4,0
McIntosh,Townsend,"Public Service Commission, District 2",2,,ERIC HOSKINS,62,8,28,26,0
McIntosh,Crescent,"Public Service Commission, District 2",2,,ERIC HOSKINS,362,35,170,157,0
McIntosh,Darien,"Public Service Commission, District 2",2,,ERIC HOSKINS,322,28,137,156,1
McIntosh,South Newport,"Public Service Commission, District 2",2,,ERIC HOSKINS,228,16,106,106,0
McIntosh,North Darien,"Public Service Commission, District 2",2,,ERIC HOSKINS,243,14,107,121,1
McIntosh,,U.S. Representative,1,,EARL “BUDDY” CARTER ,4463,444,1712,2300,7
McIntosh,Sapelo Island,U.S. Representative,1,,EARL “BUDDY” CARTER ,24,2,15,7,0
McIntosh,Townsend,U.S. Representative,1,,EARL “BUDDY” CARTER ,319,103,133,83,0
McIntosh,Crescent,U.S. Representative,1,,EARL “BUDDY” CARTER ,771,50,302,418,1
McIntosh,Darien,U.S. Representative,1,,EARL “BUDDY” CARTER ,1159,137,358,660,4
McIntosh,South Newport,U.S. Representative,1,,EARL “BUDDY” CARTER ,1177,77,545,555,0
McIntosh,North Darien,U.S. Representative,1,,EARL “BUDDY” CARTER ,1013,75,359,577,2
McIntosh,,State Senator,3,,WILLIAM LIGON JR ,4371,438,1676,2250,7
McIntosh,Sapelo Island,State Senator,3,,WILLIAM LIGON JR ,24,2,15,7,0
McIntosh,Townsend,State Senator,3,,WILLIAM LIGON JR ,320,103,134,83,0
McIntosh,Crescent,State Senator,3,,WILLIAM LIGON JR ,747,45,294,407,1
McIntosh,Darien,State Senator,3,,WILLIAM LIGON JR ,1141,136,355,646,4
McIntosh,South Newport,State Senator,3,,WILLIAM LIGON JR ,1153,79,530,544,0
McIntosh,North Darien,State Senator,3,,WILLIAM LIGON JR ,986,73,348,563,2
McIntosh,,State Representative,167,,JEFF JONES ,4292,434,1647,2204,7
McIntosh,Sapelo Island,State Representative,167,,JEFF JONES ,25,2,14,9,0
McIntosh,Townsend,State Representative,167,,JEFF JONES ,309,99,130,80,0
McIntosh,Crescent,State Representative,167,,JEFF JONES ,726,50,284,391,1
McIntosh,Darien,State Representative,167,,JEFF JONES ,1107,134,343,626,4
McIntosh,South Newport,State Representative,167,,JEFF JONES ,1142,77,529,536,0
McIntosh,North Darien,State Representative,167,,JEFF JONES ,983,72,347,562,2
McIntosh,,CLERK, SUPERIOR COURT,R,R. MCFERRIN ,3417,379,1194,1839,5
McIntosh,Sapelo Island,CLERK, SUPERIOR COURT,R,R. MCFERRIN ,11,0,6,5,0
McIntosh,Townsend,CLERK, SUPERIOR COURT,R,R. MCFERRIN ,265,104,104,57,0
McIntosh,Crescent,CLERK, SUPERIOR COURT,R,R. MCFERRIN ,402,18,128,256,0
McIntosh,Darien,CLERK, SUPERIOR COURT,R,R. MCFERRIN ,868,117,224,524,3
McIntosh,South Newport,CLERK, SUPERIOR COURT,R,R. MCFERRIN ,1052,77,469,506,0
McIntosh,North Darien,CLERK, SUPERIOR COURT,R,R. MCFERRIN ,819,63,263,491,2
McIntosh,,CLERK, SUPERIOR COURT,D,R. KING,2305,227,1014,1059,5
McIntosh,Sapelo Island,CLERK, SUPERIOR COURT,D,R. KING,37,5,26,6,0
McIntosh,Townsend,CLERK, SUPERIOR COURT,D,R. KING,127,24,57,46,0
McIntosh,Crescent,CLERK, SUPERIOR COURT,D,R. KING,783,75,348,359,1
