county,precinct,office,district,party,candidate,votes,absentee_by_mail,election_day,advance_in_person,provisional
Hall,,United States Senator,,REP,MARY KAY BACALLAO,1391,40,1040,311,0
Hall,01-Wilson,United States Senator,,REP,MARY KAY BACALLAO,64,3,29,32,0
Hall,02-Chicopee,United States Senator,,REP,MARY KAY BACALLAO,20,0,16,4,0
Hall,03-Oakwood I,United States Senator,,REP,MARY KAY BACALLAO,31,0,26,5,0
Hall,04-Oakwood II,United States Senator,,REP,MARY KAY BACALLAO,60,3,47,10,0
Hall,05-Flowery Branch I,United States Senator,,REP,MARY KAY BACALLAO,60,1,47,12,0
Hall,06-Flowery Branch II,United States Senator,,REP,MARY KAY BACALLAO,31,1,27,3,0
Hall,07-Roberts,United States Senator,,REP,MARY KAY BACALLAO,45,1,38,6,0
Hall,08-Morgan I,United States Senator,,REP,MARY KAY BACALLAO,49,0,33,16,0
Hall,09-Morgan II,United States Senator,,REP,MARY KAY BACALLAO,41,3,31,7,0
Hall,10-Candler,United States Senator,,REP,MARY KAY BACALLAO,59,1,48,10,0
Hall,11-Tadmore,United States Senator,,REP,MARY KAY BACALLAO,17,0,14,3,0
Hall,12-Glade,United States Senator,,REP,MARY KAY BACALLAO,26,0,20,6,0
Hall,13-Lula,United States Senator,,REP,MARY KAY BACALLAO,41,4,29,8,0
Hall,14-Clermont,United States Senator,,REP,MARY KAY BACALLAO,46,0,34,12,0
Hall,15-Quillians,United States Senator,,REP,MARY KAY BACALLAO,49,1,41,7,0
Hall,16-Bark Camp,United States Senator,,REP,MARY KAY BACALLAO,62,0,49,13,0
Hall,17-Chestatee,United States Senator,,REP,MARY KAY BACALLAO,61,2,44,15,0
Hall,18-Fork,United States Senator,,REP,MARY KAY BACALLAO,59,0,47,12,0
Hall,19-Whelchel,United States Senator,,REP,MARY KAY BACALLAO,72,1,52,19,0
Hall,20-West Whelchel,United States Senator,,REP,MARY KAY BACALLAO,66,6,44,16,0
Hall,21-Gainesville I,United States Senator,,REP,MARY KAY BACALLAO,54,1,45,8,0
Hall,22-Gainesville II,United States Senator,,REP,MARY KAY BACALLAO,8,0,6,2,0
Hall,23-Gainesville III,United States Senator,,REP,MARY KAY BACALLAO,20,1,13,6,0
Hall,24-Gainesville IV,United States Senator,,REP,MARY KAY BACALLAO,30,1,18,11,0
Hall,25-Gainesville V,United States Senator,,REP,MARY KAY BACALLAO,17,1,14,2,0
Hall,26-Gillsville,United States Senator,,REP,MARY KAY BACALLAO,12,0,10,2,0
Hall,27-Big Hickory,United States Senator,,REP,MARY KAY BACALLAO,68,5,49,14,0
