county,precinct,office,district,party,candidate,election_day,absentee_by_mail,advance_in_person,provisional,votes
Pierce,Hacklebarney/Cason,President,,REP,JEB BUSH,4,0,2,0,6
Pierce,Blackshear,President,,REP,JEB BUSH,4,2,3,0,9
Pierce,St Johns/Blackshear,President,,REP,JEB BUSH,1,0,2,0,3
Pierce,Otter Creek,President,,REP,JEB BUSH,1,0,1,0,2
Pierce,Patterson,President,,REP,JEB BUSH,5,0,1,0,6
Pierce,Mershon,President,,REP,JEB BUSH,1,0,1,0,2
Pierce,Alabaha,President,,REP,JEB BUSH,3,0,0,0,3
Pierce,Sunset/Sweat,President,,REP,JEB BUSH,0,0,0,0,0
Pierce,,President,,REP,JEB BUSH,19,2,10,0,31
Pierce,Hacklebarney/Cason,President,,REP,BEN CARSON,42,1,8,0,51
Pierce,Blackshear,President,,REP,BEN CARSON,40,0,8,0,48
Pierce,St Johns/Blackshear,President,,REP,BEN CARSON,22,1,8,0,31
Pierce,Otter Creek,President,,REP,BEN CARSON,28,0,2,0,30
Pierce,Patterson,President,,REP,BEN CARSON,20,0,6,0,26
Pierce,Mershon,President,,REP,BEN CARSON,7,0,2,0,9
Pierce,Alabaha,President,,REP,BEN CARSON,16,0,5,0,21
Pierce,Sunset/Sweat,President,,REP,BEN CARSON,6,0,0,0,6
Pierce,,President,,REP,BEN CARSON,181,2,39,0,222
Pierce,Hacklebarney/Cason,President,,REP,CHRIS CHRISTIE,1,0,1,0,2
Pierce,Blackshear,President,,REP,CHRIS CHRISTIE,0,1,0,0,1
Pierce,St Johns/Blackshear,President,,REP,CHRIS CHRISTIE,0,0,0,0,0
Pierce,Otter Creek,President,,REP,CHRIS CHRISTIE,1,0,0,0,1
Pierce,Patterson,President,,REP,CHRIS CHRISTIE,0,0,0,0,0
Pierce,Mershon,President,,REP,CHRIS CHRISTIE,0,0,0,0,0
Pierce,Alabaha,President,,REP,CHRIS CHRISTIE,0,0,0,0,0
Pierce,Sunset/Sweat,President,,REP,CHRIS CHRISTIE,0,0,0,0,0
Pierce,,President,,REP,CHRIS CHRISTIE,2,1,1,0,4
Pierce,Hacklebarney/Cason,President,,REP,TED CRUZ,145,5,51,0,201
Pierce,Blackshear,President,,REP,TED CRUZ,193,2,75,0,270
Pierce,St Johns/Blackshear,President,,REP,TED CRUZ,114,3,35,0,152
Pierce,Otter Creek,President,,REP,TED CRUZ,102,0,19,0,121
Pierce,Patterson,President,,REP,TED CRUZ,106,3,21,0,130
Pierce,Mershon,President,,REP,TED CRUZ,18,2,7,0,27
