county,precinct,office,district,party,candidate,votes,absentee_by_mail,advance_in_person_1,advance_in_person_3,election_day,advance_in_person_2,provisional
DeKalb,,President,,REP,JEB BUSH,337,47,28,9,196,57,0
DeKalb,ALLGOOD ELEM,President,,REP,JEB BUSH,1,0,1,0,0,0,0
DeKalb,ASHFORD DUNWOODY RD,President,,REP,JEB BUSH,3,0,0,0,2,1,0
DeKalb,ASHFORD PARK ELEM,President,,REP,JEB BUSH,2,0,0,0,2,0,0
DeKalb,ASHFORD PARKSIDE,President,,REP,JEB BUSH,4,0,0,1,3,0,0
DeKalb,AUSTIN,President,,REP,JEB BUSH,7,0,0,1,6,0,0
DeKalb,AUSTIN DRIVE,President,,REP,JEB BUSH,0,0,0,0,0,0,0
DeKalb,AVONDALE,President,,REP,JEB BUSH,4,0,3,0,1,0,0
DeKalb,AVONDALE HIGH - 04,President,,REP,JEB BUSH,4,0,1,0,3,0,0
DeKalb,AVONDALE HIGH - 05,President,,REP,JEB BUSH,1,0,0,0,1,0,0
DeKalb,BETHUNE MIDDLE,President,,REP,JEB BUSH,2,0,1,0,1,0,0
DeKalb,BOULDERCREST RD,President,,REP,JEB BUSH,0,0,0,0,0,0,0
DeKalb,BOULEVARD,President,,REP,JEB BUSH,1,0,0,0,1,0,0
DeKalb,BRIAR VISTA ELEM,President,,REP,JEB BUSH,1,0,0,0,1,0,0
DeKalb,BRIARCLIFF,President,,REP,JEB BUSH,7,1,0,0,4,2,0
DeKalb,BRIARLAKE ELEM,President,,REP,JEB BUSH,2,0,0,0,1,1,0
DeKalb,BRIARWOOD,President,,REP,JEB BUSH,0,0,0,0,0,0,0
DeKalb,BROCKETT,President,,REP,JEB BUSH,4,0,0,0,2,2,0
DeKalb,BROCKETT ELEM,President,,REP,JEB BUSH,6,1,0,0,1,4,0
DeKalb,BROOKHAVEN,President,,REP,JEB BUSH,2,0,0,0,2,0,0
DeKalb,BROWNS MILL ELEM,President,,REP,JEB BUSH,1,0,0,0,0,1,0
DeKalb,BURGESS ELEM,President,,REP,JEB BUSH,1,0,0,0,1,0,0
DeKalb,CANBY LANE ELEM,President,,REP,JEB BUSH,0,0,0,0,0,0,0
DeKalb,CANDLER,President,,REP,JEB BUSH,0,0,0,0,0,0,0
DeKalb,CANDLER-MURPHEY CANDLER ELEM,President,,REP,JEB BUSH,1,0,0,0,1,0,0
DeKalb,CEDAR GROVE ELEM,President,,REP,JEB BUSH,0,0,0,0,0,0,0
