county,precinct,office,district,party,candidate,votes,election_day,absentee,early_voting1,early_voting2,provisional
Fulton,,STATE HOUSE,58,D,PARK CANNON,396,379,0,16,0,1
Fulton,01D,STATE HOUSE,58,D,PARK CANNON,7,6,0,1,0,0
Fulton,01F,STATE HOUSE,58,D,PARK CANNON,1,1,0,0,0,0
Fulton,01H,STATE HOUSE,58,D,PARK CANNON,0,0,0,0,0,0
Fulton,01I,STATE HOUSE,58,D,PARK CANNON,0,0,0,0,0,0
Fulton,02C,STATE HOUSE,58,D,PARK CANNON,42,39,0,3,0,0
Fulton,02D,STATE HOUSE,58,D,PARK CANNON,35,33,0,2,0,0
Fulton,02F2,STATE HOUSE,58,D,PARK CANNON,1,1,0,0,0,0
Fulton,02G,STATE HOUSE,58,D,PARK CANNON,29,27,0,2,0,0
Fulton,02J,STATE HOUSE,58,D,PARK CANNON,25,25,0,0,0,0
Fulton,02K,STATE HOUSE,58,D,PARK CANNON,12,12,0,0,0,0
Fulton,02S,STATE HOUSE,58,D,PARK CANNON,6,4,0,1,0,1
Fulton,04M,STATE HOUSE,58,D,PARK CANNON,1,1,0,0,0,0
Fulton,05A1,STATE HOUSE,58,D,PARK CANNON,37,34,0,3,0,0
Fulton,05B,STATE HOUSE,58,D,PARK CANNON,14,12,0,2,0,0
Fulton,05C,STATE HOUSE,58,D,PARK CANNON,0,0,0,0,0,0
Fulton,05F,STATE HOUSE,58,D,PARK CANNON,1,1,0,0,0,0
Fulton,05J,STATE HOUSE,58,D,PARK CANNON,10,9,0,1,0,0
Fulton,05K,STATE HOUSE,58,D,PARK CANNON,11,11,0,0,0,0
Fulton,06B,STATE HOUSE,58,D,PARK CANNON,13,13,0,0,0,0
Fulton,06F,STATE HOUSE,58,D,PARK CANNON,56,56,0,0,0,0
Fulton,06G,STATE HOUSE,58,D,PARK CANNON,10,10,0,0,0,0
Fulton,11G,STATE HOUSE,58,D,PARK CANNON,11,11,0,0,0,0
Fulton,11K,STATE HOUSE,58,D,PARK CANNON,11,11,0,0,0,0
Fulton,11R,STATE HOUSE,58,D,PARK CANNON,1,1,0,0,0,0
Fulton,12A,STATE HOUSE,58,D,PARK CANNON,53,52,0,1,0,0
Fulton,12I,STATE HOUSE,58,D,PARK CANNON,1,1,0,0,0,0
Fulton,12L,STATE HOUSE,58,D,PARK CANNON,0,0,0,0,0,0
Fulton,12N,STATE HOUSE,58,D,PARK CANNON,2,2,0,0,0,0
Fulton,12S,STATE HOUSE,58,D,PARK CANNON,6,6,0,0,0,0
Fulton,,STATE HOUSE,58,D,RALPH LONG III,281,272,3,6,0,0
Fulton,01D,STATE HOUSE,58,D,RALPH LONG III,8,8,0,0,0,0
Fulton,01F,STATE HOUSE,58,D,RALPH LONG III,1,1,0,0,0,0
Fulton,01H,STATE HOUSE,58,D,RALPH LONG III,3,3,0,0,0,0
Fulton,01I,STATE HOUSE,58,D,RALPH LONG III,0,0,0,0,0,0
Fulton,02C,STATE HOUSE,58,D,RALPH LONG III,6,6,0,0,0,0
Fulton,02D,STATE HOUSE,58,D,RALPH LONG III,9,9,0,0,0,0
Fulton,02F2,STATE HOUSE,58,D,RALPH LONG III,3,3,0,0,0,0
Fulton,02G,STATE HOUSE,58,D,RALPH LONG III,6,6,0,0,0,0
Fulton,02J,STATE HOUSE,58,D,RALPH LONG III,8,7,0,1,0,0
Fulton,02K,STATE HOUSE,58,D,RALPH LONG III,5,5,0,0,0,0
Fulton,02S,STATE HOUSE,58,D,RALPH LONG III,5,5,0,0,0,0
Fulton,04M,STATE HOUSE,58,D,RALPH LONG III,3,3,0,0,0,0
Fulton,05A1,STATE HOUSE,58,D,RALPH LONG III,1,1,0,0,0,0
Fulton,05B,STATE HOUSE,58,D,RALPH LONG III,5,5,0,0,0,0
Fulton,05C,STATE HOUSE,58,D,RALPH LONG III,0,0,0,0,0,0
Fulton,05F,STATE HOUSE,58,D,RALPH LONG III,0,0,0,0,0,0
Fulton,05J,STATE HOUSE,58,D,RALPH LONG III,5,5,0,0,0,0
Fulton,05K,STATE HOUSE,58,D,RALPH LONG III,22,22,0,0,0,0
Fulton,06B,STATE HOUSE,58,D,RALPH LONG III,6,6,0,0,0,0
Fulton,06F,STATE HOUSE,58,D,RALPH LONG III,13,13,0,0,0,0
Fulton,06G,STATE HOUSE,58,D,RALPH LONG III,0,0,0,0,0,0
Fulton,11G,STATE HOUSE,58,D,RALPH LONG III,13,11,1,1,0,0
Fulton,11K,STATE HOUSE,58,D,RALPH LONG III,42,39,1,2,0,0
Fulton,11R,STATE HOUSE,58,D,RALPH LONG III,9,9,0,0,0,0
Fulton,12A,STATE HOUSE,58,D,RALPH LONG III,72,69,1,2,0,0
Fulton,12I,STATE HOUSE,58,D,RALPH LONG III,14,14,0,0,0,0
Fulton,12L,STATE HOUSE,58,D,RALPH LONG III,3,3,0,0,0,0
Fulton,12N,STATE HOUSE,58,D,RALPH LONG III,8,8,0,0,0,0
Fulton,12S,STATE HOUSE,58,D,RALPH LONG III,11,11,0,0,0,0
Fulton,,STATE HOUSE,58,D,KWAME THOMPSON,158,151,3,4,0,0
Fulton,01D,STATE HOUSE,58,D,KWAME THOMPSON,7,7,0,0,0,0
Fulton,01F,STATE HOUSE,58,D,KWAME THOMPSON,5,3,0,2,0,0
Fulton,01H,STATE HOUSE,58,D,KWAME THOMPSON,1,1,0,0,0,0
Fulton,01I,STATE HOUSE,58,D,KWAME THOMPSON,0,0,0,0,0,0
Fulton,02C,STATE HOUSE,58,D,KWAME THOMPSON,7,7,0,0,0,0
Fulton,02D,STATE HOUSE,58,D,KWAME THOMPSON,9,9,0,0,0,0
Fulton,02F2,STATE HOUSE,58,D,KWAME THOMPSON,0,0,0,0,0,0
Fulton,02G,STATE HOUSE,58,D,KWAME THOMPSON,4,4,0,0,0,0
Fulton,02J,STATE HOUSE,58,D,KWAME THOMPSON,4,4,0,0,0,0
Fulton,02K,STATE HOUSE,58,D,KWAME THOMPSON,1,1,0,0,0,0
Fulton,02S,STATE HOUSE,58,D,KWAME THOMPSON,2,2,0,0,0,0
Fulton,04M,STATE HOUSE,58,D,KWAME THOMPSON,3,3,0,0,0,0
Fulton,05A1,STATE HOUSE,58,D,KWAME THOMPSON,6,6,0,0,0,0
Fulton,05B,STATE HOUSE,58,D,KWAME THOMPSON,3,3,0,0,0,0
Fulton,05C,STATE HOUSE,58,D,KWAME THOMPSON,0,0,0,0,0,0
Fulton,05F,STATE HOUSE,58,D,KWAME THOMPSON,0,0,0,0,0,0
Fulton,05J,STATE HOUSE,58,D,KWAME THOMPSON,3,3,0,0,0,0
Fulton,05K,STATE HOUSE,58,D,KWAME THOMPSON,3,3,0,0,0,0
Fulton,06B,STATE HOUSE,58,D,KWAME THOMPSON,6,5,1,0,0,0
Fulton,06F,STATE HOUSE,58,D,KWAME THOMPSON,4,4,0,0,0,0
Fulton,06G,STATE HOUSE,58,D,KWAME THOMPSON,3,3,0,0,0,0
Fulton,11G,STATE HOUSE,58,D,KWAME THOMPSON,5,3,2,0,0,0
Fulton,11K,STATE HOUSE,58,D,KWAME THOMPSON,18,18,0,0,0,0
Fulton,11R,STATE HOUSE,58,D,KWAME THOMPSON,6,6,0,0,0,0
Fulton,12A,STATE HOUSE,58,D,KWAME THOMPSON,40,38,0,2,0,0
Fulton,12I,STATE HOUSE,58,D,KWAME THOMPSON,4,4,0,0,0,0
Fulton,12L,STATE HOUSE,58,D,KWAME THOMPSON,5,5,0,0,0,0
Fulton,12N,STATE HOUSE,58,D,KWAME THOMPSON,3,3,0,0,0,0
Fulton,12S,STATE HOUSE,58,D,KWAME THOMPSON,6,6,0,0,0,0
