county,precinct,office,district,party,candidate,votes,election_day,absentee,early_voting,provisional
Chatham,,State House,162,,ALICIA BLAKELY,340,289,6,45,0
Chatham,1-09 Immanuel Bapt Church,State House,162,,ALICIA BLAKELY,1,1,0,0,0
Chatham,5-01 Bartlett Middle Sch,State House,162,,ALICIA BLAKELY,8,8,0,0,0
Chatham,5-06 Wildwood United Meth,State House,162,,ALICIA BLAKELY,23,17,0,6,0
Chatham,5-07 Elks Lodge,State House,162,,ALICIA BLAKELY,23,22,0,1,0
Chatham,5-08 Savannah Primitive,State House,162,,ALICIA BLAKELY,28,23,0,5,0
Chatham,5-11 Largo-Tibet Elem,State House,162,,ALICIA BLAKELY,28,23,0,5,0
Chatham,6-01 White Bluff Pres Chr,State House,162,,ALICIA BLAKELY,8,7,0,1,0
Chatham,6-06 The Light,State House,162,,ALICIA BLAKELY,6,5,0,1,0
Chatham,6-08 Savannah Commons,State House,162,,ALICIA BLAKELY,37,31,0,6,0
Chatham,7-01 Garden City Senior Ctr,State House,162,,ALICIA BLAKELY,7,6,0,1,0
Chatham,7-05 Woodlawn Bapt Ch,State House,162,,ALICIA BLAKELY,7,6,1,0,0
Chatham,7-14 Coastal Cathedral,State House,162,,ALICIA BLAKELY,29,23,0,6,0
Chatham,8-03 Silk Hope Bapt Ch,State House,162,,ALICIA BLAKELY,2,1,0,1,0
Chatham,8-07 Woodville-Tompkins,State House,162,,ALICIA BLAKELY,8,8,0,0,0
Chatham,8-08 Resur Of Our Lord Ch,State House,162,,ALICIA BLAKELY,29,24,1,4,0
Chatham,8-09 Moses Jackson Ctr,State House,162,,ALICIA BLAKELY,27,21,2,4,0
Chatham,8-10 Carver Heights Comm Ctr,State House,162,,ALICIA BLAKELY,50,46,2,2,0
Chatham,8-13 Savannah Christ. Sch,State House,162,,ALICIA BLAKELY,2,2,0,0,0
Chatham,8-15 Garden City Rec Ctr,State House,162,,ALICIA BLAKELY,17,15,0,2,0
Chatham,,State House,162,,CARL GILLIARD,943,840,22,81,0
Chatham,1-09 Immanuel Bapt Church,State House,162,,CARL GILLIARD,5,3,0,2,0
Chatham,5-01 Bartlett Middle Sch,State House,162,,CARL GILLIARD,10,7,0,3,0
Chatham,5-06 Wildwood United Meth,State House,162,,CARL GILLIARD,55,49,0,6,0
Chatham,5-07 Elks Lodge,State House,162,,CARL GILLIARD,20,17,0,3,0
Chatham,5-08 Savannah Primitive,State House,162,,CARL GILLIARD,32,28,1,3,0
Chatham,5-11 Largo-Tibet Elem,State House,162,,CARL GILLIARD,83,71,0,12,0
Chatham,6-01 White Bluff Pres Chr,State House,162,,CARL GILLIARD,25,18,2,5,0
Chatham,6-06 The Light,State House,162,,CARL GILLIARD,25,18,0,7,0
Chatham,6-08 Savannah Commons,State House,162,,CARL GILLIARD,46,43,0,3,0
Chatham,7-01 Garden City Senior Ctr,State House,162,,CARL GILLIARD,80,77,2,1,0
Chatham,7-05 Woodlawn Bapt Ch,State House,162,,CARL GILLIARD,25,25,0,0,0
Chatham,7-14 Coastal Cathedral,State House,162,,CARL GILLIARD,88,78,0,10,0
Chatham,8-03 Silk Hope Bapt Ch,State House,162,,CARL GILLIARD,11,10,0,1,0
Chatham,8-07 Woodville-Tompkins,State House,162,,CARL GILLIARD,52,50,0,2,0
Chatham,8-08 Resur Of Our Lord Ch,State House,162,,CARL GILLIARD,98,87,4,7,0
Chatham,8-09 Moses Jackson Ctr,State House,162,,CARL GILLIARD,70,61,5,4,0
Chatham,8-10 Carver Heights Comm Ctr,State House,162,,CARL GILLIARD,117,107,5,5,0
Chatham,8-13 Savannah Christ. Sch,State House,162,,CARL GILLIARD,8,8,0,0,0
Chatham,8-15 Garden City Rec Ctr,State House,162,,CARL GILLIARD,93,83,3,7,0
