county,precinct,office,district,party,candidate,votes,advance_in_person_1,absentee_by_mail,election_day,provisional,advance_in_person_2
Cobb,,President,,DEM,HILLARY CLINTON,39509,5377,506,31557,229,1840
Cobb,Acworth 1A,President,,DEM,HILLARY CLINTON,362,98,1,252,3,8
Cobb,Acworth 1B,President,,DEM,HILLARY CLINTON,240,39,3,189,2,7
Cobb,Acworth 1C,President,,DEM,HILLARY CLINTON,365,55,2,289,5,14
Cobb,Addison 01,President,,DEM,HILLARY CLINTON,178,24,1,141,0,12
Cobb,Austell 1A,President,,DEM,HILLARY CLINTON,595,74,7,503,4,7
Cobb,Bells Ferry 02,President,,DEM,HILLARY CLINTON,206,11,0,169,3,23
Cobb,Bells Ferry 03,President,,DEM,HILLARY CLINTON,292,18,3,255,1,15
Cobb,Big Shanty 01,President,,DEM,HILLARY CLINTON,109,11,2,83,1,12
Cobb,Big Shanty 02,President,,DEM,HILLARY CLINTON,223,14,10,192,1,6
Cobb,Baker 01,President,,DEM,HILLARY CLINTON,333,52,1,271,1,8
Cobb,Birney 01,President,,DEM,HILLARY CLINTON,198,26,4,156,3,9
Cobb,Birney 02,President,,DEM,HILLARY CLINTON,442,80,3,340,2,17
Cobb,Bryant 01,President,,DEM,HILLARY CLINTON,459,96,3,352,3,5
Cobb,Bryant 02,President,,DEM,HILLARY CLINTON,659,101,2,541,6,9
Cobb,Blackwell 01,President,,DEM,HILLARY CLINTON,183,7,3,160,2,11
Cobb,Chattahoochee 01,President,,DEM,HILLARY CLINTON,355,54,4,288,3,6
Cobb,Cheatham Hill 02,President,,DEM,HILLARY CLINTON,171,19,1,123,0,28
Cobb,Cheatham Hill 03,President,,DEM,HILLARY CLINTON,337,37,12,245,1,42
Cobb,Chalker 01,President,,DEM,HILLARY CLINTON,257,22,2,217,3,13
Cobb,Clarkdale 01,President,,DEM,HILLARY CLINTON,175,18,0,154,0,3
Cobb,Clarkdale 02,President,,DEM,HILLARY CLINTON,644,64,2,554,9,15
Cobb,Cooper 01,President,,DEM,HILLARY CLINTON,566,87,5,457,4,13
Cobb,Chestnut Ridge 01,President,,DEM,HILLARY CLINTON,179,28,7,143,0,1
Cobb,Dickerson 01,President,,DEM,HILLARY CLINTON,196,32,5,158,0,1
Cobb,Dobbins 01,President,,DEM,HILLARY CLINTON,249,31,1,208,4,5
Cobb,Dowell 01,President,,DEM,HILLARY CLINTON,272,27,5,205,0,35
Cobb,Dodgen 01,President,,DEM,HILLARY CLINTON,129,22,5,101,1,0
Cobb,Durham 01,President,,DEM,HILLARY CLINTON,135,22,1,97,0,15
Cobb,Davis 01,President,,DEM,HILLARY CLINTON,121,6,0,105,1,9
Cobb,Eastside 01,President,,DEM,HILLARY CLINTON,178,32,5,140,0,1
Cobb,Eastside 02,President,,DEM,HILLARY CLINTON,261,54,5,193,1,8
Cobb,Elizabeth 01,President,,DEM,HILLARY CLINTON,227,16,0,196,1,14
Cobb,Elizabeth 02,President,,DEM,HILLARY CLINTON,149,25,0,116,0,8
