county,precinct,office,district,party,candidate,election_day_votes,advanced_votes,absentee_by_mail_votes,provisional_votes
Cherokee,not available,State Senate,21,Democrat,Debra Shigley,1538,2022,117,2
Cherokee,not available,State Senate,21,Republican,Brian Will,649,621,18,1
Cherokee,not available,State Senate,21,Republican,Brice Futch,943,540,12,0
Cherokee,not available,State Senate,21,Republican,Jason T. Dickerson,1419,1213,34,1
Cherokee,not available,State Senate,21,Republican,Lance Calvert,671,460,10,0
Cherokee,not available,State Senate,21,Republican,Stephanie Donegan,72,54,1,0
Cherokee,not available,State Senate,21,Republican,Steve West,1601,1631,64,0
Fulton,not available,State Senate,21,Democrat,Debra Shigley,1454,3261,47,3
Fulton,not available,State Senate,21,Republican,Brian Will,299,596,7,1
Fulton,not available,State Senate,21,Republican,Brice Futch,146,106,2,0
Fulton,not available,State Senate,21,Republican,Jason T. Dickerson,459,578,4,1
Fulton,not available,State Senate,21,Republican,Lance Calvert,128,153,1,1
Fulton,not available,State Senate,21,Republican,Stephanie Donegan,33,46,0,1
Fulton,not available,State Senate,21,Republican,Steve West,159,185,2,0
