county,precinct,office,district,party,candidate,votes,election_day_votes,advanced_votes,absentee_by_mail_votes,provisional_votes
Cherokee,Airport,State Senate,21,Democrat,Debra Shigley,262,92,161,9,0
Cherokee,Avery,State Senate,21,Democrat,Debra Shigley,171,,,,
Cherokee,Ball Ground,State Senate,21,Democrat,Debra Shigley,151,100,47,4,0
Cherokee,Bradshaw,State Senate,21,Democrat,Debra Shigley,224,95,115,14,0
Cherokee,Canton,State Senate,21,Democrat,Debra Shigley,89,27,55,7,0
Cherokee,Conns Creek,State Senate,21,Democrat,Debra Shigley,22,,,,
Cherokee,Free Home,State Senate,21,Democrat,Debra Shigley,287,89,186,12,0
Cherokee,Hickory Flat,State Senate,21,Democrat,Debra Shigley,371,183,180,8,0
Cherokee,Hickory Log,State Senate,21,Democrat,Debra Shigley,498,154,323,21,0
Cherokee,Hightower,State Senate,21,Democrat,Debra Shigley,179,46,127,6,0
Cherokee,Macedonia,State Senate,21,Democrat,Debra Shigley,209,,,,
Cherokee,Mountain Road,State Senate,21,Democrat,Debra Shigley,155,,,,
Cherokee,R M Moore,State Senate,21,Democrat,Debra Shigley,82,30,47,5,0
Cherokee,River Green,State Senate,21,Democrat,Debra Shigley,343,208,127,8,0
Cherokee,Salacoa,State Senate,21,Democrat,Debra Shigley,15,,,,
Cherokee,Union Hill,State Senate,21,Democrat,Debra Shigley,189,73,112,4,0
Cherokee,Univeter,State Senate,21,Democrat,Debra Shigley,211,,,,
Cherokee,Waleska,State Senate,21,Democrat,Debra Shigley,221,93,122,6,0
Cherokee,Airport,State Senate,21,Republican,Brian Will,90,37,52,1,0
Cherokee,Avery,State Senate,21,Republican,Brian Will,65,,,,
Cherokee,Ball Ground,State Senate,21,Republican,Brian Will,45,36,9,0,0
Cherokee,Bradshaw,State Senate,21,Republican,Brian Will,34,21,13,0,0
Cherokee,Canton,State Senate,21,Republican,Brian Will,20,11,9,0,0
Cherokee,Conns Creek,State Senate,21,Republican,Brian Will,10,,,,
Cherokee,Free Home,State Senate,21,Republican,Brian Will,61,34,21,6,0
Cherokee,Hickory Flat,State Senate,21,Republican,Brian Will,76,50,25,1,0
Cherokee,Hickory Log,State Senate,21,Republican,Brian Will,147,54,92,1,0
Cherokee,Hightower,State Senate,21,Republican,Brian Will,96,39,57,0,0
Cherokee,Macedonia,State Senate,21,Republican,Brian Will,120,,,,
Cherokee,Mountain Road,State Senate,21,Republican,Brian Will,36,,,,
Cherokee,R M Moore,State Senate,21,Republican,Brian Will,72,33,39,0,0
Cherokee,River Green,State Senate,21,Republican,Brian Will,96,58,35,3,0
Cherokee,Salacoa,State Senate,21,Republican,Brian Will,11,,,,
Cherokee,Union Hill,State Senate,21,Republican,Brian Will,73,42,31,0,0
Cherokee,Univeter,State Senate,21,Republican,Brian Will,74,,,,
Cherokee,Waleska,State Senate,21,Republican,Brian Will,163,92,69,2,0
Cherokee,Airport,State Senate,21,Republican,Brice Futch,108,49,57,2,0
Cherokee,Avery,State Senate,21,Republican,Brice Futch,87,,,,
Cherokee,Ball Ground,State Senate,21,Republican,Brice Futch,46,41,5,0,0
Cherokee,Bradshaw,State Senate,21,Republican,Brice Futch,137,107,30,0,0
Cherokee,Canton,State Senate,21,Republican,Brice Futch,23,8,15,0,0
Cherokee,Conns Creek,State Senate,21,Republican,Brice Futch,5,,,,
Cherokee,Free Home,State Senate,21,Republican,Brice Futch,42,27,15,0,0
Cherokee,Hickory Flat,State Senate,21,Republican,Brice Futch,170,127,43,0,0
Cherokee,Hickory Log,State Senate,21,Republican,Brice Futch,170,63,102,5,0
Cherokee,Hightower,State Senate,21,Republican,Brice Futch,62,30,30,2,0
Cherokee,Macedonia,State Senate,21,Republican,Brice Futch,107,,,,
Cherokee,Mountain Road,State Senate,21,Republican,Brice Futch,82,,,,
Cherokee,R M Moore,State Senate,21,Republican,Brice Futch,76,41,34,1,0
Cherokee,River Green,State Senate,21,Republican,Brice Futch,165,114,49,2,0
Cherokee,Salacoa,State Senate,21,Republican,Brice Futch,21,,,,
Cherokee,Union Hill,State Senate,21,Republican,Brice Futch,67,51,16,0,0
Cherokee,Univeter,State Senate,21,Republican,Brice Futch,74,,,,
Cherokee,Waleska,State Senate,21,Republican,Brice Futch,53,46,7,0,0
Cherokee,Airport,State Senate,21,Republican,Jason T. Dickerson,196,100,95,1,0
Cherokee,Avery,State Senate,21,Republican,Jason T. Dickerson,138,,,,
Cherokee,Ball Ground,State Senate,21,Republican,Jason T. Dickerson,136,104,32,0,0
Cherokee,Bradshaw,State Senate,21,Republican,Jason T. Dickerson,115,83,32,0,0
Cherokee,Canton,State Senate,21,Republican,Jason T. Dickerson,109,38,70,1,0
Cherokee,Conns Creek,State Senate,21,Republican,Jason T. Dickerson,28,,,,
Cherokee,Free Home,State Senate,21,Republican,Jason T. Dickerson,168,91,72,5,0
Cherokee,Hickory Flat,State Senate,21,Republican,Jason T. Dickerson,151,95,56,0,0
Cherokee,Hickory Log,State Senate,21,Republican,Jason T. Dickerson,209,82,123,4,0
Cherokee,Hightower,State Senate,21,Republican,Jason T. Dickerson,162,71,90,1,0
Cherokee,Macedonia,State Senate,21,Republican,Jason T. Dickerson,202,,,,
Cherokee,Mountain Road,State Senate,21,Republican,Jason T. Dickerson,80,,,,
Cherokee,R M Moore,State Senate,21,Republican,Jason T. Dickerson,155,84,69,2,0
Cherokee,River Green,State Senate,21,Republican,Jason T. Dickerson,196,101,89,6,0
Cherokee,Salacoa,State Senate,21,Republican,Jason T. Dickerson,28,,,,
Cherokee,Union Hill,State Senate,21,Republican,Jason T. Dickerson,230,136,92,2,0
Cherokee,Univeter,State Senate,21,Republican,Jason T. Dickerson,243,,,,
Cherokee,Waleska,State Senate,21,Republican,Jason T. Dickerson,121,73,44,4,0
Cherokee,Airport,State Senate,21,Republican,Lance Calvert,103,38,65,0,0
Cherokee,Avery,State Senate,21,Republican,Lance Calvert,40,,,,
Cherokee,Ball Ground,State Senate,21,Republican,Lance Calvert,63,52,10,1,0
Cherokee,Bradshaw,State Senate,21,Republican,Lance Calvert,67,48,19,0,0
Cherokee,Canton,State Senate,21,Republican,Lance Calvert,14,7,7,0,0
Cherokee,Conns Creek,State Senate,21,Republican,Lance Calvert,11,,,,
Cherokee,Free Home,State Senate,21,Republican,Lance Calvert,87,45,38,4,0
Cherokee,Hickory Flat,State Senate,21,Republican,Lance Calvert,103,68,35,0,0
Cherokee,Hickory Log,State Senate,21,Republican,Lance Calvert,78,33,44,1,0
Cherokee,Hightower,State Senate,21,Republican,Lance Calvert,66,31,35,0,0
Cherokee,Macedonia,State Senate,21,Republican,Lance Calvert,140,,,,
Cherokee,Mountain Road,State Senate,21,Republican,Lance Calvert,33,,,,
Cherokee,R M Moore,State Senate,21,Republican,Lance Calvert,51,32,19,0,0
Cherokee,River Green,State Senate,21,Republican,Lance Calvert,49,36,13,0,0
Cherokee,Salacoa,State Senate,21,Republican,Lance Calvert,18,,,,
Cherokee,Union Hill,State Senate,21,Republican,Lance Calvert,80,50,30,0,0
Cherokee,Univeter,State Senate,21,Republican,Lance Calvert,94,,,,
