district,candidate
NA,Rob Leverett
NA,Mack Jackson
NA,Clay Pirkle
NA,Mickey Brockington
NA,Penny Houston
NA,Tim Fleming
NA,Malcolm Adams
NA,Clint Crowe
NA,Sharonda Bell
NA,Karen Mathiak
NA,William Harris
NA,Lauren Daniel
NA,Demetrius Rucker
NA,David Knight
NA,Anthony Dickson
NA,William C. Harris
NA,Gloria Frazier
NA,Mark Newton
NA,"Henry """"Wayne"""" Howard"
NA,Dan Swenson
NA,Lynn Gladney
NA,Brian L. Prince
NA,Patty Bentley
NA,"Noel Williams, Jr."
NA,Sam Watson
NA,Darlene Taylor
NA,Keith L. Jenkins Sr
68,Stoney Mathis
68,Tish Naghise
69,Debra Bazemore
73,Josh Bonner
74,Karen Mathiak
74,William Harris
NA,Trey Rhodes
NA,Kat Howkins
14,Mitchell Scoggins
15,Matthew Gambill
NA,Matt Hatchett
NA,Butch Parrish
NA,Madeline Ryan Smith
8,Stan Gunter
8,June Krise
NA,"William """"Bill"""" Werkheiser"
NA,Steven Meeks
NA,Leesa Hagan
NA,Lethia J. Kittrell
NA,Buddy DeLoach
NA,Gerald E. Greene
NA,John Hayes
NA,Alan Powell
NA,John L. Corbett
NA,James Burchett
NA,Doreen Carter
NA,Sharon Henderson
2,Steve Tarvin
4,Kasey Carpenter
6,Jason T. Ridley
NA,Al Williams
NA,Chris Erwin
9,Will Wade
27,Lee Hawkins
137,Justin Rickett
137,Debbie G. Buckner
138,"Vance Smith, Jr."
139,Richard H. Smith
140,Tremaine Teddy Reese
141,Carolyn Hugley
151,Mike Cheokas
151,Joyce Barlow
NA,Buddy Deloach
NA,Kenneth Vance
NA,Hoganne Harrison Walton
NA,"Reynaldo """"Rey"""" Martinez"
NA,Ryan Cox
NA,Bruce Williamson
NA,Debbie Reed
NA,Victor E. Anderson
NA,Angela Moore
NA,Rhonda S. Taylor
NA,Dexter Dawston
NA,Dar'shun Kendrick
NA,Beth Camp
NA,Danny Mathis
11,Rick Jasperse
11,Kayla L. Hollifield
NA,Joe Campbell
NA,Jon G. Burns
NA,Bill Hitchens
NA,Margo Barbee
NA,Robert Dickey
NA,Shaw Blackmon
NA,Courtney L. Driver
NA,Bethany Ballard
NA,Ariel Phillips
NA,Chuck Efstration
NA,Patrick J. Reinert
NA,Danny Rampey
NA,Houston Gaines
NA,Mokah Jasmine Johnson
NA,Demetrius Douglas
NA,Regina Lewis-Ward
NA,Bruce Bennington
NA,El-Mahdi Holly
NA,Bill Yearta
135,Beth Camp
NA,"Emory Dunahoo, Jr."
61,Roger Bruce
64,Kimberly R. New
64,Montenia Edwards
65,Jan Horne
65,Mandisha A. Thomas
66,Kimberly Alexander
150,Patty Bentley
NA,John Lahood
67,Marziyeh Marzi Amirizadeh
67,Lydia Glaize
70,Lynn Smith
70,"Calvin Louis Anderson, Jr."
136,David Jenkins
145,Robert Dickey
16,Trey Kelley
1,Mike Cameron
NA,Stan Gunter
NA,June Krise
NA,Barry Fleming
NA,Jodi Lott
7,David Ralston
NA,Dale Washburn
NA,Nettie B. Conner
12,Eddie Lumsden
24,Carter Barrett
24,Sydney Walker
25,Todd Jones
25,Craig J. Meyer
26,Lauren W. McDonald III
26,Matthew J. Helms
28,Brent Cox
28,Claudia Wood
100,David Clark
100,Louisa Shell Jackson
NA,Marcus A Wiedower
NA,Jeff Auerbach
NA,Dexter L. Sharper
NA,Will Wade
NA,Carl Wayne Gilliard
NA,Anne Allen Westbrook
NA,Ron Stephens
NA,Marcus Thompson
NA,Edna Jackson
NA,Jesse Petrea
NA,Lehman Franklin
NA,Wendy Ahrenkiel
NA,Shea Roberts
NA,Brian Anderson
NA,Long Tran
NA,Mary Williams Benefield
NA,Scott Holcomb
NA,Jenine Milum
NA,Mary Margaret Oliver
NA,Catherine Bernard
NA,Karen Lupton
NA,Omari Crawford
NA,Karla Drenner
NA,Lisa Y. Kinnemore
NA,Imani Barnes
NA,Viola Davis
NA,William Park Freeman
NA,Billy Mitchell
NA,Rick Sheppard
NA,Becky Evans
NA,Jodi Diodati
NA,Saira Draper
NA,Karen Bennett
NA,Dar'Shun Kendrick
NA,Rick Townsend
NA,Steven Sainz
5,Matt Barton
NA,Mike Cheokas
NA,Joyce Barlow
20,Charlice Byrd
21,Brad Thomas
22,Jordan Ridley
22,Stacee Lashone Hill
23,Mandi L Ballinger
44,Don L. Parsons
44,Willie Mae Oyogoa
46,John Carson
46,Micheal Garza
47,Jan Jones
NA,Lee Hawkins
NA,Brent Cox
NA,Claudia Wood
NA,Matt Dubnik
NA,Devin Pandy
NA,Derrick McCollum
NA,Kim Floria
NA,David Clark
