district,candidate
24,Lee Anderson
23,Max Burns
13,Carden H. Summers
25,"Ricky """"Rick"""" Williams"
25,Valerie Rodgers
16,Marty Harbin
16,Pingke Dubignon
22,Andrew Danielson
22,Harold V. Jones II
20,Larry Walker
11,Dean Burke
34,"Thomas """"Tommy"""" Smith"
34,Valencia M. Seay
37,Ed Setzler
37,Vanessa Parker
52,Chuck Hufstetler
4,Billy Hickman
51,Steve Gooch
19,Blake Tillery
19,"Michael """"Buckle"""" Moore"
3,Mike Hodges
12,Freddie Powell Sims
8,Russ Goodman
17,Brian Strickland
17,Kacy D. Morgan
43,Melanie Williams
43,Tonya P. Anderson
54,Chuck Payne
1,Ben Watson
1,"James """"Jay"""" Jones"
50,Bo Hatchett
50,Paulette Williams
15,Ed Harbison
29,Randy Robertson
29,Ellen Wright
46,Bill Cowsert
46,Andrew Ferguson
26,"David E. Lucas, Sr."
18,John F. Kennedy
18,Chris Benton
45,Clint Dixon
45,Matielyn Jones
47,Frank Ginn
47,"Conolus Scott, Jr."
10,Emanuel D. Jones
28,Matt Brass
30,Mike Dugan
35,Donzella James
31,Jason Anavitarte
53,Colton Moore
27,Greg Dolezal
27,Brent Binion
48,Shawn Still
48,Josh Uddin
2,Clinton Young
2,Derek Mallow
40,Austin McDonald
40,Sally Harrell
41,Jayre Jones
41,Kim Jackson
42,Elena Parent
44,Gail Davenport
55,Gloria S. Butler
21,Brandon Beach
32,Kay Kirkpatrick
32,Sylvia L. Bennett
56,John Albers
56,Patrick Thompson
49,Shelly Echols
49,Jody Cooley
6,Fred Glass
6,Jason Esteves
14,Liz Hausmann
14,Josh McLaurin
36,Nan Orrock
38,Horacena Tate
39,Sonya Halpern
5,Sheikh Rahman
7,Josh McKay
7,Nabilah Islam
9,Nikki Merritt
33,Michael Rhett
