district,candidate
10,Mike Collins
10,Tabitha Johnson-Green
12,Rick W. Allen
12,Elizabeth 'Liz' Johnson
8,Austin Scott
8,Darrius Butler
3,Drew Ferguson
3,Val Almonord
12,"Elizabeth """"Liz"""" Johnson"
2,Chris West
2,Sanford Bishop
13,Caesar Gonzales
13,David Scott
11,Barry Loudermilk
11,Antonio Daza
9,Andrew Clyde
9,"Michael """"Mike"""" Ford"
1,"Earl L. """"Buddy"""" Carter"
1,Wade Herring
4,Jonathan Chavez
4,"Henry C """"Hank"""" Johnson Jr"
14,Marjorie Taylor Greene
14,Marcus Flowers
4,"Henry C. """"Hank"""" Johnson Jr"
6,Rich McCormick
6,Bob Christian
5,Christian Zimm
5,Nikema Williams
7,Mark Gonsalves
7,Lucy McBath
