county,precinct,office,district,party,candidate,election_day_votes,advanced_votes,absentee_by_mail_votes,provisional_votes
Coweta,Senoia,U.S. Senate,,Republican,Herschel Walker,1830,604,98,0
Coweta,Moreland,U.S. Senate,,Republican,Herschel Walker,1117,166,47,1
Coweta,Pine Road,U.S. Senate,,Republican,Herschel Walker,900,151,49,0
Coweta,Dresden,U.S. Senate,,Republican,Herschel Walker,382,30,4,0
Coweta,Newnan,U.S. Senate,,Republican,Herschel Walker,403,109,35,0
Coweta,Sharpsburg,U.S. Senate,,Republican,Herschel Walker,1426,524,59,0
Coweta,Fischer Road,U.S. Senate,,Republican,Herschel Walker,1227,409,52,1
Coweta,Grantville,U.S. Senate,,Republican,Herschel Walker,675,80,17,0
Coweta,Haralson,U.S. Senate,,Republican,Herschel Walker,972,104,17,0
Coweta,Welcome,U.S. Senate,,Republican,Herschel Walker,1149,144,45,0
Coweta,Panther Creek,U.S. Senate,,Republican,Herschel Walker,952,124,39,0
Coweta,Raymond,U.S. Senate,,Republican,Herschel Walker,908,200,45,1
Coweta,Turin,U.S. Senate,,Republican,Herschel Walker,1698,458,61,0
Coweta,Smokey Road,U.S. Senate,,Republican,Herschel Walker,491,89,22,0
Coweta,Central,U.S. Senate,,Republican,Herschel Walker,342,128,20,0
Coweta,Newnan Centre,U.S. Senate,,Republican,Herschel Walker,2368,1780,284,0
Coweta,Greentop,U.S. Senate,,Republican,Herschel Walker,645,160,53,0
Coweta,Expo Center,U.S. Senate,,Republican,Herschel Walker,597,118,41,0
Coweta,White Oak,U.S. Senate,,Republican,Herschel Walker,1143,420,37,0
Coweta,Madras,U.S. Senate,,Republican,Herschel Walker,2350,1013,196,0
Coweta,Cannongate,U.S. Senate,,Republican,Herschel Walker,1218,328,45,0
Coweta,Westside,U.S. Senate,,Republican,Herschel Walker,85,25,9,0
Coweta,Northside,U.S. Senate,,Republican,Herschel Walker,644,157,37,0
Coweta,Thomas Crossroads,U.S. Senate,,Republican,Herschel Walker,1404,574,59,0
Coweta,Coweta Central Library,U.S. Senate,,Republican,Herschel Walker,597,301,17,0
