county,precinct,office,district,party,candidate,total_votes
Appling,1B,Attorney General,,Democrat,"JENNIFER ""JEN"" JORDAN",82
Appling,1B,Attorney General,,Libertarian,MARTIN COWEN,4
Appling,1B,Attorney General,,Republican,CHRIS CARR,728
Appling,1B,COUNTY COMMISISONER - CHAIRMAN,,Republican,LESLIE BURCH,760
Appling,1B,COUNTY COMMISSIONER,001,Republican,RANDY SELLERS,753
Appling,1B,Commissioner of Agriculture,,Democrat,NAKITA HEMINGWAY,77
Appling,1B,Commissioner of Agriculture,,Libertarian,DAVID RAUDABAUGH,8
Appling,1B,Commissioner of Agriculture,,Republican,TYLER HARPER,731
Appling,1B,Commissioner of Insurance,,Democrat,JANICE LAWS ROBINSON,76
Appling,1B,Commissioner of Insurance,,Republican,JOHN KING,736
Appling,1B,Commissioner of Labor,,Democrat,"WILLIAM ""WILL"" BODDIE JR",78
Appling,1B,Commissioner of Labor,,Libertarian,EMILY ANDERSON,11
Appling,1B,Commissioner of Labor,,Republican,BRUCE THOMPSON,724
Appling,1B,Governor,,Democrat,STACEY ABRAMS,72
Appling,1B,Governor,,Libertarian,SHANE HAZEL,4
Appling,1B,Governor,,Republican,BRIAN KEMP,748
Appling,1B,Lieutenant Governor,,Democrat,CHARLIE BAILEY,82
Appling,1B,Lieutenant Governor,,Libertarian,RYAN GRAHAM,12
Appling,1B,Lieutenant Governor,,Republican,BURT JONES,722
Appling,1B,PROBATE JUDGE,,NONPARTISAN,EMILY HARDWICK,266
Appling,1B,PROBATE JUDGE,,NONPARTISAN,GRETCHEN BAILEY,522
Appling,1B,PROPOSED CONSTITUTIONAL AMENDMENT 1,,,NO,83
Appling,1B,PROPOSED CONSTITUTIONAL AMENDMENT 1,,,YES,690
Appling,1B,PROPOSED CONSTITUTIONAL AMENDMENT 2,,,NO,84
Appling,1B,PROPOSED CONSTITUTIONAL AMENDMENT 2,,,YES,694
Appling,1B,SOIL AND WATER,,NONPARTISAN,ROBERT E MATHEWS,727
Appling,1B,STATE SCHOOL SUPERINTENDENT,,Democrat,ALISHA THOMAS SEARCY,74
Appling,1B,STATE SCHOOL SUPERINTENDENT,,Republican,RICHARD WOODS,739
Appling,1B,STATEWIDE REFERENDUM QUESTION A,,,NO,329
Appling,1B,STATEWIDE REFERENDUM QUESTION A,,,YES,440
Appling,1B,STATEWIDE REFERENDUM QUESTION B,,,NO,217
Appling,1B,STATEWIDE REFERENDUM QUESTION B,,,YES,548
Appling,1B,Secretary of State,,Democrat,BEE NGUYEN,71
Appling,1B,Secretary of State,,Libertarian,TED METZ,20
Appling,1B,Secretary of State,,Republican,BRAD RAFFENSPERGER,721
Appling,1B,State House,157,Republican,"WILLIAM ""BILL"" WERKHEISER",766
Appling,1B,State Senate,019,Democrat,"MICHAEL ""BUCKLE"" MOORE",78
Appling,1B,State Senate,019,Republican,BLAKE TILLERY,738
Appling,1B,U.S. House,001,Democrat,WADE HERRING,86
Appling,1B,U.S. House,001,Republican,"EARL L ""BUDDY"" CARTER",734
Appling,1B,U.S. Senate,,Democrat,RAPHAEL WARNOCK,86
Appling,1B,U.S. Senate,,Democrat,RAPHAEL WARNOCK,68
Appling,1B,U.S. Senate,,Libertarian,CHASE OLIVER,15
Appling,1B,U.S. Senate,,Republican,HERSCHEL JUNIOR WALKER,721
Appling,1B,U.S. Senate,,Republican,HERSCHEL JUNIOR WALKER,688
Appling,1C,Attorney General,,Democrat,"JENNIFER ""JEN"" JORDAN",49
Appling,1C,Attorney General,,Libertarian,MARTIN COWEN,5
Appling,1C,Attorney General,,Republican,CHRIS CARR,573
Appling,1C,COUNTY COMMISISONER - CHAIRMAN,,Republican,LESLIE BURCH,593
Appling,1C,COUNTY COMMISSIONER,001,Republican,RANDY SELLERS,584
Appling,1C,Commissioner of Agriculture,,Democrat,NAKITA HEMINGWAY,43
Appling,1C,Commissioner of Agriculture,,Libertarian,DAVID RAUDABAUGH,5
Appling,1C,Commissioner of Agriculture,,Republican,TYLER HARPER,576
Appling,1C,Commissioner of Insurance,,Democrat,JANICE LAWS ROBINSON,48
Appling,1C,Commissioner of Insurance,,Republican,JOHN KING,574
Appling,1C,Commissioner of Labor,,Democrat,"WILLIAM ""WILL"" BODDIE JR",46
Appling,1C,Commissioner of Labor,,Libertarian,EMILY ANDERSON,5
Appling,1C,Commissioner of Labor,,Republican,BRUCE THOMPSON,572
Appling,1C,Governor,,Democrat,STACEY ABRAMS,47
Appling,1C,Governor,,Libertarian,SHANE HAZEL,6
Appling,1C,Governor,,Republican,BRIAN KEMP,579
Appling,1C,Lieutenant Governor,,Democrat,CHARLIE BAILEY,47
Appling,1C,Lieutenant Governor,,Libertarian,RYAN GRAHAM,2
Appling,1C,Lieutenant Governor,,Republican,BURT JONES,574
Appling,1C,PROBATE JUDGE,,NONPARTISAN,EMILY HARDWICK,203
Appling,1C,PROBATE JUDGE,,NONPARTISAN,GRETCHEN BAILEY,399
Appling,1C,PROPOSED CONSTITUTIONAL AMENDMENT 1,,,NO,64
Appling,1C,PROPOSED CONSTITUTIONAL AMENDMENT 1,,,YES,532
Appling,1C,PROPOSED CONSTITUTIONAL AMENDMENT 2,,,NO,55
Appling,1C,PROPOSED CONSTITUTIONAL AMENDMENT 2,,,YES,548
Appling,1C,SOIL AND WATER,,NONPARTISAN,ROBERT E MATHEWS,562
Appling,1C,STATE SCHOOL SUPERINTENDENT,,Democrat,ALISHA THOMAS SEARCY,46
Appling,1C,STATE SCHOOL SUPERINTENDENT,,Republican,RICHARD WOODS,579
Appling,1C,STATEWIDE REFERENDUM QUESTION A,,,NO,184
Appling,1C,STATEWIDE REFERENDUM QUESTION A,,,YES,413
Appling,1C,STATEWIDE REFERENDUM QUESTION B,,,NO,131
Appling,1C,STATEWIDE REFERENDUM QUESTION B,,,YES,462
Appling,1C,Secretary of State,,Democrat,BEE NGUYEN,45
Appling,1C,Secretary of State,,Libertarian,TED METZ,20
Appling,1C,Secretary of State,,Republican,BRAD RAFFENSPERGER,555
Appling,1C,State House,178,Republican,STEVEN MEEKS,96
Appling,1C,State House,157,Republican,"WILLIAM ""BILL"" WERKHEISER",495
Appling,1C,State Senate,019,Democrat,"MICHAEL ""BUCKLE"" MOORE",47
Appling,1C,State Senate,019,Republican,BLAKE TILLERY,575
Appling,1C,U.S. House,001,Democrat,WADE HERRING,47
Appling,1C,U.S. House,001,Republican,"EARL L ""BUDDY"" CARTER",580
Appling,1C,U.S. Senate,,Democrat,RAPHAEL WARNOCK,51
Appling,1C,U.S. Senate,,Democrat,RAPHAEL WARNOCK,42
Appling,1C,U.S. Senate,,Libertarian,CHASE OLIVER,6
Appling,1C,U.S. Senate,,Republican,HERSCHEL JUNIOR WALKER,571
Appling,1C,U.S. Senate,,Republican,HERSCHEL JUNIOR WALKER,540
Appling,2,Attorney General,,Democrat,"JENNIFER ""JEN"" JORDAN",607
Appling,2,Attorney General,,Libertarian,MARTIN COWEN,11
Appling,2,Attorney General,,Republican,CHRIS CARR,403
Appling,2,COUNTY COMMISISONER - CHAIRMAN,,Republican,LESLIE BURCH,667
Appling,2,Commissioner of Agriculture,,Democrat,NAKITA HEMINGWAY,608
Appling,2,Commissioner of Agriculture,,Libertarian,DAVID RAUDABAUGH,19
Appling,2,Commissioner of Agriculture,,Republican,TYLER HARPER,398
Appling,2,Commissioner of Insurance,,Democrat,JANICE LAWS ROBINSON,616
Appling,2,Commissioner of Insurance,,Republican,JOHN KING,402
Appling,2,Commissioner of Labor,,Democrat,"WILLIAM ""WILL"" BODDIE JR",614
Appling,2,Commissioner of Labor,,Libertarian,EMILY ANDERSON,18
Appling,2,Commissioner of Labor,,Republican,BRUCE THOMPSON,392
Appling,2,Governor,,Democrat,STACEY ABRAMS,636
Appling,2,Governor,,Libertarian,SHANE HAZEL,2
Appling,2,Governor,,Republican,BRIAN KEMP,420
Appling,2,Lieutenant Governor,,Democrat,CHARLIE BAILEY,594
Appling,2,Lieutenant Governor,,Libertarian,RYAN GRAHAM,12
Appling,2,Lieutenant Governor,,Republican,BURT JONES,399
