county,office,district,party,candidate,votes,election_day,absentee,early_voting,provisional
Fulton,State Representative,50,L,CHRISTINE A. AUSTIN,113,107,0,6,0
Fulton,State Representative,50,R,BRADFORD JAY RAFFENSPERGER,1028,912,70,44,2
Fulton,State Representative,50,R,ROYCE M. REINECKE,126,114,4,5,3
Fulton,State Representative,50,R,KELLY LEIGH STEWART,1079,1022,14,43,0
Fulton,State Representative,50,,PAUL TROOP,108,102,1,5,0
Greene,State Representative,120,R,DEBBIE BARTLETT,172,128,1,43,0
Oglethorpe,State Representative,120,R,DEBBIE BARTLETT,49,36,5,8,0
Putnam,State Representative,120,R,DEBBIE BARTLETT,216,158,4,54,0
Taliaferro,State Representative,120,R,DEBBIE BARTLETT,10,8,0,2,0
Wilkes,State Representative,120,R,DEBBIE BARTLETT,55,42,1,12,0
Greene,State Representative,120,R,JESSE COPELAN,519,217,10,292,0
Oglethorpe,State Representative,120,R,JESSE COPELAN,28,19,1,8,0
Putnam,State Representative,120,R,JESSE COPELAN,803,431,24,348,0
Taliaferro,State Representative,120,R,JESSE COPELAN,22,15,0,7,0
Wilkes,State Representative,120,R,JESSE COPELAN,35,27,0,8,0
Greene,State Representative,120,R,GARY GERRARD,158,78,1,79,0
Oglethorpe,State Representative,120,R,GARY GERRARD,288,145,23,120,0
Putnam,State Representative,120,R,GARY GERRARD,83,51,1,31,0
Taliaferro,State Representative,120,R,GARY GERRARD,16,10,0,6,0
Wilkes,State Representative,120,R,GARY GERRARD,70,41,1,28,0
Greene,State Representative,120,R,JESSE JOHNSON,318,182,5,131,0
Oglethorpe,State Representative,120,R,JESSE JOHNSON,692,378,63,251,0
Putnam,State Representative,120,R,JESSE JOHNSON,123,92,4,27,0
Taliaferro,State Representative,120,R,JESSE JOHNSON,34,23,1,10,0
Wilkes,State Representative,120,R,JESSE JOHNSON,199,154,4,41,0
Greene,State Representative,120,R,TREY RHODES,1324,609,73,642,0
Oglethorpe,State Representative,120,R,TREY RHODES,33,20,0,13,0
Putnam,State Representative,120,R,TREY RHODES,115,83,0,32,0
Taliaferro,State Representative,120,R,TREY RHODES,55,24,0,31,0
Wilkes,State Representative,120,R,TREY RHODES,98,63,2,33,0
