county,precinct,office,district,party,candidate,votes,absentee_by_mail,advance_in_person_1,advance_in_person_3,election_day,advance_in_person_2,provisional
DeKalb,,State Representative,80,D,TAYLOR J BENNETT,1249,112,24,0,1112,0,1
DeKalb,ASHFORD DUNWOODY RD,State Representative,80,D,TAYLOR J BENNETT,198,18,5,0,175,0,0
DeKalb,ASHFORD PARKSIDE,State Representative,80,D,TAYLOR J BENNETT,114,10,3,0,101,0,0
DeKalb,BRIARWOOD,State Representative,80,D,TAYLOR J BENNETT,84,6,4,0,74,0,0
DeKalb,BROOKHAVEN,State Representative,80,D,TAYLOR J BENNETT,154,12,1,0,141,0,0
DeKalb,CHAMBLEE ,State Representative,80,D,TAYLOR J BENNETT,25,0,0,0,25,0,0
DeKalb,CROSS KEYS HIGH,State Representative,80,D,TAYLOR J BENNETT,89,7,3,0,79,0,0
DeKalb,HUNTLEY HILLS ELEM,State Representative,80,D,TAYLOR J BENNETT,38,0,0,0,38,0,0
DeKalb,KITTREDGE ELEM,State Representative,80,D,TAYLOR J BENNETT,157,12,1,0,144,0,0
DeKalb,MONTGOMERY ELEM,State Representative,80,D,TAYLOR J BENNETT,136,11,3,0,122,0,0
DeKalb,SILVER LAKE,State Representative,80,D,TAYLOR J BENNETT,173,22,4,0,146,0,1
DeKalb,WOODWARD ELEM,State Representative,80,D,TAYLOR J BENNETT,81,14,0,0,67,0,0
DeKalb,,State Representative,80,R,CATHERINE S. BERNARD,1026,32,15,0,979,0,0
DeKalb,ASHFORD DUNWOODY RD,State Representative,80,R,CATHERINE S. BERNARD,140,7,3,0,130,0,0
DeKalb,ASHFORD PARKSIDE,State Representative,80,R,CATHERINE S. BERNARD,88,1,1,0,86,0,0
DeKalb,BRIARWOOD,State Representative,80,R,CATHERINE S. BERNARD,67,0,2,0,65,0,0
DeKalb,BROOKHAVEN,State Representative,80,R,CATHERINE S. BERNARD,199,2,0,0,197,0,0
DeKalb,CHAMBLEE ,State Representative,80,R,CATHERINE S. BERNARD,17,0,0,0,17,0,0
DeKalb,CROSS KEYS HIGH,State Representative,80,R,CATHERINE S. BERNARD,48,0,1,0,47,0,0
DeKalb,HUNTLEY HILLS ELEM,State Representative,80,R,CATHERINE S. BERNARD,25,3,0,0,22,0,0
DeKalb,KITTREDGE ELEM,State Representative,80,R,CATHERINE S. BERNARD,110,3,6,0,101,0,0
DeKalb,MONTGOMERY ELEM,State Representative,80,R,CATHERINE S. BERNARD,133,8,1,0,124,0,0
DeKalb,SILVER LAKE,State Representative,80,R,CATHERINE S. BERNARD,159,5,1,0,153,0,0
DeKalb,WOODWARD ELEM,State Representative,80,R,CATHERINE S. BERNARD,40,3,0,0,37,0,0
DeKalb,,State Representative,80,R,LOREN COLLINS,51,0,3,0,48,0,0
DeKalb,ASHFORD DUNWOODY RD,State Representative,80,R,LOREN COLLINS,3,0,0,0,3,0,0
DeKalb,ASHFORD PARKSIDE,State Representative,80,R,LOREN COLLINS,7,0,0,0,7,0,0
DeKalb,BRIARWOOD,State Representative,80,R,LOREN COLLINS,2,0,0,0,2,0,0
DeKalb,BROOKHAVEN,State Representative,80,R,LOREN COLLINS,8,0,0,0,8,0,0
DeKalb,CHAMBLEE ,State Representative,80,R,LOREN COLLINS,3,0,1,0,2,0,0
DeKalb,CROSS KEYS HIGH,State Representative,80,R,LOREN COLLINS,1,0,0,0,1,0,0
DeKalb,HUNTLEY HILLS ELEM,State Representative,80,R,LOREN COLLINS,3,0,2,0,1,0,0
DeKalb,KITTREDGE ELEM,State Representative,80,R,LOREN COLLINS,9,0,0,0,9,0,0
DeKalb,MONTGOMERY ELEM,State Representative,80,R,LOREN COLLINS,8,0,0,0,8,0,0
DeKalb,SILVER LAKE,State Representative,80,R,LOREN COLLINS,6,0,0,0,6,0,0
DeKalb,WOODWARD ELEM,State Representative,80,R,LOREN COLLINS,1,0,0,0,1,0,0
DeKalb,,State Representative,80,R,J. MAX DAVIS,1142,66,12,0,1064,0,0
DeKalb,ASHFORD DUNWOODY RD,State Representative,80,R,J. MAX DAVIS,306,21,2,0,283,0,0
DeKalb,ASHFORD PARKSIDE,State Representative,80,R,J. MAX DAVIS,161,9,0,0,152,0,0
DeKalb,BRIARWOOD,State Representative,80,R,J. MAX DAVIS,37,1,2,0,34,0,0
DeKalb,BROOKHAVEN,State Representative,80,R,J. MAX DAVIS,55,0,0,0,55,0,0
DeKalb,CHAMBLEE ,State Representative,80,R,J. MAX DAVIS,6,0,0,0,6,0,0
DeKalb,CROSS KEYS HIGH,State Representative,80,R,J. MAX DAVIS,33,2,1,0,30,0,0
DeKalb,HUNTLEY HILLS ELEM,State Representative,80,R,J. MAX DAVIS,29,0,0,0,29,0,0
DeKalb,KITTREDGE ELEM,State Representative,80,R,J. MAX DAVIS,155,13,2,0,140,0,0
DeKalb,MONTGOMERY ELEM,State Representative,80,R,J. MAX DAVIS,192,11,1,0,180,0,0
DeKalb,SILVER LAKE,State Representative,80,R,J. MAX DAVIS,128,5,1,0,122,0,0
DeKalb,WOODWARD ELEM,State Representative,80,R,J. MAX DAVIS,40,4,3,0,33,0,0
