county,precinct,office,district,party,candidate,votes,absentee_by_mail,advance_in_person_1,advance_in_person_3,election_day,advance_in_person_2,provisional
DeKalb,,Mayor - Avondale,,I,J. ELMORE,579,4,27,0,548,0,0
DeKalb,AVONDALE,Mayor - Avondale,,I,J. ELMORE,579,4,27,0,548,0,0
DeKalb,,City Commissioner - Avondale,,,B. FISHER,405,0,18,0,387,0,0
DeKalb,AVONDALE,City Commissioner - Avondale,,,B. FISHER,405,0,18,0,387,0,0
DeKalb,,City Commissioner - Avondale,,,J. POMBERG,129,1,7,0,121,0,0
DeKalb,AVONDALE,City Commissioner - Avondale,,,J. POMBERG,129,1,7,0,121,0,0
DeKalb,,City Commissioner - Avondale,,,T. PULLEN,198,4,3,0,191,0,0
DeKalb,AVONDALE,City Commissioner - Avondale,,,T. PULLEN,198,4,3,0,191,0,0
DeKalb,,City Commissioner - Avondale,,I,J. L. QUINN,206,2,11,0,193,0,0
DeKalb,AVONDALE,City Commissioner - Avondale,,I,J. L. QUINN,206,2,11,0,193,0,0
DeKalb,,City Commissioner - Avondale,,,A. YELTON,333,3,19,0,311,0,0
DeKalb,AVONDALE,City Commissioner - Avondale,,,A. YELTON,333,3,19,0,311,0,0
DeKalb,,Mayor - Brookhaven,,,D. BOONE,482,10,9,0,463,0,0
DeKalb,ASHFORD DUNWOODY RD,Mayor - Brookhaven,,,D. BOONE,64,3,0,0,61,0,0
DeKalb,ASHFORD PARK ELEM,Mayor - Brookhaven,,,D. BOONE,22,1,1,0,20,0,0
DeKalb,ASHFORD PARKSIDE,Mayor - Brookhaven,,,D. BOONE,82,3,1,0,78,0,0
DeKalb,BRIARWOOD,Mayor - Brookhaven,,,D. BOONE,38,0,1,0,37,0,0
DeKalb,BROOKHAVEN,Mayor - Brookhaven,,,D. BOONE,27,0,1,0,26,0,0
DeKalb,CROSS KEYS HIGH,Mayor - Brookhaven,,,D. BOONE,16,0,0,0,16,0,0
DeKalb,KITTREDGE ELEM,Mayor - Brookhaven,,,D. BOONE,35,1,0,0,34,0,0
DeKalb,MONTCLAIR ELEM,Mayor - Brookhaven,,,D. BOONE,20,0,2,0,18,0,0
DeKalb,MONTGOMERY ELEM,Mayor - Brookhaven,,,D. BOONE,74,2,0,0,72,0,0
DeKalb,SILVER LAKE,Mayor - Brookhaven,,,D. BOONE,40,0,0,0,40,0,0
DeKalb,SKYLAND,Mayor - Brookhaven,,,D. BOONE,28,0,0,0,28,0,0
DeKalb,WOODWARD ELEM,Mayor - Brookhaven,,,D. BOONE,36,0,3,0,33,0,0
DeKalb,,Mayor - Brookhaven,,,J. A. ERNST JR.,3341,110,27,0,3201,0,3
DeKalb,ASHFORD DUNWOODY RD,Mayor - Brookhaven,,,J. A. ERNST JR.,621,23,8,0,589,0,1
DeKalb,ASHFORD PARK ELEM,Mayor - Brookhaven,,,J. A. ERNST JR.,347,10,2,0,335,0,0
DeKalb,ASHFORD PARKSIDE,Mayor - Brookhaven,,,J. A. ERNST JR.,344,15,0,0,329,0,0
DeKalb,BRIARWOOD,Mayor - Brookhaven,,,J. A. ERNST JR.,157,5,0,0,152,0,0
DeKalb,BROOKHAVEN,Mayor - Brookhaven,,,J. A. ERNST JR.,327,10,1,0,316,0,0
DeKalb,CROSS KEYS HIGH,Mayor - Brookhaven,,,J. A. ERNST JR.,121,4,0,0,117,0,0
DeKalb,KITTREDGE ELEM,Mayor - Brookhaven,,,J. A. ERNST JR.,358,11,6,0,341,0,0
DeKalb,MONTCLAIR ELEM,Mayor - Brookhaven,,,J. A. ERNST JR.,36,1,1,0,34,0,0
DeKalb,MONTGOMERY ELEM,Mayor - Brookhaven,,,J. A. ERNST JR.,376,8,3,0,365,0,0
DeKalb,SILVER LAKE,Mayor - Brookhaven,,,J. A. ERNST JR.,357,16,5,0,336,0,0
DeKalb,SKYLAND,Mayor - Brookhaven,,,J. A. ERNST JR.,196,3,0,0,193,0,0
DeKalb,WOODWARD ELEM,Mayor - Brookhaven,,,J. A. ERNST JR.,101,4,1,0,94,0,2
DeKalb,,City Council - D1 - Brookhaven,,,E. ERDOGAN,414,17,2,0,394,0,1
DeKalb,ASHFORD DUNWOODY RD,City Council - D1 - Brookhaven,,,E. ERDOGAN,171,8,0,0,162,0,1
