county,precinct,office,district,party,candidate,votes,advance_in_person_1,absentee_by_mail,election_day,provisional
DeKalb,,State Representative,80,D,TAYLOR J BENNETT,2338,46,164,2127,1
DeKalb,ASHFORD DUNWOODY RD,State Representative,80,D,TAYLOR J BENNETT,369,7,28,334,0
DeKalb,ASHFORD PARKSIDE,State Representative,80,D,TAYLOR J BENNETT,224,1,16,207,0
DeKalb,BRIARWOOD,State Representative,80,D,TAYLOR J BENNETT,188,3,9,176,0
DeKalb,BROOKHAVEN,State Representative,80,D,TAYLOR J BENNETT,321,6,17,298,0
DeKalb,CHAMBLEE ,State Representative,80,D,TAYLOR J BENNETT,45,1,2,42,0
DeKalb,CROSS KEYS HIGH,State Representative,80,D,TAYLOR J BENNETT,142,2,10,130,0
DeKalb,HUNTLEY HILLS ELEM,State Representative,80,D,TAYLOR J BENNETT,81,0,3,78,0
DeKalb,KITTREDGE ELEM,State Representative,80,D,TAYLOR J BENNETT,278,10,15,253,0
DeKalb,MONTGOMERY ELEM,State Representative,80,D,TAYLOR J BENNETT,245,3,16,226,0
DeKalb,SILVER LAKE,State Representative,80,D,TAYLOR J BENNETT,312,10,31,270,1
DeKalb,WOODWARD ELEM,State Representative,80,D,TAYLOR J BENNETT,133,3,17,113,0
DeKalb,,State Representative,80,R,J. MAX DAVIS,1963,38,85,1840,0
DeKalb,ASHFORD DUNWOODY RD,State Representative,80,R,J. MAX DAVIS,448,4,5,439,0
DeKalb,ASHFORD PARKSIDE,State Representative,80,R,J. MAX DAVIS,267,10,14,243,0
DeKalb,BRIARWOOD,State Representative,80,R,J. MAX DAVIS,63,1,5,57,0
DeKalb,BROOKHAVEN,State Representative,80,R,J. MAX DAVIS,117,2,0,115,0
DeKalb,CHAMBLEE ,State Representative,80,R,J. MAX DAVIS,20,0,0,20,0
DeKalb,CROSS KEYS HIGH,State Representative,80,R,J. MAX DAVIS,61,1,2,58,0
DeKalb,HUNTLEY HILLS ELEM,State Representative,80,R,J. MAX DAVIS,48,2,4,42,0
DeKalb,KITTREDGE ELEM,State Representative,80,R,J. MAX DAVIS,264,8,12,244,0
DeKalb,MONTGOMERY ELEM,State Representative,80,R,J. MAX DAVIS,342,7,27,308,0
DeKalb,SILVER LAKE,State Representative,80,R,J. MAX DAVIS,256,2,11,243,0
DeKalb,WOODWARD ELEM,State Representative,80,R,J. MAX DAVIS,77,1,5,71,0
