county,office,district,party,candidate,votes,election_day,absentee,early_voting,provisional
,STATE SENATE,20,R,VIVIAN L. CHILDS,388,260,2,126,0
Bleckley,STATE SENATE,20,R,VIVIAN L. CHILDS,5,2,0,3,0
Houston,STATE SENATE,20,R,VIVIAN L. CHILDS,282,179,2,101,0
Laurens,STATE SENATE,20,R,VIVIAN L. CHILDS,66,59,0,7,0
Pulaski,STATE SENATE,20,R,VIVIAN L. CHILDS,35,20,0,15,0
,STATE SENATE,20,R,BROOKS KEISLER,420,320,1,97,2
Bleckley,STATE SENATE,20,R,BROOKS KEISLER,7,6,0,1,0
Houston,STATE SENATE,20,R,BROOKS KEISLER,391,296,1,92,2
Laurens,STATE SENATE,20,R,BROOKS KEISLER,16,13,0,3,0
Pulaski,STATE SENATE,20,R,BROOKS KEISLER,6,5,0,1,0
,STATE SENATE,20,R,JON MARTIN,1462,1108,23,330,1
Bleckley,STATE SENATE,20,R,JON MARTIN,159,124,3,32,0
Houston,STATE SENATE,20,R,JON MARTIN,255,203,0,51,1
Laurens,STATE SENATE,20,R,JON MARTIN,992,748,18,226,0
Pulaski,STATE SENATE,20,R,JON MARTIN,56,33,2,21,0
,STATE SENATE,20,R,JAMES N. PETTIS,1029,732,24,272,1
Bleckley,STATE SENATE,20,R,JAMES N. PETTIS,70,61,2,7,0
Houston,STATE SENATE,20,R,JAMES N. PETTIS,493,349,11,132,1
Laurens,STATE SENATE,20,R,JAMES N. PETTIS,415,298,10,107,0
Pulaski,STATE SENATE,20,R,JAMES N. PETTIS,51,24,1,26,0
,STATE SENATE,20,R,MIKE REECE,461,298,10,153,0
Bleckley,STATE SENATE,20,R,MIKE REECE,20,13,0,7,0
Houston,STATE SENATE,20,R,MIKE REECE,334,199,10,125,0
Laurens,STATE SENATE,20,R,MIKE REECE,64,59,0,5,0
Pulaski,STATE SENATE,20,R,MIKE REECE,43,27,0,16,0
,STATE SENATE,20,R,LARRY WALKER,4111,2514,132,1462,3
Bleckley,STATE SENATE,20,R,LARRY WALKER,225,169,6,50,0
Houston,STATE SENATE,20,R,LARRY WALKER,2885,1689,87,1106,3
Laurens,STATE SENATE,20,R,LARRY WALKER,618,490,21,107,0
Pulaski,STATE SENATE,20,R,LARRY WALKER,383,166,18,199,0
