county,office,district,party,candidate,votes,election_day,absentee,early_voting,provisional
DeKalb,State Representative,80,D,TAYLOR J BENNETT,2338,2127,164,46,1
Fulton,State Representative,80,D,TAYLOR J BENNETT,377,340,10,27,0
DeKalb,State Representative,80,R,J. MAX DAVIS,1963,1840,85,38,0
Fulton,State Representative,80,R,J. MAX DAVIS,300,274,2,24,0
Houston,State Representative,146,R,SHAW BLACKMON,2520,1267,52,1201,0
Houston,State Representative,146,R,LARRY WALKER,1905,808,99,998,0
Ben Hill,State Representative,155,R,HORACE HUDGINS,482,270,10,202,0
Coffee,State Representative,155,R,HORACE HUDGINS,93,79,1,13,0
Irwin,State Representative,155,R,HORACE HUDGINS,674,460,12,200,2
Tift,State Representative,155,R,HORACE HUDGINS,166,111,5,50,0
Turner,State Representative,155,R,HORACE HUDGINS,221,123,1,96,1
Ben Hill,State Representative,155,R,CLAY PIRKLE,496,308,9,179,0
Coffee,State Representative,155,R,CLAY PIRKLE,102,85,0,17,0
Irwin,State Representative,155,R,CLAY PIRKLE,620,479,12,129,0
Tift,State Representative,155,R,CLAY PIRKLE,466,341,3,122,0
Turner,State Representative,155,R,CLAY PIRKLE,657,372,10,273,2
