county,office,district,party,candidate,votes,election_day,absentee,early_voting,provisional
,State Senator,43,D,TONYA P. ANDERSON,3781,2719,54,1004,4
DeKalb,State Senator,43,D,TONYA P. ANDERSON,1024,910,25,88,1
Newton,State Senator,43,D,TONYA P. ANDERSON,1052,747,11,294,0
Rockdale,State Senator,43,D,TONYA P. ANDERSON,1705,1062,18,622,3
,State Senator,43,R,JANICE FREY VAN NESS,3865,2247,114,1503,1
DeKalb,State Senator,43,R,JANICE FREY VAN NESS,92,79,6,7,0
Newton,State Senator,43,R,JANICE FREY VAN NESS,1024,824,7,193,0
Rockdale,State Senator,43,R,JANICE FREY VAN NESS,2749,1344,101,1303,1
,State Representative,122,R,JODI LOTT,4102,2927,86,1089,0
Columbia,State Representative,122,R,JODI LOTT,4102,2927,86,1089,0
,State Representative,122,R,MACK TAYLOR,1290,988,17,285,0
Columbia,State Representative,122,R,MACK TAYLOR,1290,988,17,285,0
