county,office,district,party,candidate,votes
BARTOW   ,U.S. House,7,Democrat,ROGER KAHN,2911
CARROLL  ,U.S. House,7,Democrat,ROGER KAHN,785
CHATTOOGA,U.S. House,7,Democrat,ROGER KAHN,566
COBB     ,U.S. House,7,Democrat,ROGER KAHN,1432
DOUGLAS  ,U.S. House,7,Democrat,ROGER KAHN,367
FLOYD    ,U.S. House,7,Democrat,ROGER KAHN,1500
HARALSON ,U.S. House,7,Democrat,ROGER KAHN,1775
HEARD    ,U.S. House,7,Democrat,ROGER KAHN,953
PAULDING ,U.S. House,7,Democrat,ROGER KAHN,230
POLK     ,U.S. House,7,Democrat,ROGER KAHN,2174
TROUP    ,U.S. House,7,Democrat,ROGER KAHN,1436
BARTOW   ,U.S. House,7,Democrat,JIM WILLIAMS,698
CARROLL  ,U.S. House,7,Democrat,JIM WILLIAMS,221
CHATTOOGA,U.S. House,7,Democrat,JIM WILLIAMS,179
COBB     ,U.S. House,7,Democrat,JIM WILLIAMS,225
DOUGLAS  ,U.S. House,7,Democrat,JIM WILLIAMS,51
FLOYD    ,U.S. House,7,Democrat,JIM WILLIAMS,725
HARALSON ,U.S. House,7,Democrat,JIM WILLIAMS,1045
HEARD    ,U.S. House,7,Democrat,JIM WILLIAMS,567
PAULDING ,U.S. House,7,Democrat,JIM WILLIAMS,56
POLK     ,U.S. House,7,Democrat,JIM WILLIAMS,2715
TROUP    ,U.S. House,7,Democrat,JIM WILLIAMS,493
FANNIN,State House,7,Republican,AMOS AMERSON,193
GILMER,State House,7,Republican,AMOS AMERSON,932
LUMPKIN,State House,7,Republican,AMOS AMERSON,1141
FANNIN,State House,7,Republican,BEN WHITAKER,294
GILMER,State House,7,Republican,BEN WHITAKER,901
LUMPKIN,State House,7,Republican,BEN WHITAKER,263
DAWSON,State House,19,Democrat,RANDY CHESTER,288
HALL,State House,19,Democrat,RANDY CHESTER,181
DAWSON,State House,19,Democrat,CHARLES FINLEY,273
HALL,State House,19,Democrat,CHARLES FINLEY,65
BUTTS,State House,109,Republican,ARCH BROWN,34
HENRY,State House,109,Republican,ARCH BROWN,452
LAMAR,State House,109,Republican,ARCH BROWN,19
BUTTS,State House,109,Republican,JOHN LUNSFORD,109
HENRY,State House,109,Republican,JOHN LUNSFORD,491
LAMAR,State House,109,Republican,JOHN LUNSFORD,30
FULTON,State Senate,40,Republican,JOHN MITNICK,2766
FULTON,State Senate,40,Republican,RUSTY PAUL,3575
