county,office,district,party,candidate,votes
Carrol|Douglas,State Senate,30,Libertarian,Mark Bierley,294
Carrol|Douglas,State Senate,30,Republican,Dennis T. Blackmon,1103
Carrol|Douglas,State Senate,30,Republican,Larry Boggs,1422
Carrol|Douglas,State Senate,30,Republican,Ronald K. (Ron) Camp,483
Carrol|Douglas,State Senate,30,Democratic,Michael 'Mike' Drass,95
Carrol|Douglas,State Senate,30,Republican,Dick Folk,621
Carrol|Douglas,State Senate,30,Republican,Bill Hamrick,1773
Carrol|Douglas,State Senate,30,Republican,Debra E. Harrington,244
Carrol|Douglas,State Senate,30,Democratic,John Paulk,788
Carrol|Douglas,State Senate,30,Republican,Bill Rivera,73
Carrol|Douglas,State Senate,30,Republican,Sherry Tomlinson Silvers,430
Carrol|Douglas,State Senate,30,Republican,Mark Stevens,1050
