county,precinct,office,district,party,candidate,election_day,absentee_by_mail,advance_in_person,provisional,votes
Coweta,SENOIA,Public Service Commission,District 3,REP,CHUCK EATON (I),314,13,35,0,362
Coweta,MORELAND,Public Service Commission,District 3,REP,CHUCK EATON (I),219,8,37,0,264
Coweta,PINE ROAD,Public Service Commission,District 3,REP,CHUCK EATON (I),146,4,43,0,193
Coweta,DRESDEN,Public Service Commission,District 3,REP,CHUCK EATON (I),76,2,8,0,86
Coweta,NEWNAN,Public Service Commission,District 3,REP,CHUCK EATON (I),149,8,47,0,204
Coweta,SHARPSBURG,Public Service Commission,District 3,REP,CHUCK EATON (I),378,14,53,0,445
Coweta,FISCHER ROAD,Public Service Commission,District 3,REP,CHUCK EATON (I),326,13,46,0,385
Coweta,CEDAR CREEK,Public Service Commission,District 3,REP,CHUCK EATON (I),407,22,129,0,558
Coweta,GRANTVILLE,Public Service Commission,District 3,REP,CHUCK EATON (I),128,5,18,0,151
Coweta,HARALSON,Public Service Commission,District 3,REP,CHUCK EATON (I),162,0,5,0,167
Coweta,WELCOME,Public Service Commission,District 3,REP,CHUCK EATON (I),239,4,27,0,270
Coweta,PANTHER CREEK,Public Service Commission,District 3,REP,CHUCK EATON (I),185,8,37,0,230
Coweta,RAYMOND,Public Service Commission,District 3,REP,CHUCK EATON (I),199,13,22,0,234
Coweta,TURIN,Public Service Commission,District 3,REP,CHUCK EATON (I),285,10,24,0,319
Coweta,SMOKEY ROAD,Public Service Commission,District 3,REP,CHUCK EATON (I),112,10,32,0,154
Coweta,TURKEY CREEK,Public Service Commission,District 3,REP,CHUCK EATON (I),33,6,10,0,49
Coweta,CENTRAL,Public Service Commission,District 3,REP,CHUCK EATON (I),35,5,11,0,51
Coweta,ARTS CENTRE,Public Service Commission,District 3,REP,CHUCK EATON (I),722,34,232,0,988
Coweta,GREENTOP,Public Service Commission,District 3,REP,CHUCK EATON (I),182,29,67,0,278
Coweta,EXPO CENTER,Public Service Commission,District 3,REP,CHUCK EATON (I),178,13,87,0,278
Coweta,WHITE OAK,Public Service Commission,District 3,REP,CHUCK EATON (I),339,34,79,1,453
Coweta,MADRAS,Public Service Commission,District 3,REP,CHUCK EATON (I),209,14,55,0,278
Coweta,CANNONGATE,Public Service Commission,District 3,REP,CHUCK EATON (I),376,18,70,0,464
Coweta,WESTSIDE,Public Service Commission,District 3,REP,CHUCK EATON (I),23,5,6,0,34
Coweta,NORTHSIDE,Public Service Commission,District 3,REP,CHUCK EATON (I),222,12,48,0,282
Coweta,THOMAS CROSSROADS,Public Service Commission,District 3,REP,CHUCK EATON (I),443,15,69,1,528
Coweta,EBENEZER CHURCH ROAD,Public Service Commission,District 3,REP,CHUCK EATON (I),169,9,16,0,194
Coweta,JEFFERSON PARKWAY,Public Service Commission,District 3,REP,CHUCK EATON (I),178,18,58,1,255
Coweta,,Public Service Commission,District 3,REP,CHUCK EATON (I),6434,346,1371,3,8154
Coweta,SENOIA,Public Service Commission,District 3,REP,MATT REID,281,8,23,0,312
Coweta,MORELAND,Public Service Commission,District 3,REP,MATT REID,233,12,28,0,273
Coweta,PINE ROAD,Public Service Commission,District 3,REP,MATT REID,130,6,27,0,163
Coweta,DRESDEN,Public Service Commission,District 3,REP,MATT REID,68,0,11,0,79
Coweta,NEWNAN,Public Service Commission,District 3,REP,MATT REID,99,4,32,0,135
Coweta,SHARPSBURG,Public Service Commission,District 3,REP,MATT REID,307,10,50,0,367
Coweta,FISCHER ROAD,Public Service Commission,District 3,REP,MATT REID,248,10,33,0,291
Coweta,CEDAR CREEK,Public Service Commission,District 3,REP,MATT REID,301,14,101,1,417
Coweta,GRANTVILLE,Public Service Commission,District 3,REP,MATT REID,96,4,9,0,109
Coweta,HARALSON,Public Service Commission,District 3,REP,MATT REID,128,5,6,0,139
Coweta,WELCOME,Public Service Commission,District 3,REP,MATT REID,231,7,19,0,257
Coweta,PANTHER CREEK,Public Service Commission,District 3,REP,MATT REID,179,13,27,0,219
Coweta,RAYMOND,Public Service Commission,District 3,REP,MATT REID,190,7,14,0,211
Coweta,TURIN,Public Service Commission,District 3,REP,MATT REID,256,12,20,0,288
Coweta,SMOKEY ROAD,Public Service Commission,District 3,REP,MATT REID,100,6,22,0,128
Coweta,TURKEY CREEK,Public Service Commission,District 3,REP,MATT REID,39,1,6,0,46
Coweta,CENTRAL,Public Service Commission,District 3,REP,MATT REID,17,4,7,0,28
Coweta,ARTS CENTRE,Public Service Commission,District 3,REP,MATT REID,549,30,174,0,753
Coweta,GREENTOP,Public Service Commission,District 3,REP,MATT REID,144,13,31,0,188
Coweta,EXPO CENTER,Public Service Commission,District 3,REP,MATT REID,92,15,53,0,160
Coweta,WHITE OAK,Public Service Commission,District 3,REP,MATT REID,290,18,50,0,358
Coweta,MADRAS,Public Service Commission,District 3,REP,MATT REID,238,9,53,0,300
Coweta,CANNONGATE,Public Service Commission,District 3,REP,MATT REID,298,7,58,0,363
Coweta,WESTSIDE,Public Service Commission,District 3,REP,MATT REID,9,2,2,0,13
Coweta,NORTHSIDE,Public Service Commission,District 3,REP,MATT REID,146,10,34,0,190
Coweta,THOMAS CROSSROADS,Public Service Commission,District 3,REP,MATT REID,394,26,56,0,476
Coweta,EBENEZER CHURCH ROAD,Public Service Commission,District 3,REP,MATT REID,115,4,23,0,142
Coweta,JEFFERSON PARKWAY,Public Service Commission,District 3,REP,MATT REID,124,11,47,1,183
Coweta,,Public Service Commission,District 3,REP,MATT REID,5302,268,1016,2,6588
Coweta,SENOIA,Public Service Commission,District 3,DEM,STEPHEN OPPENHEIMER,74,0,10,0,84
