county,precinct,office,district,party,candidate,election_day,absentee_by_mail,advance_in_person,provisional,votes
Dooly,LILLY,Public Service Commission,District 3,REP,CHUCK EATON (I),3,0,0,0,3
Dooly,BYROMVILLE,Public Service Commission,District 3,REP,CHUCK EATON (I),5,0,6,0,11
Dooly,UNADILLA,Public Service Commission,District 3,REP,CHUCK EATON (I),32,1,3,0,36
Dooly,VIENNA,Public Service Commission,District 3,REP,CHUCK EATON (I),22,1,14,0,37
Dooly,PINEHURST,Public Service Commission,District 3,REP,CHUCK EATON (I),6,0,5,0,11
Dooly,,Public Service Commission,District 3,REP,CHUCK EATON (I),68,2,28,0,98
Dooly,LILLY,Public Service Commission,District 3,REP,MATT REID,5,0,0,0,5
Dooly,BYROMVILLE,Public Service Commission,District 3,REP,MATT REID,7,2,0,0,9
Dooly,UNADILLA,Public Service Commission,District 3,REP,MATT REID,26,1,0,0,27
Dooly,VIENNA,Public Service Commission,District 3,REP,MATT REID,19,1,14,0,34
Dooly,PINEHURST,Public Service Commission,District 3,REP,MATT REID,5,0,1,0,6
Dooly,,Public Service Commission,District 3,REP,MATT REID,62,4,15,0,81
Dooly,LILLY,Public Service Commission,District 3,DEM,STEPHEN OPPENHEIMER,57,3,14,0,74
Dooly,BYROMVILLE,Public Service Commission,District 3,DEM,STEPHEN OPPENHEIMER,81,3,16,0,100
Dooly,UNADILLA,Public Service Commission,District 3,DEM,STEPHEN OPPENHEIMER,160,10,26,0,196
Dooly,VIENNA,Public Service Commission,District 3,DEM,STEPHEN OPPENHEIMER,237,8,206,1,452
Dooly,PINEHURST,Public Service Commission,District 3,DEM,STEPHEN OPPENHEIMER,76,1,28,1,106
Dooly,,Public Service Commission,District 3,DEM,STEPHEN OPPENHEIMER,611,25,290,2,928
Dooly,LILLY,Public Service Commission,District 5,REP,PAM DAVIDSON,5,0,0,0,5
Dooly,BYROMVILLE,Public Service Commission,District 5,REP,PAM DAVIDSON,5,1,2,0,8
Dooly,UNADILLA,Public Service Commission,District 5,REP,PAM DAVIDSON,20,1,0,0,21
Dooly,VIENNA,Public Service Commission,District 5,REP,PAM DAVIDSON,21,1,11,0,33
Dooly,PINEHURST,Public Service Commission,District 5,REP,PAM DAVIDSON,3,0,2,0,5
Dooly,,Public Service Commission,District 5,REP,PAM DAVIDSON,54,3,15,0,72
Dooly,LILLY,Public Service Commission,District 5,REP,STAN WISE (I),2,0,0,0,2
Dooly,BYROMVILLE,Public Service Commission,District 5,REP,STAN WISE (I),7,1,3,0,11
Dooly,UNADILLA,Public Service Commission,District 5,REP,STAN WISE (I),37,1,3,0,41
Dooly,VIENNA,Public Service Commission,District 5,REP,STAN WISE (I),22,1,17,0,40
Dooly,PINEHURST,Public Service Commission,District 5,REP,STAN WISE (I),7,0,4,0,11
Dooly,,Public Service Commission,District 5,REP,STAN WISE (I),75,3,27,0,105
Dooly,LILLY,U.S. Representative,2,REP,RICK ALLEN,1,0,0,0,1
Dooly,BYROMVILLE,U.S. Representative,2,REP,RICK ALLEN,3,1,4,0,8
Dooly,UNADILLA,U.S. Representative,2,REP,RICK ALLEN,9,0,2,0,11
Dooly,VIENNA,U.S. Representative,2,REP,RICK ALLEN,17,1,7,0,25
Dooly,PINEHURST,U.S. Representative,2,REP,RICK ALLEN,1,0,0,0,1
Dooly,,U.S. Representative,2,REP,RICK ALLEN,31,2,13,0,46
Dooly,LILLY,U.S. Representative,2,REP,KEN DELOACH,5,0,0,0,5
Dooly,BYROMVILLE,U.S. Representative,2,REP,KEN DELOACH,5,0,0,0,5
Dooly,UNADILLA,U.S. Representative,2,REP,KEN DELOACH,43,2,1,0,46
Dooly,VIENNA,U.S. Representative,2,REP,KEN DELOACH,15,1,13,0,29
Dooly,PINEHURST,U.S. Representative,2,REP,KEN DELOACH,7,0,3,0,10
Dooly,,U.S. Representative,2,REP,KEN DELOACH,75,3,17,0,95
Dooly,LILLY,U.S. Representative,2,REP,JOHN HOUSE,2,0,0,0,2
Dooly,BYROMVILLE,U.S. Representative,2,REP,JOHN HOUSE,5,1,2,0,8
Dooly,UNADILLA,U.S. Representative,2,REP,JOHN HOUSE,9,0,0,0,9
Dooly,VIENNA,U.S. Representative,2,REP,JOHN HOUSE,12,0,6,0,18
Dooly,PINEHURST,U.S. Representative,2,REP,JOHN HOUSE,2,0,3,0,5
Dooly,,U.S. Representative,2,REP,JOHN HOUSE,30,1,11,0,42
Dooly,LILLY,U.S. Representative,2,DEM,SANFORD BISHOP (I),86,4,21,0,111
Dooly,BYROMVILLE,U.S. Representative,2,DEM,SANFORD BISHOP (I),116,3,21,0,140
Dooly,UNADILLA,U.S. Representative,2,DEM,SANFORD BISHOP (I),254,11,45,0,310
Dooly,VIENNA,U.S. Representative,2,DEM,SANFORD BISHOP (I),329,8,258,1,596
Dooly,PINEHURST,U.S. Representative,2,DEM,SANFORD BISHOP (I),99,2,31,1,133
Dooly,,U.S. Representative,2,DEM,SANFORD BISHOP (I),884,28,376,2,1290
Dooly,LILLY,State Senator,13,REP,JOHN D. CROSBY (I),7,0,0,0,7
Dooly,BYROMVILLE,State Senator,13,REP,JOHN D. CROSBY (I),9,2,5,0,16
Dooly,UNADILLA,State Senator,13,REP,JOHN D. CROSBY (I),49,0,3,0,52
Dooly,VIENNA,State Senator,13,REP,JOHN D. CROSBY (I),40,2,21,0,63
Dooly,PINEHURST,State Senator,13,REP,JOHN D. CROSBY (I),8,0,4,0,12
Dooly,,State Senator,13,REP,JOHN D. CROSBY (I),113,4,33,0,150
Dooly,LILLY,State Representative,139,DEM,PATTY BENTLEY,45,1,14,0,60
Dooly,BYROMVILLE,State Representative,139,DEM,PATTY BENTLEY,86,2,9,0,97
Dooly,UNADILLA,State Representative,139,DEM,PATTY BENTLEY,153,5,22,0,180
Dooly,VIENNA,State Representative,139,DEM,PATTY BENTLEY,153,2,111,0,266
Dooly,PINEHURST,State Representative,139,DEM,PATTY BENTLEY,22,0,8,0,30
Dooly,,State Representative,139,DEM,PATTY BENTLEY,459,10,164,0,633
Dooly,LILLY,State Representative,139,DEM,THOMAS COOGLE,46,3,12,0,61
Dooly,BYROMVILLE,State Representative,139,DEM,THOMAS COOGLE,73,1,16,0,90
Dooly,UNADILLA,State Representative,139,DEM,THOMAS COOGLE,145,10,26,0,181
Dooly,VIENNA,State Representative,139,DEM,THOMAS COOGLE,174,6,187,0,367
Dooly,PINEHURST,State Representative,139,DEM,THOMAS COOGLE,85,1,31,1,118
Dooly,,State Representative,139,DEM,THOMAS COOGLE,523,21,272,1,817
Dooly,LILLY,State Representative,139,DEM,MICHAEL DINKINS,15,0,6,0,21
Dooly,BYROMVILLE,State Representative,139,DEM,MICHAEL DINKINS,12,0,2,0,14
Dooly,UNADILLA,State Representative,139,DEM,MICHAEL DINKINS,52,5,8,0,65
Dooly,VIENNA,State Representative,139,DEM,MICHAEL DINKINS,86,3,44,1,134
Dooly,PINEHURST,State Representative,139,DEM,MICHAEL DINKINS,14,1,5,0,20
Dooly,,State Representative,139,DEM,MICHAEL DINKINS,179,9,65,1,254
