county,office,district,party,candidate,votes,election_day,absentee,early_voting,provisional
,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),506062,363068,20074,122613,307
Appling,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),1837,1355,127,354,1
Atkinson,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),176,124,11,41,0
Bacon,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),1133,579,35,519,0
Baker,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),9,5,0,4,0
Baldwin,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),2091,1400,128,563,0
Banks,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),2038,1624,59,353,2
Barrow,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),3933,2919,119,893,2
Bartow,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),7986,5633,250,2100,3
Ben Hill,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),667,459,14,194,0
Berrien,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),1779,1166,44,566,3
Bibb,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),6599,5041,301,1252,5
Bleckley,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),1066,693,45,327,1
Brantley,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),947,766,15,166,0
Brooks,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),539,421,6,111,1
Bryan,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),2406,1278,76,1047,5
Bulloch,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),4689,3204,129,1356,0
Burke,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),793,575,42,176,0
Butts,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),1938,864,53,1021,0
Calhoun,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),27,20,5,2,0
Camden,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),4533,3432,229,863,9
Candler,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),342,257,12,73,0
Carroll,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),7317,5625,156,1531,5
Catoosa,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),4974,3188,104,1682,0
Charlton,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),365,307,6,52,0
Chatham,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),9806,7843,308,1653,2
Chattahoochee,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),27,26,1,0,0
Chattooga,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),349,256,4,87,2
Cherokee,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),19863,13269,959,5623,12
Clarke,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),3505,2590,158,755,2
Clay,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),47,34,0,13,0
Clayton,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),1974,1375,127,471,1
Clinch,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),820,513,53,251,3
Cobb,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),42768,32710,2255,7758,45
Coffee,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),2179,1337,50,792,0
Colquitt,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),2504,1824,28,652,0
Columbia,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),11676,9120,341,2214,1
Cook,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),1671,1046,47,578,0
Coweta,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),8154,6434,346,1371,3
Crawford,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),670,484,26,150,10
Crisp,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),1128,724,44,358,2
Dade,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),1647,1024,34,587,2
Dawson,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),2500,1398,80,1019,3
Decatur,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),384,258,29,97,0
DeKalb,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),13556,11083,963,1507,3
Dodge,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),1611,1152,77,382,0
Dooly,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),98,68,2,28,0
Dougherty,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),981,797,84,100,0
