county,precinct,office,district,party,candidate,election_day,absentee_by_mail,advance_in_person,provisional,votes
Oglethorpe,Beaverdam,Public Service Commission,District 3,REP,CHUCK EATON (I),243,6,32,0,281
Oglethorpe,Crawford,Public Service Commission,District 3,REP,CHUCK EATON (I),128,8,38,0,174
Oglethorpe,Falling Creek,Public Service Commission,District 3,REP,CHUCK EATON (I),49,1,16,0,66
Oglethorpe,Grove Creek,Public Service Commission,District 3,REP,CHUCK EATON (I),39,3,10,0,52
Oglethorpe,Glade,Public Service Commission,District 3,REP,CHUCK EATON (I),38,2,1,0,41
Oglethorpe,Goosepond,Public Service Commission,District 3,REP,CHUCK EATON (I),48,6,17,0,71
Oglethorpe,Lexington,Public Service Commission,District 3,REP,CHUCK EATON (I),128,12,98,0,238
Oglethorpe,Pleasant Hill,Public Service Commission,District 3,REP,CHUCK EATON (I),98,0,20,0,118
Oglethorpe,Wolfskin,Public Service Commission,District 3,REP,CHUCK EATON (I),69,2,28,0,99
Oglethorpe,Woodstock,Public Service Commission,District 3,REP,CHUCK EATON (I),27,0,14,0,41
Oglethorpe,,Public Service Commission,District 3,REP,CHUCK EATON (I),867,40,274,0,1181
Oglethorpe,Beaverdam,Public Service Commission,District 3,REP,MATT REID,124,2,16,1,143
Oglethorpe,Crawford,Public Service Commission,District 3,REP,MATT REID,69,1,30,0,100
Oglethorpe,Falling Creek,Public Service Commission,District 3,REP,MATT REID,35,1,12,0,48
Oglethorpe,Grove Creek,Public Service Commission,District 3,REP,MATT REID,25,0,8,0,33
Oglethorpe,Glade,Public Service Commission,District 3,REP,MATT REID,21,0,0,0,21
Oglethorpe,Goosepond,Public Service Commission,District 3,REP,MATT REID,23,2,11,0,36
Oglethorpe,Lexington,Public Service Commission,District 3,REP,MATT REID,77,9,61,0,147
Oglethorpe,Pleasant Hill,Public Service Commission,District 3,REP,MATT REID,55,2,9,0,66
Oglethorpe,Wolfskin,Public Service Commission,District 3,REP,MATT REID,55,1,9,0,65
Oglethorpe,Woodstock,Public Service Commission,District 3,REP,MATT REID,13,0,6,0,19
Oglethorpe,,Public Service Commission,District 3,REP,MATT REID,497,18,162,1,678
Oglethorpe,Beaverdam,Public Service Commission,District 3,DEM,STEPHEN OPPENHEIMER,54,0,5,0,59
Oglethorpe,Crawford,Public Service Commission,District 3,DEM,STEPHEN OPPENHEIMER,44,1,12,0,57
Oglethorpe,Falling Creek,Public Service Commission,District 3,DEM,STEPHEN OPPENHEIMER,15,2,6,0,23
Oglethorpe,Grove Creek,Public Service Commission,District 3,DEM,STEPHEN OPPENHEIMER,15,0,5,0,20
Oglethorpe,Glade,Public Service Commission,District 3,DEM,STEPHEN OPPENHEIMER,17,0,2,0,19
Oglethorpe,Goosepond,Public Service Commission,District 3,DEM,STEPHEN OPPENHEIMER,13,1,0,0,14
Oglethorpe,Lexington,Public Service Commission,District 3,DEM,STEPHEN OPPENHEIMER,68,2,25,0,95
Oglethorpe,Pleasant Hill,Public Service Commission,District 3,DEM,STEPHEN OPPENHEIMER,15,0,0,0,15
Oglethorpe,Wolfskin,Public Service Commission,District 3,DEM,STEPHEN OPPENHEIMER,13,0,2,0,15
Oglethorpe,Woodstock,Public Service Commission,District 3,DEM,STEPHEN OPPENHEIMER,12,1,0,0,13
Oglethorpe,,Public Service Commission,District 3,DEM,STEPHEN OPPENHEIMER,266,7,57,0,330
Oglethorpe,Beaverdam,Public Service Commission,District 5,REP,PAM DAVIDSON,138,2,22,0,162
Oglethorpe,Crawford,Public Service Commission,District 5,REP,PAM DAVIDSON,84,1,28,0,113
Oglethorpe,Falling Creek,Public Service Commission,District 5,REP,PAM DAVIDSON,29,1,13,0,43
Oglethorpe,Grove Creek,Public Service Commission,District 5,REP,PAM DAVIDSON,23,1,6,0,30
Oglethorpe,Glade,Public Service Commission,District 5,REP,PAM DAVIDSON,25,0,0,0,25
Oglethorpe,Goosepond,Public Service Commission,District 5,REP,PAM DAVIDSON,23,2,9,0,34
Oglethorpe,Lexington,Public Service Commission,District 5,REP,PAM DAVIDSON,100,10,70,0,180
Oglethorpe,Pleasant Hill,Public Service Commission,District 5,REP,PAM DAVIDSON,54,2,11,0,67
Oglethorpe,Wolfskin,Public Service Commission,District 5,REP,PAM DAVIDSON,55,1,13,0,69
Oglethorpe,Woodstock,Public Service Commission,District 5,REP,PAM DAVIDSON,15,0,4,0,19
Oglethorpe,,Public Service Commission,District 5,REP,PAM DAVIDSON,546,20,176,0,742
Oglethorpe,Beaverdam,Public Service Commission,District 5,REP,STAN WISE (I),230,5,26,1,262
Oglethorpe,Crawford,Public Service Commission,District 5,REP,STAN WISE (I),109,8,43,0,160
Oglethorpe,Falling Creek,Public Service Commission,District 5,REP,STAN WISE (I),53,1,15,0,69
Oglethorpe,Grove Creek,Public Service Commission,District 5,REP,STAN WISE (I),39,2,11,0,52
Oglethorpe,Glade,Public Service Commission,District 5,REP,STAN WISE (I),32,2,1,0,35
Oglethorpe,Goosepond,Public Service Commission,District 5,REP,STAN WISE (I),41,6,17,0,64
