county,office,district,party,candidate,votes,election_day,absentee,early_voting,provisional
,"U.S. Representative, District 2",2,REP,RICK ALLEN,2217,1673,299,241,4
Baker,"U.S. Representative, District 2",2,REP,RICK ALLEN,3,1,0,2,0
Bibb,"U.S. Representative, District 2",2,REP,RICK ALLEN,405,310,40,54,1
Calhoun,"U.S. Representative, District 2",2,REP,RICK ALLEN,2,0,2,0,0
Chattahoochee,"U.S. Representative, District 2",2,REP,RICK ALLEN,6,5,1,0,0
Clay,"U.S. Representative, District 2",2,REP,RICK ALLEN,3,3,0,0,0
Crawford,"U.S. Representative, District 2",2,REP,RICK ALLEN,139,110,8,21,0
Crisp,"U.S. Representative, District 2",2,REP,RICK ALLEN,118,81,12,25,0
Decatur,"U.S. Representative, District 2",2,REP,RICK ALLEN,68,54,10,4,0
Dooly,"U.S. Representative, District 2",2,REP,RICK ALLEN,44,36,1,6,1
Dougherty,"U.S. Representative, District 2",2,REP,RICK ALLEN,176,122,34,19,1
Early,"U.S. Representative, District 2",2,REP,RICK ALLEN,65,56,5,4,0
Grady,"U.S. Representative, District 2",2,REP,RICK ALLEN,86,63,3,20,0
Lee,"U.S. Representative, District 2",2,REP,RICK ALLEN,283,230,22,31,0
Macon,"U.S. Representative, District 2",2,REP,RICK ALLEN,6,6,0,0,0
Marion,"U.S. Representative, District 2",2,REP,RICK ALLEN,7,7,0,0,0
Miller,"U.S. Representative, District 2",2,REP,RICK ALLEN,11,9,0,2,0
Mitchell,"U.S. Representative, District 2",2,REP,RICK ALLEN,82,59,9,13,1
Muscogee,"U.S. Representative, District 2",2,REP,RICK ALLEN,341,237,95,9,0
Peach,"U.S. Representative, District 2",2,REP,RICK ALLEN,131,102,12,17,0
Quitman,"U.S. Representative, District 2",2,REP,RICK ALLEN,6,2,4,0,0
Randolph,"U.S. Representative, District 2",2,REP,RICK ALLEN,1,1,0,0,0
Schley,"U.S. Representative, District 2",2,REP,RICK ALLEN,5,4,0,1,0
Seminole,"U.S. Representative, District 2",2,REP,RICK ALLEN,40,34,3,3,0
Stewart,"U.S. Representative, District 2",2,REP,RICK ALLEN,1,0,0,1,0
Sumter,"U.S. Representative, District 2",2,REP,RICK ALLEN,56,44,12,0,0
Talbot,"U.S. Representative, District 2",2,REP,RICK ALLEN,10,7,2,1,0
Taylor,"U.S. Representative, District 2",2,REP,RICK ALLEN,82,65,10,7,0
Terrell,"U.S. Representative, District 2",2,REP,RICK ALLEN,35,20,14,1,0
Webster,"U.S. Representative, District 2",2,REP,RICK ALLEN,5,5,0,0,0
,"U.S. Representative, District 2",2,REP,JOHN HOUSE,2705,2122,330,250,3
Baker,"U.S. Representative, District 2",2,REP,JOHN HOUSE,2,1,0,1,0
Bibb,"U.S. Representative, District 2",2,REP,JOHN HOUSE,205,158,31,16,0
Calhoun,"U.S. Representative, District 2",2,REP,JOHN HOUSE,0,0,0,0,0
