office,candidate,party,county,votes,district
State House,Smith,R,Gwinnett,0,District 107
State House,Totals,6698,Gwinnett,2034,District 107
State House,Smith,R,Walton,1424,District 107
State House,Totals,6698,Walton,1180,District 107
