county,precinct,office,district,party,candidate,votes,absentee_by_mail,election_day,advance_in_person,provisional
Twiggs,,"State Senator, District 26",26,DEM,DAVID E. LUCAS SR.,420,40,327,53,0
Twiggs,DRY BRANCH,"State Senator, District 26",26,DEM,DAVID E. LUCAS SR.,21,1,20,0,0
Twiggs,GOLDEN ISLES,"State Senator, District 26",26,DEM,DAVID E. LUCAS SR.,189,8,170,11,0
Twiggs,HIGGSVILLE,"State Senator, District 26",26,DEM,DAVID E. LUCAS SR.,16,0,13,3,0
Twiggs,JEFFERSONVILLE/WARE,"State Senator, District 26",26,DEM,DAVID E. LUCAS SR.,141,26,84,31,0
Twiggs,SHADY GROVE/TARVERS,"State Senator, District 26",26,DEM,DAVID E. LUCAS SR.,53,5,40,8,0
Twiggs,,"State Senator, District 26",26,DEM,MIRIAM PARIS (I),563,33,460,70,0
Twiggs,DRY BRANCH,"State Senator, District 26",26,DEM,MIRIAM PARIS (I),94,4,90,0,0
Twiggs,GOLDEN ISLES,"State Senator, District 26",26,DEM,MIRIAM PARIS (I),114,8,102,4,0
Twiggs,HIGGSVILLE,"State Senator, District 26",26,DEM,MIRIAM PARIS (I),130,9,105,16,0
Twiggs,JEFFERSONVILLE/WARE,"State Senator, District 26",26,DEM,MIRIAM PARIS (I),146,6,105,35,0
Twiggs,SHADY GROVE/TARVERS,"State Senator, District 26",26,DEM,MIRIAM PARIS (I),79,6,58,15,0
