county,precinct,office,district,party,candidate,election_day_votes,advanced_votes,absentee_by_mail_votes,provisional_votes
Carroll,TEMPLE CITY (650),State Senate,30,Republican,BILL HEMBREE,37,1,10,0
Carroll,BONNER (714A3),State Senate,30,Republican,BILL HEMBREE,19,13,3,0
Carroll,BOWDON (1111),State Senate,30,Republican,BILL HEMBREE,15,2,11,0
Carroll,BOWDON JUNCTION (1496),State Senate,30,Republican,BILL HEMBREE,19,2,1,0
Carroll,BURWELL (1371),State Senate,30,Republican,BILL HEMBREE,9,1,0,0
Carroll,CENTER POINT (1152),State Senate,30,Republican,BILL HEMBREE,58,11,3,0
Carroll,CLEM (1483),State Senate,30,Republican,BILL HEMBREE,28,13,5,0
Carroll,COUNTY ADMIN BLDG (714A5),State Senate,30,Republican,BILL HEMBREE,30,16,6,0
Carroll,EAST CARROLLTON REC (714A2),State Senate,30,Republican,BILL HEMBREE,16,11,5,0
Carroll,EMC (714BN),State Senate,30,Republican,BILL HEMBREE,26,7,2,0
Carroll,KANSAS (1006),State Senate,30,Republican,BILL HEMBREE,19,4,2,0
Carroll,MT ZION (1240),State Senate,30,Republican,BILL HEMBREE,26,2,1,0
Carroll,NEW HOPE (716),State Senate,30,Republican,BILL HEMBREE,12,1,0,0
Carroll,OAK GROVE (715),State Senate,30,Republican,BILL HEMBREE,17,4,2,0
Carroll,OLD CAMP CHURCH (714BW),State Senate,30,Republican,BILL HEMBREE,31,6,1,0
Carroll,ROOPVILLE (713),State Senate,30,Republican,BILL HEMBREE,28,1,2,0
Carroll,SANDHILL (1122),State Senate,30,Republican,BILL HEMBREE,35,8,9,0
Carroll,TABERNACLE CHURCH (714A6),State Senate,30,Republican,BILL HEMBREE,22,1,3,0
Carroll,BETHANY (501),State Senate,30,Republican,BILL HEMBREE,22,9,0,0
Carroll,TEMPLE COUNTY (649),State Senate,30,Republican,BILL HEMBREE,36,13,9,0
Carroll,TYUS (1533),State Senate,30,Republican,BILL HEMBREE,36,1,1,0
Carroll,UNIVERSITY OF W. GA (714A4),State Senate,30,Republican,BILL HEMBREE,21,7,3,0
Carroll,V R COUNTY NORTH (641),State Senate,30,Republican,BILL HEMBREE,44,9,15,0
Carroll,V R COUNTY SOUTH (640),State Senate,30,Republican,BILL HEMBREE,47,3,12,0
Carroll,VILLA RICA CITY (642),State Senate,30,Republican,BILL HEMBREE,42,2,16,0
Carroll,WEST CARROLLTON (714A1),State Senate,30,Republican,BILL HEMBREE,8,1,3,0
Carroll,CLEM (1483),State Senate,30,Republican,MIKE DUGAN,172,55,3,0
Carroll,COUNTY ADMIN BLDG (714A5),State Senate,30,Republican,MIKE DUGAN,81,35,8,0
Carroll,EAST CARROLLTON REC (714A2),State Senate,30,Republican,MIKE DUGAN,61,20,6,0
Carroll,EMC (714BN),State Senate,30,Republican,MIKE DUGAN,50,23,1,0
Carroll,KANSAS (1006),State Senate,30,Republican,MIKE DUGAN,69,5,1,0
Carroll,MT ZION (1240),State Senate,30,Republican,MIKE DUGAN,57,10,4,0
Carroll,NEW HOPE (716),State Senate,30,Republican,MIKE DUGAN,39,6,0,0
Carroll,OAK GROVE (715),State Senate,30,Republican,MIKE DUGAN,100,8,3,0
Carroll,OLD CAMP CHURCH (714BW),State Senate,30,Republican,MIKE DUGAN,151,42,4,0
Carroll,ROOPVILLE (713),State Senate,30,Republican,MIKE DUGAN,105,9,6,0
