county,precinct,office,district,party,candidate,election_day,absentee_by_mail,advance_in_person,provisional,votes
McIntosh,Sapelo Island,Public Service Commission,District 3,REP,CHUCK EATON (I),1,0,0,0,1
McIntosh,Townsend,Public Service Commission,District 3,REP,CHUCK EATON (I),41,8,10,0,59
McIntosh,Crescent,Public Service Commission,District 3,REP,CHUCK EATON (I),72,6,42,0,120
McIntosh,Darien,Public Service Commission,District 3,REP,CHUCK EATON (I),172,22,116,0,310
McIntosh,South Newport,Public Service Commission,District 3,REP,CHUCK EATON (I),239,24,85,2,350
McIntosh,North Darien,Public Service Commission,District 3,REP,CHUCK EATON (I),185,34,141,0,360
McIntosh,,Public Service Commission,District 3,REP,CHUCK EATON (I),710,94,394,2,1200
McIntosh,Sapelo Island,Public Service Commission,District 3,REP,MATT REID,1,0,0,0,1
McIntosh,Townsend,Public Service Commission,District 3,REP,MATT REID,15,10,2,0,27
McIntosh,Crescent,Public Service Commission,District 3,REP,MATT REID,28,3,24,0,55
McIntosh,Darien,Public Service Commission,District 3,REP,MATT REID,68,6,64,0,138
McIntosh,South Newport,Public Service Commission,District 3,REP,MATT REID,129,15,37,0,181
McIntosh,North Darien,Public Service Commission,District 3,REP,MATT REID,93,8,55,0,156
McIntosh,,Public Service Commission,District 3,REP,MATT REID,334,42,182,0,558
McIntosh,Sapelo Island,Public Service Commission,District 3,DEM,STEPHEN OPPENHEIMER,13,0,0,0,13
McIntosh,Townsend,Public Service Commission,District 3,DEM,STEPHEN OPPENHEIMER,39,12,2,0,53
McIntosh,Crescent,Public Service Commission,District 3,DEM,STEPHEN OPPENHEIMER,249,44,68,0,361
McIntosh,Darien,Public Service Commission,District 3,DEM,STEPHEN OPPENHEIMER,184,34,61,0,279
McIntosh,South Newport,Public Service Commission,District 3,DEM,STEPHEN OPPENHEIMER,121,26,32,0,179
McIntosh,North Darien,Public Service Commission,District 3,DEM,STEPHEN OPPENHEIMER,129,24,23,1,177
McIntosh,,Public Service Commission,District 3,DEM,STEPHEN OPPENHEIMER,735,140,186,1,1062
McIntosh,Sapelo Island,Public Service Commission,District 5,REP,PAM DAVIDSON,0,0,0,0,0
McIntosh,Townsend,Public Service Commission,District 5,REP,PAM DAVIDSON,21,8,5,0,34
