county,precinct,office,district,party,candidate,votes,absentee_by_mail,election_day,advance_in_person,provisional
Pulaski,,President of the United States,,R,MITT ROMNEY,2444,124,890,1429,1
Pulaski,EAST PRECINCT,President of the United States,,R,MITT ROMNEY,450,27,226,197,0
Pulaski,NORTH PRECINCT,President of the United States,,R,MITT ROMNEY,874,49,250,574,1
Pulaski,SOUTH PRECINCT,President of the United States,,R,MITT ROMNEY,1120,48,414,658,0
Pulaski,,President of the United States,,D,BARACK OBAMA (I),1219,92,476,650,1
Pulaski,EAST PRECINCT,President of the United States,,D,BARACK OBAMA (I),140,5,71,64,0
Pulaski,NORTH PRECINCT,President of the United States,,D,BARACK OBAMA (I),654,59,237,358,0
Pulaski,SOUTH PRECINCT,President of the United States,,D,BARACK OBAMA (I),425,28,168,228,1
Pulaski,,President of the United States,,L,GARY JOHNSON,18,3,9,6,0
Pulaski,EAST PRECINCT,President of the United States,,L,GARY JOHNSON,1,1,0,0,0
Pulaski,NORTH PRECINCT,President of the United States,,L,GARY JOHNSON,10,1,6,3,0
Pulaski,SOUTH PRECINCT,President of the United States,,L,GARY JOHNSON,7,1,3,3,0
Pulaski,,"Public Service Commission, District 3",3,R,CHUCK EATON (I),2100,116,761,1222,1
Pulaski,EAST PRECINCT,"Public Service Commission, District 3",3,R,CHUCK EATON (I),338,22,169,147,0
Pulaski,NORTH PRECINCT,"Public Service Commission, District 3",3,R,CHUCK EATON (I),790,47,232,510,1
Pulaski,SOUTH PRECINCT,"Public Service Commission, District 3",3,R,CHUCK EATON (I),972,47,360,565,0
Pulaski,,"Public Service Commission, District 3",3,D,STEPHEN OPPENHEIMER,1017,74,414,528,1
Pulaski,EAST PRECINCT,"Public Service Commission, District 3",3,D,STEPHEN OPPENHEIMER,145,5,74,66,0
Pulaski,NORTH PRECINCT,"Public Service Commission, District 3",3,D,STEPHEN OPPENHEIMER,512,49,189,274,0
Pulaski,SOUTH PRECINCT,"Public Service Commission, District 3",3,D,STEPHEN OPPENHEIMER,360,20,151,188,1
Pulaski,,"Public Service Commission, District 3",3,L,BRAD PLOEGER,96,7,39,50,0
Pulaski,EAST PRECINCT,"Public Service Commission, District 3",3,L,BRAD PLOEGER,22,1,12,9,0
Pulaski,NORTH PRECINCT,"Public Service Commission, District 3",3,L,BRAD PLOEGER,35,3,12,20,0
Pulaski,SOUTH PRECINCT,"Public Service Commission, District 3",3,L,BRAD PLOEGER,39,3,15,21,0
Pulaski,,"Public Service Commission, District 5",5,R,STAN WISE (I),2266,126,838,1301,1
Pulaski,EAST PRECINCT,"Public Service Commission, District 5",5,R,STAN WISE (I),367,23,190,154,0
Pulaski,NORTH PRECINCT,"Public Service Commission, District 5",5,R,STAN WISE (I),871,55,253,562,1
Pulaski,SOUTH PRECINCT,"Public Service Commission, District 5",5,R,STAN WISE (I),1028,48,395,585,0
Pulaski,,"Public Service Commission, District 5",5,L,DAVID STAPLES,664,35,274,355,0
Pulaski,EAST PRECINCT,"Public Service Commission, District 5",5,L,DAVID STAPLES,115,4,56,55,0
Pulaski,NORTH PRECINCT,"Public Service Commission, District 5",5,L,DAVID STAPLES,304,16,128,160,0
Pulaski,SOUTH PRECINCT,"Public Service Commission, District 5",5,L,DAVID STAPLES,245,15,90,140,0
Pulaski,,U.S. Representative,8,R,AUSTIN SCOTT (I),2730,142,1058,1529,1
Pulaski,EAST PRECINCT,U.S. Representative,8,R,AUSTIN SCOTT (I),449,23,237,189,0
Pulaski,NORTH PRECINCT,U.S. Representative,8,R,AUSTIN SCOTT (I),1078,62,347,668,1
