county,precinct,office,district,party,candidate,votes,absentee_by_mail,provisional,election_day,advance_in_person,advance_in_person_2
DeKalb,,"Public Service Commission, District 3",3,REP,CHUCK EATON,13556,963,3,11083,482,1025
DeKalb,ALLGOOD ELEM,"Public Service Commission, District 3",3,REP,CHUCK EATON,25,1,0,23,1,0
DeKalb,ASHFORD DUNWOODY RD,"Public Service Commission, District 3",3,REP,CHUCK EATON,399,25,0,302,5,67
DeKalb,ASHFORD PARK ELEM,"Public Service Commission, District 3",3,REP,CHUCK EATON,243,15,0,207,1,20
DeKalb,ASHFORD PARKSIDE,"Public Service Commission, District 3",3,REP,CHUCK EATON,282,19,0,198,1,64
DeKalb,AUSTIN,"Public Service Commission, District 3",3,REP,CHUCK EATON,378,22,0,340,1,15
DeKalb,AUSTIN DRIVE,"Public Service Commission, District 3",3,REP,CHUCK EATON,14,1,0,8,4,1
DeKalb,AVONDALE,"Public Service Commission, District 3",3,REP,CHUCK EATON,107,13,0,83,11,0
DeKalb,AVONDALE HIGH,"Public Service Commission, District 3",3,REP,CHUCK EATON,44,5,0,34,5,0
DeKalb,BETHUNE MIDDLE,"Public Service Commission, District 3",3,REP,CHUCK EATON,12,2,0,9,1,0
DeKalb,BOULDERCREST RD,"Public Service Commission, District 3",3,REP,CHUCK EATON,5,1,0,3,1,0
DeKalb,BOULEVARD,"Public Service Commission, District 3",3,REP,CHUCK EATON,27,0,0,26,1,0
DeKalb,BRIAR VISTA ELEM,"Public Service Commission, District 3",3,REP,CHUCK EATON,74,7,0,61,2,4
DeKalb,BRIARCLIFF,"Public Service Commission, District 3",3,REP,CHUCK EATON,114,17,0,90,4,3
DeKalb,BRIARLAKE ELEM,"Public Service Commission, District 3",3,REP,CHUCK EATON,166,7,0,138,8,13
DeKalb,BRIARWOOD,"Public Service Commission, District 3",3,REP,CHUCK EATON,141,1,1,131,0,8
DeKalb,BROCKETT,"Public Service Commission, District 3",3,REP,CHUCK EATON,142,13,0,115,5,9
DeKalb,BROCKETT ELEM,"Public Service Commission, District 3",3,REP,CHUCK EATON,146,5,0,117,7,17
DeKalb,BROOKHAVEN,"Public Service Commission, District 3",3,REP,CHUCK EATON,259,5,0,228,1,25
DeKalb,BROWNS MILL ELEM,"Public Service Commission, District 3",3,REP,CHUCK EATON,15,3,0,12,0,0
DeKalb,BURGESS ELEM,"Public Service Commission, District 3",3,REP,CHUCK EATON,24,1,0,22,1,0
DeKalb,CANBY LANE ELEM,"Public Service Commission, District 3",3,REP,CHUCK EATON,8,0,0,5,3,0
DeKalb,CANDLER,"Public Service Commission, District 3",3,REP,CHUCK EATON,13,3,0,10,0,0
DeKalb,CANDLER-MURPHEY CANDLER ELEM,"Public Service Commission, District 3",3,REP,CHUCK EATON,18,4,0,12,0,2
DeKalb,CEDAR GROVE ELEM,"Public Service Commission, District 3",3,REP,CHUCK EATON,6,1,0,5,0,0
DeKalb,CEDAR GROVE MIDDLE,"Public Service Commission, District 3",3,REP,CHUCK EATON,5,0,0,4,1,0
DeKalb,CEDAR GROVE SOUTH,"Public Service Commission, District 3",3,REP,CHUCK EATON,12,2,0,10,0,0
DeKalb,CHAMBLEE ,"Public Service Commission, District 3",3,REP,CHUCK EATON,189,7,0,168,1,13
DeKalb,CHAPEL HILL ELEM,"Public Service Commission, District 3",3,REP,CHUCK EATON,8,0,0,6,2,0
DeKalb,CHESNUT ELEM,"Public Service Commission, District 3",3,REP,CHUCK EATON,106,8,0,92,1,5
DeKalb,CLAIREMONT EAST,"Public Service Commission, District 3",3,REP,CHUCK EATON,91,2,0,74,6,9
DeKalb,CLAIREMONT WEST,"Public Service Commission, District 3",3,REP,CHUCK EATON,102,20,0,74,4,4
DeKalb,CLAIRMONT HILLS,"Public Service Commission, District 3",3,REP,CHUCK EATON,128,25,0,102,1,0
DeKalb,CLARKSTON,"Public Service Commission, District 3",3,REP,CHUCK EATON,32,2,0,29,1,0
DeKalb,CLIFTON ELEM,"Public Service Commission, District 3",3,REP,CHUCK EATON,9,2,0,6,1,0
DeKalb,COAN MIDDLE,"Public Service Commission, District 3",3,REP,CHUCK EATON,13,1,0,11,1,0
DeKalb,COLUMBIA DRIVE,"Public Service Commission, District 3",3,REP,CHUCK EATON,4,0,0,3,1,0
DeKalb,COLUMBIA ELEM,"Public Service Commission, District 3",3,REP,CHUCK EATON,1,0,0,0,1,0
DeKalb,COLUMBIA MIDDLE,"Public Service Commission, District 3",3,REP,CHUCK EATON,3,0,0,3,0,0
DeKalb,CORALWOOD,"Public Service Commission, District 3",3,REP,CHUCK EATON,185,25,0,136,8,16
DeKalb,COVINGTON,"Public Service Commission, District 3",3,REP,CHUCK EATON,15,3,0,8,4,0
DeKalb,COVINGTON HWY LIBRARY,"Public Service Commission, District 3",3,REP,CHUCK EATON,0,0,0,0,0,0
DeKalb,CROSS KEYS HIGH,"Public Service Commission, District 3",3,REP,CHUCK EATON,106,5,0,86,0,15
DeKalb,CROSSROADS,"Public Service Commission, District 3",3,REP,CHUCK EATON,16,1,0,11,3,1
DeKalb,DORAVILLE NORTH,"Public Service Commission, District 3",3,REP,CHUCK EATON,69,5,0,64,0,0
DeKalb,DORAVILLE SOUTH,"Public Service Commission, District 3",3,REP,CHUCK EATON,46,2,0,44,0,0
DeKalb,DRESDEN ELEM,"Public Service Commission, District 3",3,REP,CHUCK EATON,94,0,1,89,0,4
DeKalb,DRUID HILLS HIGH,"Public Service Commission, District 3",3,REP,CHUCK EATON,84,8,0,68,2,6
DeKalb,DUNAIRE ELEM,"Public Service Commission, District 3",3,REP,CHUCK EATON,37,0,0,31,6,0
DeKalb,DUNWOODY,"Public Service Commission, District 3",3,REP,CHUCK EATON,149,12,0,131,1,5
DeKalb,DUNWOODY ELEM,"Public Service Commission, District 3",3,REP,CHUCK EATON,270,32,0,209,4,25
DeKalb,DUNWOODY LIBRARY,"Public Service Commission, District 3",3,REP,CHUCK EATON,379,31,0,326,7,15
DeKalb,EAST LAKE ELEM,"Public Service Commission, District 3",3,REP,CHUCK EATON,32,1,0,30,0,1
DeKalb,EMBRY HILLS,"Public Service Commission, District 3",3,REP,CHUCK EATON,161,8,0,133,4,16
DeKalb,EMORY ROAD,"Public Service Commission, District 3",3,REP,CHUCK EATON,5,1,0,0,3,1
DeKalb,EMORY SOUTH,"Public Service Commission, District 3",3,REP,CHUCK EATON,94,7,0,79,1,7
DeKalb,EPWORTH,"Public Service Commission, District 3",3,REP,CHUCK EATON,65,3,0,58,1,3
DeKalb,EVANSDALE ELEM,"Public Service Commission, District 3",3,REP,CHUCK EATON,194,21,0,163,3,7
DeKalb,FAIRINGTON ELEM,"Public Service Commission, District 3",3,REP,CHUCK EATON,4,0,0,4,0,0
DeKalb,FERNBANK ELEM,"Public Service Commission, District 3",3,REP,CHUCK EATON,66,2,0,50,9,5
DeKalb,FLAKES MILL FIRE STATION,"Public Service Commission, District 3",3,REP,CHUCK EATON,6,2,0,3,1,0
DeKalb,FLAT ROCK ELEM,"Public Service Commission, District 3",3,REP,CHUCK EATON,6,2,0,4,0,0
DeKalb,FLAT SHOALS,"Public Service Commission, District 3",3,REP,CHUCK EATON,3,0,0,3,0,0
DeKalb,FLAT SHOALS ELEM,"Public Service Commission, District 3",3,REP,CHUCK EATON,3,0,0,3,0,0
DeKalb,FLAT SHOALS LIBRARY,"Public Service Commission, District 3",3,REP,CHUCK EATON,4,0,0,3,1,0
DeKalb,FLAT SHOALS PARKWAY,"Public Service Commission, District 3",3,REP,CHUCK EATON,4,0,0,2,0,2
DeKalb,FREEDOM MIDDLE,"Public Service Commission, District 3",3,REP,CHUCK EATON,41,4,0,26,10,1
DeKalb,GEORGETOWN SQUARE,"Public Service Commission, District 3",3,REP,CHUCK EATON,181,5,0,161,4,11
DeKalb,GLENHAVEN,"Public Service Commission, District 3",3,REP,CHUCK EATON,10,2,0,6,2,0
DeKalb,GLENNWOOD,"Public Service Commission, District 3",3,REP,CHUCK EATON,41,5,0,32,3,1
DeKalb,GLENWOOD ROAD,"Public Service Commission, District 3",3,REP,CHUCK EATON,9,1,0,7,1,0
DeKalb,GRESHAM ROAD,"Public Service Commission, District 3",3,REP,CHUCK EATON,9,0,0,9,0,0
DeKalb,HAMBRICK ELEM,"Public Service Commission, District 3",3,REP,CHUCK EATON,48,3,0,32,12,1
DeKalb,HARRIS-MARGARET HARRIS ED,"Public Service Commission, District 3",3,REP,CHUCK EATON,70,3,0,61,1,5
DeKalb,HARRIS-NARVIE J. HARRIS ELEM,"Public Service Commission, District 3",3,REP,CHUCK EATON,7,0,0,5,0,2
DeKalb,HAWTHORNE ELEM,"Public Service Commission, District 3",3,REP,CHUCK EATON,147,16,0,120,3,8
DeKalb,HENDERSON MILL ELEM,"Public Service Commission, District 3",3,REP,CHUCK EATON,211,9,0,172,13,17
DeKalb,HUGH HOWELL,"Public Service Commission, District 3",3,REP,CHUCK EATON,185,6,0,150,14,15
DeKalb,HUNTLEY HILLS ELEM,"Public Service Commission, District 3",3,REP,CHUCK EATON,76,4,0,65,0,7
DeKalb,IDLEWOOD ELEM,"Public Service Commission, District 3",3,REP,CHUCK EATON,59,1,0,52,5,1
DeKalb,INDIAN CREEK ELEM,"Public Service Commission, District 3",3,REP,CHUCK EATON,27,0,0,23,4,0
DeKalb,JOHNSON ESTATES,"Public Service Commission, District 3",3,REP,CHUCK EATON,44,2,0,39,0,3
DeKalb,JOLLY ELEM,"Public Service Commission, District 3",3,REP,CHUCK EATON,17,1,0,12,3,1
DeKalb,KELLEY CHAPEL ROAD,"Public Service Commission, District 3",3,REP,CHUCK EATON,7,1,0,6,0,0
DeKalb,KELLEY LAKE ELEM,"Public Service Commission, District 3",3,REP,CHUCK EATON,10,0,0,9,0,1
DeKalb,KING-ML KING JR HIGH,"Public Service Commission, District 3",3,REP,CHUCK EATON,10,3,0,4,2,1
DeKalb,KINGSLEY ELEM,"Public Service Commission, District 3",3,REP,CHUCK EATON,342,19,0,298,5,20
DeKalb,KNOLLWOOD ELEM,"Public Service Commission, District 3",3,REP,CHUCK EATON,15,4,0,8,2,1
DeKalb,KITTREDGE,"Public Service Commission, District 3",3,REP,CHUCK EATON,159,14,0,120,2,23
