county,precinct,office,district,party,candidate,votes,advance_in_person_1,absentee_by_mail,election_day,provisional,advance_in_person_2
Fulton,,"State Representative, District 62",62,DEM,MARVIN ARRINGTON,671,5,12,581,0,73
Fulton,CP01A,"State Representative, District 62",62,DEM,MARVIN ARRINGTON,0,0,0,0,0,0
Fulton,CP011,"State Representative, District 62",62,DEM,MARVIN ARRINGTON,27,0,0,26,0,1
Fulton,CP012,"State Representative, District 62",62,DEM,MARVIN ARRINGTON,12,0,0,11,0,1
Fulton,EP08A,"State Representative, District 62",62,DEM,MARVIN ARRINGTON,3,0,0,3,0,0
Fulton,EP08B,"State Representative, District 62",62,DEM,MARVIN ARRINGTON,35,0,0,33,0,2
Fulton,EP08D,"State Representative, District 62",62,DEM,MARVIN ARRINGTON,11,0,0,11,0,0
Fulton,EP10A,"State Representative, District 62",62,DEM,MARVIN ARRINGTON,47,1,0,45,0,1
Fulton,EP10B,"State Representative, District 62",62,DEM,MARVIN ARRINGTON,10,1,0,7,0,2
Fulton,EP11A,"State Representative, District 62",62,DEM,MARVIN ARRINGTON,84,0,1,81,0,2
Fulton,EP11B,"State Representative, District 62",62,DEM,MARVIN ARRINGTON,4,0,0,3,0,1
Fulton,SC05B,"State Representative, District 62",62,DEM,MARVIN ARRINGTON,88,1,2,73,0,12
Fulton,SC08C,"State Representative, District 62",62,DEM,MARVIN ARRINGTON,1,0,0,1,0,0
Fulton,SC13A,"State Representative, District 62",62,DEM,MARVIN ARRINGTON,145,1,1,127,0,16
Fulton,SC17A,"State Representative, District 62",62,DEM,MARVIN ARRINGTON,1,0,0,1,0,0
Fulton,SC18B,"State Representative, District 62",62,DEM,MARVIN ARRINGTON,193,1,8,149,0,35
Fulton,SC19A,"State Representative, District 62",62,DEM,MARVIN ARRINGTON,10,0,0,10,0,0
Fulton,,"State Representative, District 62",62,DEM,LADAWN B. JONES,1142,8,12,1033,0,89
Fulton,CP01A,"State Representative, District 62",62,DEM,LADAWN B. JONES,0,0,0,0,0,0
Fulton,CP011,"State Representative, District 62",62,DEM,LADAWN B. JONES,51,0,0,48,0,3
Fulton,CP012,"State Representative, District 62",62,DEM,LADAWN B. JONES,19,0,1,18,0,0
Fulton,EP08A,"State Representative, District 62",62,DEM,LADAWN B. JONES,4,0,0,4,0,0
Fulton,EP08B,"State Representative, District 62",62,DEM,LADAWN B. JONES,54,0,0,54,0,0
Fulton,EP08D,"State Representative, District 62",62,DEM,LADAWN B. JONES,23,0,0,20,0,3
Fulton,EP10A,"State Representative, District 62",62,DEM,LADAWN B. JONES,120,0,1,116,0,3
Fulton,EP10B,"State Representative, District 62",62,DEM,LADAWN B. JONES,24,1,0,20,0,3
Fulton,EP11A,"State Representative, District 62",62,DEM,LADAWN B. JONES,113,0,1,112,0,0
Fulton,EP11B,"State Representative, District 62",62,DEM,LADAWN B. JONES,14,0,0,13,0,1
Fulton,SC05B,"State Representative, District 62",62,DEM,LADAWN B. JONES,231,1,2,211,0,17
Fulton,SC08C,"State Representative, District 62",62,DEM,LADAWN B. JONES,3,0,0,3,0,0
Fulton,SC13A,"State Representative, District 62",62,DEM,LADAWN B. JONES,195,3,3,170,0,19
Fulton,SC17A,"State Representative, District 62",62,DEM,LADAWN B. JONES,2,0,0,2,0,0
Fulton,SC18B,"State Representative, District 62",62,DEM,LADAWN B. JONES,278,3,4,231,0,40
Fulton,SC19A,"State Representative, District 62",62,DEM,LADAWN B. JONES,11,0,0,11,0,0
Fulton,,"State Representative, District 63",63,DEM,T.J. COPELAND,284,1,10,252,0,21
Fulton,CP05B,"State Representative, District 63",63,DEM,T.J. COPELAND,1,0,0,1,0,0
Fulton,CP06,"State Representative, District 63",63,DEM,T.J. COPELAND,0,0,0,0,0,0
Fulton,CP081,"State Representative, District 63",63,DEM,T.J. COPELAND,0,0,0,0,0,0
Fulton,CP083,"State Representative, District 63",63,DEM,T.J. COPELAND,0,0,0,0,0,0
Fulton,SC08D,"State Representative, District 63",63,DEM,T.J. COPELAND,3,0,0,3,0,0
Fulton,SC09A,"State Representative, District 63",63,DEM,T.J. COPELAND,64,0,2,56,0,6
Fulton,SC10,"State Representative, District 63",63,DEM,T.J. COPELAND,19,0,1,18,0,0
Fulton,SC11A,"State Representative, District 63",63,DEM,T.J. COPELAND,32,0,0,24,0,8
Fulton,SC23A,"State Representative, District 63",63,DEM,T.J. COPELAND,100,1,6,89,0,4
Fulton,SC27,"State Representative, District 63",63,DEM,T.J. COPELAND,65,0,1,61,0,3
Fulton,,"State Representative, District 63",63,DEM,RONNIE MABRA,314,7,6,279,4,18
Fulton,CP05B,"State Representative, District 63",63,DEM,RONNIE MABRA,2,0,0,2,0,0
Fulton,CP06,"State Representative, District 63",63,DEM,RONNIE MABRA,1,0,0,1,0,0
Fulton,CP081,"State Representative, District 63",63,DEM,RONNIE MABRA,4,0,0,4,0,0
Fulton,CP083,"State Representative, District 63",63,DEM,RONNIE MABRA,0,0,0,0,0,0
Fulton,SC08D,"State Representative, District 63",63,DEM,RONNIE MABRA,5,1,0,3,0,1
Fulton,SC09A,"State Representative, District 63",63,DEM,RONNIE MABRA,66,0,3,58,0,5
Fulton,SC10,"State Representative, District 63",63,DEM,RONNIE MABRA,18,1,0,17,0,0
Fulton,SC11A,"State Representative, District 63",63,DEM,RONNIE MABRA,40,1,0,37,0,2
Fulton,SC23A,"State Representative, District 63",63,DEM,RONNIE MABRA,96,3,2,83,4,4
Fulton,SC27,"State Representative, District 63",63,DEM,RONNIE MABRA,82,1,1,74,0,6
