county,precinct,office,district,party,candidate,votes,absentee_by_mail,election_day,advance_in_person,provisional
Decatur,,President of the United States,,R,MITT ROMNEY,5824,350,2538,2929,7
Decatur,Mt Pleasant,President of the United States,,R,MITT ROMNEY,359,16,193,150,0
Decatur,Recovery,President of the United States,,R,MITT ROMNEY,342,14,245,82,1
Decatur,Kendrick,President of the United States,,R,MITT ROMNEY,239,11,160,67,1
Decatur,Climax,President of the United States,,R,MITT ROMNEY,473,29,281,163,0
Decatur,Brinson,President of the United States,,R,MITT ROMNEY,372,19,237,116,0
Decatur,West Bainbridge,President of the United States,,R,MITT ROMNEY,630,34,258,336,2
Decatur,Bainbridge-Coliseum,President of the United States,,R,MITT ROMNEY,2225,141,718,1363,3
Decatur,Bridge-Fairgrounds,President of the United States,,R,MITT ROMNEY,817,54,269,494,0
Decatur,Attapulgus,President of the United States,,R,MITT ROMNEY,367,32,177,158,0
Decatur,,President of the United States,,D,BARACK OBAMA (I),4591,260,1901,2421,9
Decatur,Mt Pleasant,President of the United States,,D,BARACK OBAMA (I),57,4,28,24,1
Decatur,Recovery,President of the United States,,D,BARACK OBAMA (I),98,9,53,36,0
Decatur,Kendrick,President of the United States,,D,BARACK OBAMA (I),88,2,48,38,0
Decatur,Climax,President of the United States,,D,BARACK OBAMA (I),193,7,113,71,2
Decatur,Brinson,President of the United States,,D,BARACK OBAMA (I),186,12,97,77,0
Decatur,West Bainbridge,President of the United States,,D,BARACK OBAMA (I),666,21,253,391,1
Decatur,Bainbridge-Coliseum,President of the United States,,D,BARACK OBAMA (I),1400,88,517,793,2
Decatur,Bridge-Fairgrounds,President of the United States,,D,BARACK OBAMA (I),1062,50,372,640,0
Decatur,Attapulgus,President of the United States,,D,BARACK OBAMA (I),841,67,420,351,3
Decatur,,President of the United States,,LIB,GARY JOHNSON,69,3,47,19,0
Decatur,Mt Pleasant,President of the United States,,LIB,GARY JOHNSON,0,0,0,0,0
Decatur,Recovery,President of the United States,,LIB,GARY JOHNSON,2,0,2,0,0
Decatur,Kendrick,President of the United States,,LIB,GARY JOHNSON,2,1,0,1,0
Decatur,Climax,President of the United States,,LIB,GARY JOHNSON,4,0,4,0,0
Decatur,Brinson,President of the United States,,LIB,GARY JOHNSON,5,0,4,1,0
Decatur,West Bainbridge,President of the United States,,LIB,GARY JOHNSON,11,0,9,2,0
Decatur,Bainbridge-Coliseum,President of the United States,,LIB,GARY JOHNSON,22,2,10,10,0
Decatur,Bridge-Fairgrounds,President of the United States,,LIB,GARY JOHNSON,15,0,10,5,0
Decatur,Attapulgus,President of the United States,,LIB,GARY JOHNSON,8,0,8,0,0
Decatur,,"Public Service Commission, District 3",3,R,CHUCK EATON (I),4971,324,2137,2503,7
Decatur,Mt Pleasant,"Public Service Commission, District 3",3,R,CHUCK EATON (I),289,13,150,126,0
Decatur,Recovery,"Public Service Commission, District 3",3,R,CHUCK EATON (I),276,16,188,71,1
Decatur,Kendrick,"Public Service Commission, District 3",3,R,CHUCK EATON (I),194,11,126,56,1
Decatur,Climax,"Public Service Commission, District 3",3,R,CHUCK EATON (I),390,22,233,134,1
Decatur,Brinson,"Public Service Commission, District 3",3,R,CHUCK EATON (I),313,18,202,93,0
Decatur,West Bainbridge,"Public Service Commission, District 3",3,R,CHUCK EATON (I),531,29,222,279,1
Decatur,Bainbridge-Coliseum,"Public Service Commission, District 3",3,R,CHUCK EATON (I),1959,135,627,1195,2
Decatur,Bridge-Fairgrounds,"Public Service Commission, District 3",3,R,CHUCK EATON (I),704,50,239,415,0
Decatur,Attapulgus,"Public Service Commission, District 3",3,R,CHUCK EATON (I),315,30,150,134,1
Decatur,,"Public Service Commission, District 3",3,D,STEPHEN OPPENHEIMER,3916,239,1609,2060,8
Decatur,Mt Pleasant,"Public Service Commission, District 3",3,D,STEPHEN OPPENHEIMER,57,4,29,23,1
Decatur,Recovery,"Public Service Commission, District 3",3,D,STEPHEN OPPENHEIMER,96,5,62,29,0
Decatur,Kendrick,"Public Service Commission, District 3",3,D,STEPHEN OPPENHEIMER,75,2,40,33,0
Decatur,Climax,"Public Service Commission, District 3",3,D,STEPHEN OPPENHEIMER,177,8,101,66,2
Decatur,Brinson,"Public Service Commission, District 3",3,D,STEPHEN OPPENHEIMER,154,9,79,66,0
