county,precinct,office,district,party,candidate,votes,absentee_by_mail,election_day,advance_in_person,provisional
Chattooga,,President of the United States,,R,MITT ROMNEY,5452,142,3226,2069,15
Chattooga,CLOUDLAND,President of the United States,,R,MITT ROMNEY,131,9,91,31,0
Chattooga,PENNVILLE,President of the United States,,R,MITT ROMNEY,220,9,153,58,0
Chattooga,COLDWATER,President of the United States,,R,MITT ROMNEY,84,1,50,32,1
Chattooga,DIRTSELLER,President of the United States,,R,MITT ROMNEY,100,1,75,24,0
Chattooga,HAYWOOD,President of the United States,,R,MITT ROMNEY,76,2,65,9,0
Chattooga,LYERLY,President of the United States,,R,MITT ROMNEY,365,7,253,104,1
Chattooga,TRION,President of the United States,,R,MITT ROMNEY,1334,26,785,520,3
Chattooga,SUMMERVILLE,President of the United States,,R,MITT ROMNEY,1758,54,775,922,7
Chattooga,TELOGA,President of the United States,,R,MITT ROMNEY,272,5,184,83,0
Chattooga,DIRTTOWN,President of the United States,,R,MITT ROMNEY,399,16,258,125,0
Chattooga,SEMINOLE,President of the United States,,R,MITT ROMNEY,69,2,50,16,1
Chattooga,SUBLIGNA,President of the United States,,R,MITT ROMNEY,252,3,194,55,0
Chattooga,ALPINE,President of the United States,,R,MITT ROMNEY,392,7,293,90,2
Chattooga,,President of the United States,,D,BARACK OBAMA (I),2232,105,1245,871,11
Chattooga,CLOUDLAND,President of the United States,,D,BARACK OBAMA (I),62,8,34,20,0
Chattooga,PENNVILLE,President of the United States,,D,BARACK OBAMA (I),74,6,40,28,0
Chattooga,COLDWATER,President of the United States,,D,BARACK OBAMA (I),65,3,51,10,1
Chattooga,DIRTSELLER,President of the United States,,D,BARACK OBAMA (I),21,0,18,3,0
Chattooga,HAYWOOD,President of the United States,,D,BARACK OBAMA (I),19,3,14,2,0
Chattooga,LYERLY,President of the United States,,D,BARACK OBAMA (I),155,9,113,33,0
Chattooga,TRION,President of the United States,,D,BARACK OBAMA (I),425,20,222,182,1
Chattooga,SUMMERVILLE,President of the United States,,D,BARACK OBAMA (I),1001,39,461,492,9
Chattooga,TELOGA,President of the United States,,D,BARACK OBAMA (I),52,1,38,13,0
Chattooga,DIRTTOWN,President of the United States,,D,BARACK OBAMA (I),156,9,110,37,0
Chattooga,SEMINOLE,President of the United States,,D,BARACK OBAMA (I),17,1,11,5,0
Chattooga,SUBLIGNA,President of the United States,,D,BARACK OBAMA (I),56,1,40,15,0
Chattooga,ALPINE,President of the United States,,D,BARACK OBAMA (I),129,5,93,31,0
Chattooga,,President of the United States,,L,GARY JOHNSON,138,4,99,34,1
Chattooga,CLOUDLAND,President of the United States,,L,GARY JOHNSON,6,0,5,1,0
Chattooga,PENNVILLE,President of the United States,,L,GARY JOHNSON,4,0,3,1,0
Chattooga,COLDWATER,President of the United States,,L,GARY JOHNSON,2,0,2,0,0
Chattooga,DIRTSELLER,President of the United States,,L,GARY JOHNSON,0,0,0,0,0
Chattooga,HAYWOOD,President of the United States,,L,GARY JOHNSON,0,0,0,0,0
Chattooga,LYERLY,President of the United States,,L,GARY JOHNSON,14,0,11,3,0
Chattooga,TRION,President of the United States,,L,GARY JOHNSON,30,2,21,7,0
Chattooga,SUMMERVILLE,President of the United States,,L,GARY JOHNSON,49,1,31,17,0
Chattooga,TELOGA,President of the United States,,L,GARY JOHNSON,5,0,4,1,0
Chattooga,DIRTTOWN,President of the United States,,L,GARY JOHNSON,11,0,9,2,0
Chattooga,SEMINOLE,President of the United States,,L,GARY JOHNSON,1,0,1,0,0
