county,precinct,office,district,party,candidate,election_day_votes,advanced_votes,absentee_by_mail_votes,provisional_votes
Coweta,MORELAND,State House,71,Democrat,CYNTHIA C BENNETT,32,4,2,0
Coweta,SHARPSBURG,State House,71,Democrat,CYNTHIA C BENNETT,58,9,0,0
Coweta,FISCHER ROAD,State House,71,Democrat,CYNTHIA C BENNETT,28,4,2,0
Coweta,RAYMOND,State House,71,Democrat,CYNTHIA C BENNETT,32,5,2,0
Coweta,TURIN,State House,71,Democrat,CYNTHIA C BENNETT,21,7,0,0
Coweta,ARTS CENTRE,State House,71,Democrat,CYNTHIA C BENNETT,49,10,4,0
Coweta,WHITE OAK,State House,71,Democrat,CYNTHIA C BENNETT,51,4,3,0
Coweta,MADRAS,State House,71,Democrat,CYNTHIA C BENNETT,22,7,2,0
Coweta,CANNONGATE,State House,71,Democrat,CYNTHIA C BENNETT,13,3,4,0
Coweta,THOMAS CROSSROADS,State House,71,Democrat,CYNTHIA C BENNETT,33,2,1,0
Coweta,EBENEZER CHURCH ROAD,State House,71,Democrat,CYNTHIA C BENNETT,24,0,2,0
Coweta,MORELAND,State House,71,Republican,THOMAS G. CRYMES,35,2,6,0
Coweta,SHARPSBURG,State House,71,Republican,THOMAS G. CRYMES,52,7,2,0
Coweta,FISCHER ROAD,State House,71,Republican,THOMAS G. CRYMES,76,12,2,0
Coweta,RAYMOND,State House,71,Republican,THOMAS G. CRYMES,33,3,1,0
Coweta,TURIN,State House,71,Republican,THOMAS G. CRYMES,20,3,1,0
Coweta,ARTS CENTRE,State House,71,Republican,THOMAS G. CRYMES,26,15,3,0
Coweta,WHITE OAK,State House,71,Republican,THOMAS G. CRYMES,41,1,5,0
Coweta,MADRAS,State House,71,Republican,THOMAS G. CRYMES,32,5,4,0
Coweta,CANNONGATE,State House,71,Republican,THOMAS G. CRYMES,50,6,5,0
Coweta,THOMAS CROSSROADS,State House,71,Republican,THOMAS G. CRYMES,48,7,3,0
Coweta,EBENEZER CHURCH ROAD,State House,71,Republican,THOMAS G. CRYMES,17,4,1,0
Coweta,MORELAND,State House,71,Republican,MICHAEL FARBO JR,2,0,0,0
Coweta,SHARPSBURG,State House,71,Republican,MICHAEL FARBO JR,8,1,0,0
Coweta,FISCHER ROAD,State House,71,Republican,MICHAEL FARBO JR,2,1,0,0
Coweta,RAYMOND,State House,71,Republican,MICHAEL FARBO JR,4,0,0,0
Coweta,TURIN,State House,71,Republican,MICHAEL FARBO JR,5,0,0,0
Coweta,ARTS CENTRE,State House,71,Republican,MICHAEL FARBO JR,15,6,0,0
Coweta,WHITE OAK,State House,71,Republican,MICHAEL FARBO JR,8,2,0,0
Coweta,MADRAS,State House,71,Republican,MICHAEL FARBO JR,5,0,0,0
Coweta,CANNONGATE,State House,71,Republican,MICHAEL FARBO JR,2,0,2,0
Coweta,THOMAS CROSSROADS,State House,71,Republican,MICHAEL FARBO JR,5,0,0,0
Coweta,EBENEZER CHURCH ROAD,State House,71,Republican,MICHAEL FARBO JR,1,0,0,0
Coweta,MORELAND,State House,71,Republican,DARRYL MARMON,27,5,0,0
Coweta,SHARPSBURG,State House,71,Republican,DARRYL MARMON,50,6,1,0
Coweta,FISCHER ROAD,State House,71,Republican,DARRYL MARMON,22,5,2,0
Coweta,RAYMOND,State House,71,Republican,DARRYL MARMON,22,4,4,0
Coweta,TURIN,State House,71,Republican,DARRYL MARMON,10,0,4,0
Coweta,ARTS CENTRE,State House,71,Republican,DARRYL MARMON,18,7,0,0
Coweta,WHITE OAK,State House,71,Republican,DARRYL MARMON,43,10,4,0
Coweta,MADRAS,State House,71,Republican,DARRYL MARMON,22,4,0,0
Coweta,CANNONGATE,State House,71,Republican,DARRYL MARMON,50,7,0,0
Coweta,THOMAS CROSSROADS,State House,71,Republican,DARRYL MARMON,69,6,8,0
Coweta,EBENEZER CHURCH ROAD,State House,71,Republican,DARRYL MARMON,33,4,4,0
Coweta,MORELAND,State House,71,Republican,DAVID J. STOVER,88,2,0,0
Coweta,SHARPSBURG,State House,71,Republican,DAVID J. STOVER,116,10,2,0
Coweta,FISCHER ROAD,State House,71,Republican,DAVID J. STOVER,111,3,1,0
Coweta,RAYMOND,State House,71,Republican,DAVID J. STOVER,69,3,5,0
Coweta,TURIN,State House,71,Republican,DAVID J. STOVER,44,1,3,0
Coweta,ARTS CENTRE,State House,71,Republican,DAVID J. STOVER,49,6,3,0
Coweta,WHITE OAK,State House,71,Republican,DAVID J. STOVER,89,7,4,0
Coweta,MADRAS,State House,71,Republican,DAVID J. STOVER,128,10,7,0
Coweta,CANNONGATE,State House,71,Republican,DAVID J. STOVER,117,12,8,0
Coweta,THOMAS CROSSROADS,State House,71,Republican,DAVID J. STOVER,149,10,4,0
Coweta,EBENEZER CHURCH ROAD,State House,71,Republican,DAVID J. STOVER,72,10,6,0
Coweta,MORELAND,State House,71,Republican,RICHARD WEISSER,3,0,0,0
Coweta,SHARPSBURG,State House,71,Republican,RICHARD WEISSER,7,0,0,0
Coweta,FISCHER ROAD,State House,71,Republican,RICHARD WEISSER,1,0,0,0
Coweta,RAYMOND,State House,71,Republican,RICHARD WEISSER,0,1,0,0
Coweta,TURIN,State House,71,Republican,RICHARD WEISSER,2,0,0,0
Coweta,ARTS CENTRE,State House,71,Republican,RICHARD WEISSER,4,0,2,0
Coweta,WHITE OAK,State House,71,Republican,RICHARD WEISSER,5,2,0,0
Coweta,MADRAS,State House,71,Republican,RICHARD WEISSER,2,0,0,0
Coweta,CANNONGATE,State House,71,Republican,RICHARD WEISSER,2,0,0,0
Coweta,THOMAS CROSSROADS,State House,71,Republican,RICHARD WEISSER,0,1,0,0
Coweta,EBENEZER CHURCH ROAD,State House,71,Republican,RICHARD WEISSER,1,0,0,0
Fayette,KEDRON,State House,71,Democrat,CYNTHIA C BENNETT,12,0,0,0
Fayette,FIELDING RIDGE,State House,71,Democrat,CYNTHIA C BENNETT,5,0,0,0
Fayette,KEDRON,State House,71,Republican,THOMAS G. CRYMES,2,0,0,0
Fayette,FIELDING RIDGE,State House,71,Republican,THOMAS G. CRYMES,15,0,0,0
Fayette,KEDRON,State House,71,Republican,MICHAEL FARBO JR,0,0,0,0
Fayette,FIELDING RIDGE,State House,71,Republican,MICHAEL FARBO JR,0,1,0,0
Fayette,KEDRON,State House,71,Republican,DARRYL MARMON,4,0,0,0
Fayette,FIELDING RIDGE,State House,71,Republican,DARRYL MARMON,3,1,0,0
Fayette,KEDRON,State House,71,Republican,DAVID J. STOVER,7,1,0,0
Fayette,FIELDING RIDGE,State House,71,Republican,DAVID J. STOVER,5,4,0,0
Fayette,KEDRON,State House,71,Republican,RICHARD WEISSER,0,0,0,0
Fayette,FIELDING RIDGE,State House,71,Republican,RICHARD WEISSER,2,0,0,0
