county,precinct,office,district,party,candidate,votes,advance_in_person_1,absentee_by_mail,election_day,provisional,advance_in_person_2
Fulton,,State Senator,21,R,BRANDON BEACH,1546,672,20,853,1,0
Fulton,AP05,State Senator,21,R,BRANDON BEACH,278,94,11,173,0,0
Fulton,AP06,State Senator,21,R,BRANDON BEACH,144,89,2,53,0,0
Fulton,AP07A,State Senator,21,R,BRANDON BEACH,95,41,1,53,0,0
Fulton,AP07B,State Senator,21,R,BRANDON BEACH,70,40,0,30,0,0
Fulton,AP09A,State Senator,21,R,BRANDON BEACH,166,86,0,80,0,0
Fulton,AP10,State Senator,21,R,BRANDON BEACH,47,17,0,30,0,0
Fulton,AP12A,State Senator,21,R,BRANDON BEACH,52,32,1,19,0,0
Fulton,ML02A,State Senator,21,R,BRANDON BEACH,40,11,0,29,0,0
Fulton,ML02B,State Senator,21,R,BRANDON BEACH,54,26,0,28,0,0
Fulton,ML03,State Senator,21,R,BRANDON BEACH,144,53,0,90,1,0
Fulton,ML04,State Senator,21,R,BRANDON BEACH,143,56,0,87,0,0
Fulton,ML05,State Senator,21,R,BRANDON BEACH,190,95,3,92,0,0
Fulton,ML06,State Senator,21,R,BRANDON BEACH,55,17,0,38,0,0
Fulton,ML07A,State Senator,21,R,BRANDON BEACH,26,5,2,19,0,0
Fulton,ML07B,State Senator,21,R,BRANDON BEACH,42,10,0,32,0,0
Fulton,,State Senator,21,R,SEAN JERGUSON,371,115,10,246,0,0
Fulton,AP05,State Senator,21,R,SEAN JERGUSON,42,13,2,27,0,0
Fulton,AP06,State Senator,21,R,SEAN JERGUSON,27,7,0,20,0,0
Fulton,AP07A,State Senator,21,R,SEAN JERGUSON,34,13,0,21,0,0
Fulton,AP07B,State Senator,21,R,SEAN JERGUSON,19,9,0,10,0,0
Fulton,AP09A,State Senator,21,R,SEAN JERGUSON,20,8,1,11,0,0
Fulton,AP10,State Senator,21,R,SEAN JERGUSON,14,4,0,10,0,0
Fulton,AP12A,State Senator,21,R,SEAN JERGUSON,15,5,0,10,0,0
Fulton,ML02A,State Senator,21,R,SEAN JERGUSON,28,11,0,17,0,0
Fulton,ML02B,State Senator,21,R,SEAN JERGUSON,22,13,0,9,0,0
Fulton,ML03,State Senator,21,R,SEAN JERGUSON,37,8,1,28,0,0
Fulton,ML04,State Senator,21,R,SEAN JERGUSON,31,6,0,25,0,0
Fulton,ML05,State Senator,21,R,SEAN JERGUSON,36,6,6,24,0,0
Fulton,ML06,State Senator,21,R,SEAN JERGUSON,14,7,0,7,0,0
Fulton,ML07A,State Senator,21,R,SEAN JERGUSON,11,3,0,8,0,0
Fulton,ML07B,State Senator,21,R,SEAN JERGUSON,21,2,0,19,0,0
