county,precinct,office,district,party,candidate,election_day_votes,advanced_votes,absentee_by_mail_votes,provisional_votes
Cobb,Bells Ferry 03,State Senate,14,Republican,NICOLE EBBESKOTTE,15,0,0,0
Cobb,Big Shanty 02,State Senate,14,Republican,NICOLE EBBESKOTTE,11,1,0,0
Cobb,Kennesaw 1A,State Senate,14,Republican,NICOLE EBBESKOTTE,2,0,0,0
Cobb,Palmer 01,State Senate,14,Republican,NICOLE EBBESKOTTE,1,0,0,0
Cobb,Pitner 01,State Senate,14,Republican,NICOLE EBBESKOTTE,13,3,0,0
Cobb,Wade Green 01,State Senate,14,Republican,NICOLE EBBESKOTTE,10,0,0,0
Cobb,Wade Green 02,State Senate,14,Republican,NICOLE EBBESKOTTE,7,0,0,0
Cobb,Bells Ferry 03,State Senate,14,Republican,MATT LAUGHRIDGE,40,0,0,0
Cobb,Big Shanty 02,State Senate,14,Republican,MATT LAUGHRIDGE,34,0,0,0
Cobb,Kennesaw 1A,State Senate,14,Republican,MATT LAUGHRIDGE,0,0,0,0
Cobb,Palmer 01,State Senate,14,Republican,MATT LAUGHRIDGE,5,0,0,0
Cobb,Pitner 01,State Senate,14,Republican,MATT LAUGHRIDGE,23,0,0,0
Cobb,Wade Green 01,State Senate,14,Republican,MATT LAUGHRIDGE,19,0,0,0
Cobb,Wade Green 02,State Senate,14,Republican,MATT LAUGHRIDGE,20,1,0,0
Cobb,Bells Ferry 03,State Senate,14,Democrat,CHRISTOPHER G. NESMITH,22,0,0,0
Cobb,Big Shanty 02,State Senate,14,Democrat,CHRISTOPHER G. NESMITH,20,2,2,0
Cobb,Kennesaw 1A,State Senate,14,Democrat,CHRISTOPHER G. NESMITH,1,0,0,0
Cobb,Palmer 01,State Senate,14,Democrat,CHRISTOPHER G. NESMITH,12,0,0,0
Cobb,Pitner 01,State Senate,14,Democrat,CHRISTOPHER G. NESMITH,18,2,0,0
Cobb,Wade Green 01,State Senate,14,Democrat,CHRISTOPHER G. NESMITH,22,0,0,0
Cobb,Wade Green 02,State Senate,14,Democrat,CHRISTOPHER G. NESMITH,20,0,3,0
Cobb,Bells Ferry 03,State Senate,14,Republican,DWIGHT PULLEN,5,2,0,0
Cobb,Big Shanty 02,State Senate,14,Republican,DWIGHT PULLEN,10,0,0,0
Cobb,Kennesaw 1A,State Senate,14,Republican,DWIGHT PULLEN,0,0,0,0
Cobb,Palmer 01,State Senate,14,Republican,DWIGHT PULLEN,1,0,0,0
Cobb,Pitner 01,State Senate,14,Republican,DWIGHT PULLEN,4,0,0,0
Cobb,Wade Green 01,State Senate,14,Republican,DWIGHT PULLEN,1,0,0,0
Cobb,Wade Green 02,State Senate,14,Republican,DWIGHT PULLEN,5,0,0,0
Cobb,Bells Ferry 03,State Senate,14,Republican,BRUCE THOMPSON,48,7,0,0
Cobb,Big Shanty 02,State Senate,14,Republican,BRUCE THOMPSON,30,1,0,0
Cobb,Kennesaw 1A,State Senate,14,Republican,BRUCE THOMPSON,0,0,0,0
Cobb,Palmer 01,State Senate,14,Republican,BRUCE THOMPSON,19,0,0,0
Cobb,Pitner 01,State Senate,14,Republican,BRUCE THOMPSON,27,0,0,0
Cobb,Wade Green 01,State Senate,14,Republican,BRUCE THOMPSON,44,0,0,0
Cobb,Wade Green 02,State Senate,14,Republican,BRUCE THOMPSON,22,2,0,0
Jefferson,Stapleton Crossroads,State House,127,Democrat,DIANE B. EVANS,47,10,4,0
Jefferson,Matthews,State House,127,Democrat,DIANE B. EVANS,34,1,0,0
Jefferson,Wrens,State House,127,Democrat,DIANE B. EVANS,281,9,0,1
Jefferson,Louisville,State House,127,Democrat,DIANE B. EVANS,227,117,11,0
Jefferson,Stapleton,State House,127,Democrat,DIANE B. EVANS,67,2,0,2
Jefferson,Avera,State House,127,Democrat,DIANE B. EVANS,15,2,0,0
Jefferson,Stapleton Crossroads,State House,127,Democrat,DIANNE MURPHY,6,0,0,0
Jefferson,Matthews,State House,127,Democrat,DIANNE MURPHY,7,0,0,0
Jefferson,Wrens,State House,127,Democrat,DIANNE MURPHY,27,3,1,0
Jefferson,Louisville,State House,127,Democrat,DIANNE MURPHY,27,13,0,0
Jefferson,Stapleton,State House,127,Democrat,DIANNE MURPHY,17,0,0,0
Jefferson,Avera,State House,127,Democrat,DIANNE MURPHY,10,0,0,0
Jefferson,Stapleton Crossroads,State House,127,Democrat,BRIAN PRINCE,14,3,0,0
Jefferson,Matthews,State House,127,Democrat,BRIAN PRINCE,22,1,0,0
Jefferson,Wrens,State House,127,Democrat,BRIAN PRINCE,71,3,3,0
Jefferson,Louisville,State House,127,Democrat,BRIAN PRINCE,65,25,5,0
Jefferson,Stapleton,State House,127,Democrat,BRIAN PRINCE,17,0,0,0
Jefferson,Avera,State House,127,Democrat,BRIAN PRINCE,11,2,0,0
Richmond,306,State House,127,Democrat,DIANE B. EVANS,11,5,1,0
Richmond,310,State House,127,Democrat,DIANE B. EVANS,22,5,1,0
Richmond,402,State House,127,Democrat,DIANE B. EVANS,9,0,0,0
Richmond,407,State House,127,Democrat,DIANE B. EVANS,0,0,0,0
Richmond,502,State House,127,Democrat,DIANE B. EVANS,20,4,0,0
Richmond,503,State House,127,Democrat,DIANE B. EVANS,21,1,3,0
Richmond,801,State House,127,Democrat,DIANE B. EVANS,2,1,0,0
Richmond,801B,State House,127,Democrat,DIANE B. EVANS,39,1,0,0
Richmond,803,State House,127,Democrat,DIANE B. EVANS,0,0,0,0
Richmond,306,State House,127,Democrat,DIANNE MURPHY,61,5,4,0
Richmond,310,State House,127,Democrat,DIANNE MURPHY,222,54,7,0
Richmond,402,State House,127,Democrat,DIANNE MURPHY,80,11,6,0
Richmond,407,State House,127,Democrat,DIANNE MURPHY,0,0,0,0
Richmond,502,State House,127,Democrat,DIANNE MURPHY,110,12,1,0
Richmond,503,State House,127,Democrat,DIANNE MURPHY,103,11,5,0
Richmond,801,State House,127,Democrat,DIANNE MURPHY,8,0,0,0
Richmond,801B,State House,127,Democrat,DIANNE MURPHY,39,0,0,0
Richmond,803,State House,127,Democrat,DIANNE MURPHY,0,0,0,0
Richmond,306,State House,127,Democrat,BRIAN PRINCE,148,26,6,0
Richmond,310,State House,127,Democrat,BRIAN PRINCE,265,65,2,0
Richmond,402,State House,127,Democrat,BRIAN PRINCE,73,9,0,0
Richmond,407,State House,127,Democrat,BRIAN PRINCE,0,0,0,0
Richmond,502,State House,127,Democrat,BRIAN PRINCE,183,15,5,0
Richmond,503,State House,127,Democrat,BRIAN PRINCE,243,61,30,0
Richmond,801,State House,127,Democrat,BRIAN PRINCE,25,0,0,0
Richmond,801B,State House,127,Democrat,BRIAN PRINCE,66,2,2,0
Richmond,803,State House,127,Democrat,BRIAN PRINCE,0,0,0,0
Gwinnett,017 Martins A,State House,100,Democrat,DEWEY MCCLAIN,40,4,0,0
Gwinnett,034 Berkshire F,State House,100,Democrat,DEWEY MCCLAIN,52,4,3,0
Gwinnett,043 Martins D,State House,100,Democrat,DEWEY MCCLAIN,51,1,5,0
Gwinnett,072 Martins E,State House,100,Democrat,DEWEY MCCLAIN,59,0,1,0
Gwinnett,074 Pinckneyville Q,State House,100,Democrat,DEWEY MCCLAIN,44,1,1,0
Gwinnett,086 Martins F,State House,100,Democrat,DEWEY MCCLAIN,60,4,0,0
Gwinnett,103 Berkshire L,State House,100,Democrat,DEWEY MCCLAIN,67,5,2,0
Gwinnett,116 Martins I,State House,100,Democrat,DEWEY MCCLAIN,63,11,1,0
