county,precinct,office,district,party,candidate,votes,absentee_by_mail,election_day,advance_in_person,provisional,
Carroll,,State Senator,30,R,MIKE DUGAN,2620,15,2153,452,0,
Carroll,KANSAS (1006),State Senator,30,R,MIKE DUGAN,57,1,52,4,0,
Carroll,BOWDON (1111),State Senator,30,R,MIKE DUGAN,167,0,151,16,0,
Carroll,SANDHILL (1122),State Senator,30,R,MIKE DUGAN,139,3,108,28,0,
Carroll,CENTER POINT (1152),State Senator,30,R,MIKE DUGAN,110,0,101,9,0,
Carroll,MT ZION (1240),State Senator,30,R,MIKE DUGAN,69,0,61,8,0,
Carroll,BURWELL (1371),State Senator,30,R,MIKE DUGAN,90,0,81,9,0,
Carroll,CLEM (1483),State Senator,30,R,MIKE DUGAN,193,1,148,44,0,
Carroll,BOWDON JUNCTION (1496),State Senator,30,R,MIKE DUGAN,66,0,60,6,0,
Carroll,TYUS (1533),State Senator,30,R,MIKE DUGAN,91,0,78,13,0,
Carroll,BETHANY (501),State Senator,30,R,MIKE DUGAN,97,0,76,21,0,
Carroll,V R COUNTY SOUTH (640),State Senator,30,R,MIKE DUGAN,66,1,63,2,0,
Carroll,V R COUNTY NORTH (641),State Senator,30,R,MIKE DUGAN,63,0,61,2,0,
Carroll,VILLA RICA CITY (642),State Senator,30,R,MIKE DUGAN,45,2,41,2,0,
Carroll,TEMPLE COUNTY (649),State Senator,30,R,MIKE DUGAN,54,0,53,1,0,
Carroll,TEMPLE CITY (650),State Senator,30,R,MIKE DUGAN,48,0,46,2,0,
Carroll,ROOPVILLE (713),State Senator,30,R,MIKE DUGAN,102,0,98,4,0,
Carroll,WEST CARROLLTON (714A1),State Senator,30,R,MIKE DUGAN,22,0,10,12,0,
Carroll,EAST CARROLLTON REC (714A2),State Senator,30,R,MIKE DUGAN,78,1,58,19,0,
Carroll,BONNER (714A3),State Senator,30,R,MIKE DUGAN,228,0,166,62,0,
Carroll,UNIVERSITY OF W. GA (714A4),State Senator,30,R,MIKE DUGAN,208,0,150,58,0,
Carroll,COUNTY ADMIN BLDG (714A5),State Senator,30,R,MIKE DUGAN,122,0,86,36,0,
Carroll,TABERNACLE CHURCH (714A6),State Senator,30,R,MIKE DUGAN,131,2,89,40,0,
Carroll,EMC (714BN),State Senator,30,R,MIKE DUGAN,86,0,70,16,0,
Carroll,OLD CAMP CHURCH (714BW),State Senator,30,R,MIKE DUGAN,143,4,114,25,0,
Carroll,OAK GROVE (715),State Senator,30,R,MIKE DUGAN,105,0,99,6,0,
Carroll,NEW HOPE (716),State Senator,30,R,MIKE DUGAN,40,0,33,7,0,
Carroll,,State Senator,30,L,JAMES M. CAMP,308,2,255,51,0,
Carroll,KANSAS (1006),State Senator,30,L,JAMES M. CAMP,5,1,4,0,0,
Carroll,BOWDON (1111),State Senator,30,L,JAMES M. CAMP,11,0,9,2,0,
Carroll,SANDHILL (1122),State Senator,30,L,JAMES M. CAMP,14,0,13,1,0,
Carroll,CENTER POINT (1152),State Senator,30,L,JAMES M. CAMP,21,0,15,6,0,
Carroll,MT ZION (1240),State Senator,30,L,JAMES M. CAMP,11,0,10,1,0,
Carroll,BURWELL (1371),State Senator,30,L,JAMES M. CAMP,5,0,5,0,0,
Carroll,CLEM (1483),State Senator,30,L,JAMES M. CAMP,26,0,22,4,0,
Carroll,BOWDON JUNCTION (1496),State Senator,30,L,JAMES M. CAMP,3,0,2,1,0,
Carroll,TYUS (1533),State Senator,30,L,JAMES M. CAMP,13,0,13,0,0,
Carroll,BETHANY (501),State Senator,30,L,JAMES M. CAMP,17,0,12,5,0,
Carroll,V R COUNTY SOUTH (640),State Senator,30,L,JAMES M. CAMP,12,0,12,0,0,
Carroll,V R COUNTY NORTH (641),State Senator,30,L,JAMES M. CAMP,5,0,5,0,0,
Carroll,VILLA RICA CITY (642),State Senator,30,L,JAMES M. CAMP,7,1,6,0,0,
Carroll,TEMPLE COUNTY (649),State Senator,30,L,JAMES M. CAMP,27,0,24,3,0,
Carroll,TEMPLE CITY (650),State Senator,30,L,JAMES M. CAMP,9,0,9,0,0,
Carroll,ROOPVILLE (713),State Senator,30,L,JAMES M. CAMP,7,0,7,0,0,
Carroll,WEST CARROLLTON (714A1),State Senator,30,L,JAMES M. CAMP,6,0,3,3,0,
Carroll,EAST CARROLLTON REC (714A2),State Senator,30,L,JAMES M. CAMP,13,0,7,6,0,
Carroll,BONNER (714A3),State Senator,30,L,JAMES M. CAMP,10,0,8,2,0,
Carroll,UNIVERSITY OF W. GA (714A4),State Senator,30,L,JAMES M. CAMP,12,0,10,2,0,
Carroll,COUNTY ADMIN BLDG (714A5),State Senator,30,L,JAMES M. CAMP,14,0,9,5,0,
Carroll,TABERNACLE CHURCH (714A6),State Senator,30,L,JAMES M. CAMP,11,0,11,0,0,
Carroll,EMC (714BN),State Senator,30,L,JAMES M. CAMP,6,0,5,1,0,
Carroll,OLD CAMP CHURCH (714BW),State Senator,30,L,JAMES M. CAMP,20,0,17,3,0,
Carroll,OAK GROVE (715),State Senator,30,L,JAMES M. CAMP,18,0,13,5,0,
Carroll,NEW HOPE (716),State Senator,30,L,JAMES M. CAMP,5,0,4,1,0,
Cherokee,,State Senator,21,R,BRANDON BEACH,3925,237,3063,625,0,
Cherokee,AIR ACRES,State Senator,21,R,BRANDON BEACH,67,6,52,9,0,
Cherokee,ARNOLD MILL,State Senator,21,R,BRANDON BEACH,184,15,146,23,0,
Cherokee,AVERY,State Senator,21,R,BRANDON BEACH,166,13,120,33,0,
Cherokee,BALL GROUND,State Senator,21,R,BRANDON BEACH,119,2,99,18,0,
Cherokee,BASCOMB,State Senator,21,R,BRANDON BEACH,124,9,98,17,0,
Cherokee,BOOTH,State Senator,21,R,BRANDON BEACH,180,17,134,29,0,
Cherokee,BRADSHAW,State Senator,21,R,BRANDON BEACH,286,12,252,22,0,
Cherokee,WOODSTOCK,State Senator,21,R,BRANDON BEACH,91,9,74,8,0,
Cherokee,CONNS CREEK,State Senator,21,R,BRANDON BEACH,56,5,46,5,0,
Cherokee,DEER RUN,State Senator,21,R,BRANDON BEACH,83,5,71,7,0,
Cherokee,FREEHOME,State Senator,21,R,BRANDON BEACH,206,13,165,28,0,
Cherokee,HICKORY FLAT,State Senator,21,R,BRANDON BEACH,206,11,148,47,0,
Cherokee,HIGHTOWER,State Senator,21,R,BRANDON BEACH,131,12,99,20,0,
Cherokee,HILLSIDE,State Senator,21,R,BRANDON BEACH,178,14,145,19,0,
Cherokee,HOLLY SPRINGS,State Senator,21,R,BRANDON BEACH,102,3,69,30,0,
Cherokee,LITTLE RIVER,State Senator,21,R,BRANDON BEACH,12,2,10,0,0,
Cherokee,MACEDONIA,State Senator,21,R,BRANDON BEACH,185,3,137,45,0,
Cherokee,MOUNTAIN ROAD,State Senator,21,R,BRANDON BEACH,149,9,118,22,0,
Cherokee,NEESE,State Senator,21,R,BRANDON BEACH,178,26,142,10,0,
Cherokee,ROSECREEK,State Senator,21,R,BRANDON BEACH,257,10,227,20,0,
Cherokee,SIXES,State Senator,21,R,BRANDON BEACH,146,8,111,27,0,
Cherokee,TOONIGH,State Senator,21,R,BRANDON BEACH,237,7,210,20,0,
Cherokee,UNION HILL,State Senator,21,R,BRANDON BEACH,168,9,143,16,0,
Cherokee,UNIVETER,State Senator,21,R,BRANDON BEACH,240,2,117,121,0,
Cherokee,WILDCAT,State Senator,21,R,BRANDON BEACH,105,6,74,25,0,
Cherokee,WOODLANDS,State Senator,21,R,BRANDON BEACH,69,9,56,4,0,
Cherokee,,State Senator,21,R,SEAN JERGUSON,3661,257,3028,375,1,
Cherokee,AIR ACRES,State Senator,21,R,SEAN JERGUSON,107,6,86,15,0,
Cherokee,ARNOLD MILL,State Senator,21,R,SEAN JERGUSON,314,29,252,33,0,
Cherokee,AVERY,State Senator,21,R,SEAN JERGUSON,110,3,96,11,0,
Cherokee,BALL GROUND,State Senator,21,R,SEAN JERGUSON,44,1,39,4,0,
Cherokee,BASCOMB,State Senator,21,R,SEAN JERGUSON,77,0,69,7,1,
Cherokee,BOOTH,State Senator,21,R,SEAN JERGUSON,238,27,193,18,0,
Cherokee,BRADSHAW,State Senator,21,R,SEAN JERGUSON,253,13,215,25,0,
Cherokee,WOODSTOCK,State Senator,21,R,SEAN JERGUSON,66,16,43,7,0,
Cherokee,CONNS CREEK,State Senator,21,R,SEAN JERGUSON,10,3,7,0,0,
Cherokee,DEER RUN,State Senator,21,R,SEAN JERGUSON,109,8,99,2,0,
Cherokee,FREEHOME,State Senator,21,R,SEAN JERGUSON,117,6,104,7,0,
Cherokee,HICKORY FLAT,State Senator,21,R,SEAN JERGUSON,207,15,159,33,0,
Cherokee,HIGHTOWER,State Senator,21,R,SEAN JERGUSON,65,0,46,19,0,
Cherokee,HILLSIDE,State Senator,21,R,SEAN JERGUSON,209,13,186,10,0,
Cherokee,HOLLY SPRINGS,State Senator,21,R,SEAN JERGUSON,88,2,74,12,0,
Cherokee,LITTLE RIVER,State Senator,21,R,SEAN JERGUSON,10,0,10,0,0,
Cherokee,MACEDONIA,State Senator,21,R,SEAN JERGUSON,116,4,84,28,0,
Cherokee,MOUNTAIN ROAD,State Senator,21,R,SEAN JERGUSON,168,15,139,14,0,
Cherokee,NEESE,State Senator,21,R,SEAN JERGUSON,183,18,154,11,0,
Cherokee,ROSECREEK,State Senator,21,R,SEAN JERGUSON,156,2,147,7,0,
Cherokee,SIXES,State Senator,21,R,SEAN JERGUSON,158,15,134,9,0,
Cherokee,TOONIGH,State Senator,21,R,SEAN JERGUSON,320,26,264,30,0,
Cherokee,UNION HILL,State Senator,21,R,SEAN JERGUSON,125,7,106,12,0,
Cherokee,UNIVETER,State Senator,21,R,SEAN JERGUSON,120,5,79,36,0,
Cherokee,WILDCAT,State Senator,21,R,SEAN JERGUSON,185,9,156,20,0,
Cherokee,WOODLANDS,State Senator,21,R,SEAN JERGUSON,106,14,87,5,0,
Cherokee,,State Representative,21,D,NATALIE BERGERON,691,20,564,107,0,
Cherokee,AIR ACRES,State Representative,21,D,NATALIE BERGERON,39,2,33,4,0,
Cherokee,ARNOLD MILL,State Representative,21,D,NATALIE BERGERON,90,2,81,7,0,
Cherokee,AVERY,State Representative,21,D,NATALIE BERGERON,14,1,9,4,0,
