candidate_party,county,race,vote_type,votes
"L.S. ""CASEY"" CAGLE  (REP)",Appling,Governor - REP,Election Day,152
"L.S. ""CASEY"" CAGLE  (REP)",Atkinson,Governor - REP,Election Day,76
"L.S. ""CASEY"" CAGLE  (REP)",Bacon,Governor - REP,Election Day,58
"L.S. ""CASEY"" CAGLE  (REP)",Baker,Governor - REP,Election Day,41
"L.S. ""CASEY"" CAGLE  (REP)",Baldwin,Governor - REP,Election Day,355
"L.S. ""CASEY"" CAGLE  (REP)",Banks,Governor - REP,Election Day,421
"L.S. ""CASEY"" CAGLE  (REP)",Barrow,Governor - REP,Election Day,647
"L.S. ""CASEY"" CAGLE  (REP)",Bartow,Governor - REP,Election Day,930
"L.S. ""CASEY"" CAGLE  (REP)",Ben Hill,Governor - REP,Election Day,85
"L.S. ""CASEY"" CAGLE  (REP)",Berrien,Governor - REP,Election Day,135
"L.S. ""CASEY"" CAGLE  (REP)",Bibb,Governor - REP,Election Day,2003
"L.S. ""CASEY"" CAGLE  (REP)",Bleckley,Governor - REP,Election Day,132
"L.S. ""CASEY"" CAGLE  (REP)",Brantley,Governor - REP,Election Day,151
"L.S. ""CASEY"" CAGLE  (REP)",Brooks,Governor - REP,Election Day,175
"L.S. ""CASEY"" CAGLE  (REP)",Bryan,Governor - REP,Election Day,429
"L.S. ""CASEY"" CAGLE  (REP)",Bulloch,Governor - REP,Election Day,850
"L.S. ""CASEY"" CAGLE  (REP)",Burke,Governor - REP,Election Day,202
"L.S. ""CASEY"" CAGLE  (REP)",Butts,Governor - REP,Election Day,125
"L.S. ""CASEY"" CAGLE  (REP)",Calhoun,Governor - REP,Election Day,64
"L.S. ""CASEY"" CAGLE  (REP)",Camden,Governor - REP,Election Day,394
"L.S. ""CASEY"" CAGLE  (REP)",Candler,Governor - REP,Election Day,84
"L.S. ""CASEY"" CAGLE  (REP)",Carroll,Governor - REP,Election Day,1226
"L.S. ""CASEY"" CAGLE  (REP)",Catoosa,Governor - REP,Election Day,605
"L.S. ""CASEY"" CAGLE  (REP)",Charlton,Governor - REP,Election Day,92
"L.S. ""CASEY"" CAGLE  (REP)",Chatham,Governor - REP,Election Day,3355
"L.S. ""CASEY"" CAGLE  (REP)",Chattahoochee,Governor - REP,Election Day,32
"L.S. ""CASEY"" CAGLE  (REP)",Chattooga,Governor - REP,Election Day,275
"L.S. ""CASEY"" CAGLE  (REP)",Cherokee,Governor - REP,Election Day,3462
"L.S. ""CASEY"" CAGLE  (REP)",Clarke,Governor - REP,Election Day,492
"L.S. ""CASEY"" CAGLE  (REP)",Clay,Governor - REP,Election Day,20
"L.S. ""CASEY"" CAGLE  (REP)",Clayton,Governor - REP,Election Day,532
"L.S. ""CASEY"" CAGLE  (REP)",Clinch,Governor - REP,Election Day,39
"L.S. ""CASEY"" CAGLE  (REP)",Cobb,Governor - REP,Election Day,9830
"L.S. ""CASEY"" CAGLE  (REP)",Coffee,Governor - REP,Election Day,279
"L.S. ""CASEY"" CAGLE  (REP)",Colquitt,Governor - REP,Election Day,496
"L.S. ""CASEY"" CAGLE  (REP)",Columbia,Governor - REP,Election Day,3301
"L.S. ""CASEY"" CAGLE  (REP)",Cook,Governor - REP,Election Day,129
"L.S. ""CASEY"" CAGLE  (REP)",Coweta,Governor - REP,Election Day,1721
"L.S. ""CASEY"" CAGLE  (REP)",Crawford,Governor - REP,Election Day,148
"L.S. ""CASEY"" CAGLE  (REP)",Crisp,Governor - REP,Election Day,282
"L.S. ""CASEY"" CAGLE  (REP)",Dade,Governor - REP,Election Day,213
"L.S. ""CASEY"" CAGLE  (REP)",Dawson,Governor - REP,Election Day,461
"L.S. ""CASEY"" CAGLE  (REP)",Decatur,Governor - REP,Election Day,336
"L.S. ""CASEY"" CAGLE  (REP)",DeKalb,Governor - REP,Election Day,5209
"L.S. ""CASEY"" CAGLE  (REP)",Dodge,Governor - REP,Election Day,222
"L.S. ""CASEY"" CAGLE  (REP)",Dooly,Governor - REP,Election Day,100
"L.S. ""CASEY"" CAGLE  (REP)",Dougherty,Governor - REP,Election Day,860
"L.S. ""CASEY"" CAGLE  (REP)",Douglas,Governor - REP,Election Day,841
"L.S. ""CASEY"" CAGLE  (REP)",Early,Governor - REP,Election Day,167
"L.S. ""CASEY"" CAGLE  (REP)",Echols,Governor - REP,Election Day,23
"L.S. ""CASEY"" CAGLE  (REP)",Effingham,Governor - REP,Election Day,676
"L.S. ""CASEY"" CAGLE  (REP)",Elbert,Governor - REP,Election Day,147
"L.S. ""CASEY"" CAGLE  (REP)",Emanuel,Governor - REP,Election Day,359
"L.S. ""CASEY"" CAGLE  (REP)",Evans,Governor - REP,Election Day,111
"L.S. ""CASEY"" CAGLE  (REP)",Fannin,Governor - REP,Election Day,545
"L.S. ""CASEY"" CAGLE  (REP)",Fayette,Governor - REP,Election Day,1740
"L.S. ""CASEY"" CAGLE  (REP)",Floyd,Governor - REP,Election Day,1177
"L.S. ""CASEY"" CAGLE  (REP)",Forsyth,Governor - REP,Election Day,3117
"L.S. ""CASEY"" CAGLE  (REP)",Franklin,Governor - REP,Election Day,374
"L.S. ""CASEY"" CAGLE  (REP)",Fulton,Governor - REP,Election Day,7835
"L.S. ""CASEY"" CAGLE  (REP)",Gilmer,Governor - REP,Election Day,418
"L.S. ""CASEY"" CAGLE  (REP)",Glascock,Governor - REP,Election Day,48
"L.S. ""CASEY"" CAGLE  (REP)",Glynn,Governor - REP,Election Day,928
"L.S. ""CASEY"" CAGLE  (REP)",Gordon,Governor - REP,Election Day,559
"L.S. ""CASEY"" CAGLE  (REP)",Grady,Governor - REP,Election Day,390
"L.S. ""CASEY"" CAGLE  (REP)",Greene,Governor - REP,Election Day,254
"L.S. ""CASEY"" CAGLE  (REP)",Gwinnett,Governor - REP,Election Day,8349
"L.S. ""CASEY"" CAGLE  (REP)",Habersham,Governor - REP,Election Day,583
"L.S. ""CASEY"" CAGLE  (REP)",Hall,Governor - REP,Election Day,5526
"L.S. ""CASEY"" CAGLE  (REP)",Hancock,Governor - REP,Election Day,48
"L.S. ""CASEY"" CAGLE  (REP)",Haralson,Governor - REP,Election Day,335
"L.S. ""CASEY"" CAGLE  (REP)",Harris,Governor - REP,Election Day,581
"L.S. ""CASEY"" CAGLE  (REP)",Hart,Governor - REP,Election Day,250
"L.S. ""CASEY"" CAGLE  (REP)",Heard,Governor - REP,Election Day,139
"L.S. ""CASEY"" CAGLE  (REP)",Henry,Governor - REP,Election Day,2027
"L.S. ""CASEY"" CAGLE  (REP)",Houston,Governor - REP,Election Day,1422
"L.S. ""CASEY"" CAGLE  (REP)",Irwin,Governor - REP,Election Day,116
"L.S. ""CASEY"" CAGLE  (REP)",Jackson,Governor - REP,Election Day,727
"L.S. ""CASEY"" CAGLE  (REP)",Jasper,Governor - REP,Election Day,128
"L.S. ""CASEY"" CAGLE  (REP)",Jeff Davis,Governor - REP,Election Day,140
"L.S. ""CASEY"" CAGLE  (REP)",Jefferson,Governor - REP,Election Day,185
"L.S. ""CASEY"" CAGLE  (REP)",Jenkins,Governor - REP,Election Day,80
"L.S. ""CASEY"" CAGLE  (REP)",Johnson,Governor - REP,Election Day,125
"L.S. ""CASEY"" CAGLE  (REP)",Jones,Governor - REP,Election Day,476
"L.S. ""CASEY"" CAGLE  (REP)",Lamar,Governor - REP,Election Day,258
"L.S. ""CASEY"" CAGLE  (REP)",Lanier,Governor - REP,Election Day,62
"L.S. ""CASEY"" CAGLE  (REP)",Laurens,Governor - REP,Election Day,592
"L.S. ""CASEY"" CAGLE  (REP)",Lee,Governor - REP,Election Day,493
"L.S. ""CASEY"" CAGLE  (REP)",Liberty,Governor - REP,Election Day,223
"L.S. ""CASEY"" CAGLE  (REP)",Lincoln,Governor - REP,Election Day,125
"L.S. ""CASEY"" CAGLE  (REP)",Long,Governor - REP,Election Day,79
"L.S. ""CASEY"" CAGLE  (REP)",Lowndes,Governor - REP,Election Day,546
"L.S. ""CASEY"" CAGLE  (REP)",Lumpkin,Governor - REP,Election Day,501
"L.S. ""CASEY"" CAGLE  (REP)",Macon,Governor - REP,Election Day,60
"L.S. ""CASEY"" CAGLE  (REP)",Madison,Governor - REP,Election Day,327
"L.S. ""CASEY"" CAGLE  (REP)",Marion,Governor - REP,Election Day,63
"L.S. ""CASEY"" CAGLE  (REP)",McDuffie,Governor - REP,Election Day,216
"L.S. ""CASEY"" CAGLE  (REP)",McIntosh,Governor - REP,Election Day,200
"L.S. ""CASEY"" CAGLE  (REP)",Meriwether,Governor - REP,Election Day,261
"L.S. ""CASEY"" CAGLE  (REP)",Miller,Governor - REP,Election Day,108
"L.S. ""CASEY"" CAGLE  (REP)",Mitchell,Governor - REP,Election Day,265
"L.S. ""CASEY"" CAGLE  (REP)",Monroe,Governor - REP,Election Day,1072
"L.S. ""CASEY"" CAGLE  (REP)",Montgomery,Governor - REP,Election Day,209
"L.S. ""CASEY"" CAGLE  (REP)",Morgan,Governor - REP,Election Day,305
"L.S. ""CASEY"" CAGLE  (REP)",Murray,Governor - REP,Election Day,206
"L.S. ""CASEY"" CAGLE  (REP)",Muscogee,Governor - REP,Election Day,1483
"L.S. ""CASEY"" CAGLE  (REP)",Newton,Governor - REP,Election Day,670
"L.S. ""CASEY"" CAGLE  (REP)",Oconee,Governor - REP,Election Day,477
"L.S. ""CASEY"" CAGLE  (REP)",Oglethorpe,Governor - REP,Election Day,140
"L.S. ""CASEY"" CAGLE  (REP)",Paulding,Governor - REP,Election Day,1213
"L.S. ""CASEY"" CAGLE  (REP)",Peach,Governor - REP,Election Day,255
"L.S. ""CASEY"" CAGLE  (REP)",Pickens,Governor - REP,Election Day,536
"L.S. ""CASEY"" CAGLE  (REP)",Pierce,Governor - REP,Election Day,138
"L.S. ""CASEY"" CAGLE  (REP)",Pike,Governor - REP,Election Day,248
"L.S. ""CASEY"" CAGLE  (REP)",Polk,Governor - REP,Election Day,388
"L.S. ""CASEY"" CAGLE  (REP)",Pulaski,Governor - REP,Election Day,68
"L.S. ""CASEY"" CAGLE  (REP)",Putnam,Governor - REP,Election Day,324
"L.S. ""CASEY"" CAGLE  (REP)",Quitman,Governor - REP,Election Day,21
"L.S. ""CASEY"" CAGLE  (REP)",Rabun,Governor - REP,Election Day,202
"L.S. ""CASEY"" CAGLE  (REP)",Randolph,Governor - REP,Election Day,116
"L.S. ""CASEY"" CAGLE  (REP)",Richmond,Governor - REP,Election Day,1548
"L.S. ""CASEY"" CAGLE  (REP)",Rockdale,Governor - REP,Election Day,450
